name,url,price,description,image_urls
GLAMIRABracelet Iliana,https://www.glamira.com/glamira-bracelet-iliana.html,$906.00,9k Rose Gold & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/iliana-b/diamond/diamond-Swarovsky_AAAAA/alloycolour/red.jpg
GLAMIRAMen's Bracelet Delayer,https://www.glamira.com/glamira-men-s-bracelet-delayer.html,$977.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/delayer-b/alloycolour/yellow.jpg
GLAMIRABracelet Subtrat,https://www.glamira.com/glamira-bracelet-subtrat.html,$486.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/subtrat-v/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRAMen's Pendant Matthew,https://www.glamira.com/glamira-men-s-pendant-matthew.html,"$1,280.00",14K Yellow Gold & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/matthew-n/diamond/diamond-Swarovsky_AAAAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/yellow.jpg
GLAMIRAMen's Bracelet King,https://www.glamira.com/glamira-men-s-bracelet-king.html,"$1,395.00",14K White Gold & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/king-b/diamond/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRAMen's Bracelet Snom,https://www.glamira.com/glamira-men-s-bracelet-snom.html,"$1,347.00",14K White Gold & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/snom-b/diamond/diamond-Swarovsky_AAAAA/alloycolour/white/accent/black.jpg
GLAMIRAMen's Pendant Gideon,https://www.glamira.com/glamira-men-s-pendant-gideon.html,"$1,501.00",14K Yellow Gold & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gideon-nm/diamond/diamond-Swarovsky_AAAAA/alloycolour/yellow.jpg
GLAMIRAMen's Pendant Sebastian,https://www.glamira.com/glamira-men-s-pendant-sebastian.html,$681.00,14K White Gold & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/men-sebastian/diamond/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRAMen's Bracelet Pierre,https://www.glamira.com/glamira-men-s-bracelet-pierre.html,$777.00,925 Silver & Black Onyx,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/leather-pierre/diamond/black-onyx_AAA/alloycolour/white/leather/black.jpg
GLAMIRAMen's Bracelet Rouya,https://www.glamira.com/glamira-men-s-bracelet-rouya.html,"$3,449.00",14K Yellow Gold & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ozli-rouya/diamond/diamond-Swarovsky_AAAAA/alloycolour/yellow.jpg
GLAMIRAEarring Tennesseean,https://www.glamira.com/glamira-earring-tennesseean.html,$828.00,14K Yellow Gold & White Sapphire & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/tennesseean/diamond/diamond-sapphire_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/yellow.jpg
GLAMIRAEarring Andrah,https://www.glamira.com/glamira-earring-andrah.html,"$1,745.00",14K White Gold & Yellow Sapphire & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Andrah/diamond/yellow-sapphire_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRABracelet Lisel,https://www.glamira.com/glamira-bracelet-lisel.html,"$1,232.00",14K Rose Gold & Aquamarine (Lab Created) & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lisel1/diamond/aquamarine-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/red.jpg
GLAMIRAPendant Lorenzo,https://www.glamira.com/glamira-pendant-lorenzo.html,"$2,132.00",9k White Gold & Black Onyx & Pink Sapphire & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lorenzo-p/diamond/black-onyx_AAA/stone2/pinksapphire_AAA/stone3/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
