name,url,price,description,image_urls
GLAMIRAAnklet Drobin,https://www.glamira.com/glamira-anklet-drobin.html,$381.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/drobin1/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRAAnklet Afraima,https://www.glamira.com/glamira-anklet-afraima.html,$886.00,14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Afraimav1/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRAAnklet Vonya,https://www.glamira.com/glamira-anklet-vonya.html,$419.00,14K White Gold & Pink Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/vonya/diamond/pinksapphire_AAA/alloycolour/white.jpg
GLAMIRAAnklet Cortney,https://www.glamira.com/glamira-anklet-cortney.html,$427.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cortney/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRAAnklet Petula,https://www.glamira.com/glamira-anklet-petula.html,$533.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Petulav1/alloycolour/white.jpg
GLAMIRAAnklet Darphin,https://www.glamira.com/glamira-anklet-darphin.html,$487.00,14K Yellow Gold & Emerald,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/darphin/diamond/emerald_AAA/alloycolour/yellow.jpg
GLAMIRAAnklet Ambosie,https://www.glamira.com/glamira-anklet-ambosie.html,$473.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ambosie/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAAnklet Corvia,https://www.glamira.com/glamira-anklet-corvia.html,$501.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/corvia/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAAnklet Wyong,https://www.glamira.com/glamira-anklet-wyong.html,$527.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/wyong/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAAnklet Avielle,https://www.glamira.com/glamira-anklet-avielle.html,$440.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Avielle/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAAnklet Nick,https://www.glamira.com/glamira-anklet-nick.html,$339.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nick/alloycolour/white.jpg
GLAMIRAAnklet Bourg,https://www.glamira.com/glamira-anklet-bourg.html,$412.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bourg/alloycolour/white/accent/babyblue.jpg
