name,url,price,description,image_urls
GLAMIRABody Jewellery Hlyn,https://www.glamira.com/glamira-body-jewellery-hlyn.html,$584.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/hlyn-bj/alloycolour/yellow.jpg
GLAMIRABody Jewellery Rondry,https://www.glamira.com/glamira-body-jewellery-rondry.html,"$2,101.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13687rondry/alloycolour/yellow.jpg
GLAMIRABody Jewellery Tese,https://www.glamira.com/glamira-body-jewellery-tese.html,$715.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13687tese/alloycolour/yellow.jpg
GLAMIRABody Jewellery Ahic,https://www.glamira.com/glamira-body-jewellery-ahic.html,"$1,676.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13687ahic/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRABody Jewellery Arunu,https://www.glamira.com/glamira-body-jewellery-arunu.html,"$1,526.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13687arunu/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRABody Jewellery Bewendr,https://www.glamira.com/glamira-body-jewellery-bewendr.html,"$2,335.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bewendr-bj/alloycolour/yellow.jpg
GLAMIRABody Jewellery Bright,https://www.glamira.com/glamira-body-jewellery-bright.html,"$18,005.00",14K Yellow Gold & Moissanite & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bright-bj/diamond/labdiamond_AAAA/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRABody Jewellery Enfula,https://www.glamira.com/glamira-body-jewellery-enfula.html,"$4,282.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/enfula-bj/alloycolour/yellow.jpg
GLAMIRABody Jewellery Miksi,https://www.glamira.com/glamira-body-jewellery-miksi.html,"$2,443.00",14K Yellow Gold & Lab Grown Diamond & White Pearl,"https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13387miksi/diamond/lab-grown-diamond_AAA/alloycolour/yellow/pearl/white_pearl.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16249structural/diamond/ruby_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/accent/darkindianred-cobaltturquoise/bead/turquoise.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15203floksia/diamond/lab-grown-diamond_AAA/alloycolour/yellow/accent/white.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15203chivimbo/diamond/lab-grown-diamond_AAA/alloycolour/yellow/accent/black.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15203desita/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15203harbro/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg"
GLAMIRABody Jewellery Structural,https://www.glamira.com/glamira-body-jewellery-structural.html,"$1,382.00",14K Yellow Gold & Ruby & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16249structural/diamond/ruby_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/accent/darkindianred-cobaltturquoise/bead/turquoise.jpg
GLAMIRABody Jewellery Floksia,https://www.glamira.com/glamira-body-jewellery-floksia.html,"$2,078.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15203floksia/diamond/lab-grown-diamond_AAA/alloycolour/yellow/accent/white.jpg
GLAMIRABody Jewellery Chivimbo,https://www.glamira.com/glamira-body-jewellery-chivimbo.html,"$2,399.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15203chivimbo/diamond/lab-grown-diamond_AAA/alloycolour/yellow/accent/black.jpg
GLAMIRABody Jewellery Desita,https://www.glamira.com/glamira-body-jewellery-desita.html,"$2,875.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15203desita/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRABody Jewellery Harbro,https://www.glamira.com/glamira-body-jewellery-harbro.html,$951.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15203harbro/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRABody Jewellery Hoyso,https://www.glamira.com/glamira-body-jewellery-hoyso.html,"$8,019.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13687hoyso/alloycolour/yellow.jpg
GLAMIRABody Jewellery Adomati,https://www.glamira.com/glamira-body-jewellery-adomati.html,"$1,845.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13687adomati/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRABody Jewellery Achoh,https://www.glamira.com/glamira-body-jewellery-achoh.html,"$3,158.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13687achoh/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRABody Jewellery Anniz,https://www.glamira.com/glamira-body-jewellery-anniz.html,"$1,519.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13687anniz/alloycolour/yellow.jpg
GLAMIRABody Jewellery Atarwyl,https://www.glamira.com/glamira-body-jewellery-atarwyl.html,"$1,246.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13687atarwyl/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRABody Jewellery Baldi,https://www.glamira.com/glamira-body-jewellery-baldi.html,"$5,166.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13687baldi/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
