name,url,price,description,image_urls
GLAMIRABracelet Shumate,https://www.glamira.com/glamira-bracelet-shumate.html,"$1,551.00",14K Yellow Gold & Moissanite,"https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/shumate1/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/simsoon/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/skoglund/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/snapp/diamond/diamond-Brillant_AAA/alloycolour/yellow/ceramic/black.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/snedden/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sterner/alloycolour/yellow/ceramic/black.jpg"
GLAMIRABracelet Simsoon,https://www.glamira.com/glamira-bracelet-simsoon.html,"$1,048.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/simsoon/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRABracelet Skoglund,https://www.glamira.com/glamira-bracelet-skoglund.html,$743.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/skoglund/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRABracelet Snedden,https://www.glamira.com/glamira-bracelet-snedden.html,"$1,131.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/snedden/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRABracelet Sterner,https://www.glamira.com/glamira-bracelet-sterner.html,"$1,079.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sterner/alloycolour/yellow/ceramic/black.jpg
GLAMIRABracelet Nebeker,https://www.glamira.com/glamira-bracelet-nebeker.html,"$1,316.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nebeker/alloycolour/yellow/ceramic/black.jpg
GLAMIRABracelet Rosenbeck,https://www.glamira.com/glamira-bracelet-rosenbeck.html,"$2,170.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/rosenbeck/alloycolour/yellow/ceramic/black.jpg
GLAMIRABracelet Russel,https://www.glamira.com/glamira-bracelet-russel.html,"$2,243.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/russel/diamond/diamond-Brillant_AAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRABracelet Sauer,https://www.glamira.com/glamira-bracelet-sauer.html,"$1,615.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sauer/diamond/diamond-Brillant_AAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRABracelet Schipper,https://www.glamira.com/glamira-bracelet-schipper.html,"$7,671.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/schipper/diamond/diamond-Brillant_AAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRABracelet Segraves,https://www.glamira.com/glamira-bracelet-segraves.html,"$1,439.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/segraves/diamond/diamond-Brillant_AAA/alloycolour/yellow/ceramic/black.jpg
