name,url,price,description,image_urls
Women's Bracelet Sekarang,https://www.glamira.com/womens-bracelet-sekarang.html,$423.00,14K Yellow Gold & Lab Grown Diamond,"https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638sekarang/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638vackraste/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638puteri/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510uddeshy/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510vald/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510ujedo/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg"
Women's Bracelet Vackraste,https://www.glamira.com/womens-bracelet-vackraste.html,$382.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638vackraste/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
Women's Bracelet Puteri,https://www.glamira.com/womens-bracelet-puteri.html,$450.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638puteri/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
Women's Bracelet Uddeshy,https://www.glamira.com/womens-bracelet-uddeshy.html,$463.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510uddeshy/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
Women's Bracelet Vald,https://www.glamira.com/womens-bracelet-vald.html,$575.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510vald/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
Women's Bracelet Ujedo,https://www.glamira.com/womens-bracelet-ujedo.html,$361.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510ujedo/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRABracelet August,https://www.glamira.com/glamira-bracelet-august.html,$506.00,14K White Gold & Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/august/diamond/sapphire_AAA/alloycolour/white.jpg
GLAMIRABracelet Leia,https://www.glamira.com/glamira-bracelet-leia.html,"$3,050.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/leia-b/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRACord Bracelet Vitalco,https://www.glamira.com/glamira-cord-bracelet-vitalco.html,$743.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14098vitalco/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRABracelet Gunhilda,https://www.glamira.com/glamira-bracelet-gunhilda.html,$403.00,14K Yellow Gold & Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gunhilda-y/diamond/sapphire_AAA/alloycolour/yellow.jpg
