name,url,price,description,image_urls
Bridal Set Grede,https://www.glamira.com/glamira-bridal-set-grede.html,"$1,347.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14181grede-set/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/stone3/labdiamond_AAAA/alloycolour/yellow.jpg
Bridal Set Glowing Beauty,https://www.glamira.com/glamira-bridal-set-glowing-beauty.html,"$1,974.00",14K Rose Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/GD25-SET/diamond/lab-grown-diamond_AAA/alloycolour/red.jpg
Bridal Set Crinkly,https://www.glamira.com/glamira-bridal-set-crinkly.html,"$2,630.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/D27720-2-2-SET/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg
Bridal Set Precious Moments,https://www.glamira.com/glamira-bridal-set-precious-moments.html,"$1,669.00",14K White Gold & Amethyst,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/GD19-SET/diamond/amethyst_AAA/alloycolour/white.jpg
Bridal Set Xoden,https://www.glamira.com/glamira-bridal-set-xoden.html,"$1,057.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14181xoden-set/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
Bridal Set Keyser,https://www.glamira.com/glamira-bridal-set-keyser.html,$903.00,14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/keyser-set-r/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg
Bridal Set Fendr,https://www.glamira.com/glamira-bridal-set-fendr.html,"$1,855.00",14K Rose Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14181fendr-set/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/stone3/lab-grown-diamond_AAA/alloycolour/red.jpg
Bridal Set Perfect Match,https://www.glamira.com/glamira-bridal-set-perfect-match.html,"$1,277.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/D31418-2-10-SET/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
Bridal Set Oferih,https://www.glamira.com/glamira-bridal-set-oferih.html,"$1,370.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14181oferih-set/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
Bridal Set Syfig,https://www.glamira.com/glamira-bridal-set-syfig.html,"$1,347.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14181syfig-set/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/stone3/labdiamond_AAAA/alloycolour/yellow.jpg
Bridal Set Sweold,https://www.glamira.com/glamira-bridal-set-sweold.html,"$1,390.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14181sweold-set/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
Bridal Set Swanky,https://www.glamira.com/glamira-bridal-set-swanky.html,"$3,553.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/D27337-2-2-SET/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg
Bridal Set Sinuous,https://www.glamira.com/glamira-bridal-set-sinuous.html,"$2,046.00",14K White Gold & Amethyst & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/D29030-2-2-SET/diamond/amethyst_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg
Bridal Set Gemmiferous,https://www.glamira.com/glamira-bridal-set-gemmiferous.html,"$2,773.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gemmiferousv1-set/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/stone3/lab-grown-diamond_AAA/alloycolour/white.jpg
Bridal Set Soft Life,https://www.glamira.com/glamira-bridal-set-soft-life.html,"$2,636.00",14K Yellow Gold & Sapphire & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/D27820-2-2-SET/diamond/sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
Bridal Set Marvelous,https://www.glamira.com/glamira-bridal-set-marvelous.html,"$3,347.00",14K Rose Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/D29348-2-2-SET/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/red.jpg
Bridal Set True Love,https://www.glamira.com/glamira-bridal-set-true-love.html,"$1,438.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/GD11-10-SET/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
Bridal Set Scump,https://www.glamira.com/glamira-bridal-set-scump.html,"$1,388.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14181scump-set/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/stone3/labdiamond_AAAA/alloycolour/yellow.jpg
Bridal Set Dreamy,https://www.glamira.com/glamira-bridal-set-dreamy.html,"$2,251.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/GD22-SET/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
Bridal Set Htingi,https://www.glamira.com/glamira-bridal-set-htingi.html,"$1,682.00",14K White & Yellow Gold  & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14181htingi-set/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white_yellow.jpg
Bridal Set One Only,https://www.glamira.com/glamira-bridal-set-one-only.html,"$1,655.00",14K White Gold & Lab Grown Diamond & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/D31418-6-10-SET/diamond/lab-grown-diamond_AAA/stone2/diamond-sapphire_AAA/alloycolour/white.jpg
Bridal Set Soulmates,https://www.glamira.com/glamira-bridal-set-soulmates.html,"$2,032.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/d31418-4-10-set1/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
Bridal Set Sumptuous,https://www.glamira.com/glamira-bridal-set-sumptuous.html,"$2,781.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/D30569-2-2-SET/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
Bridal Set Puffin,https://www.glamira.com/glamira-bridal-set-puffin.html,"$5,832.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/D29033-2-2-SET/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
Bridal Set Blessing,https://www.glamira.com/glamira-bridal-set-blessing.html,"$1,339.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14181blessing-set/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/stone3/labdiamond_AAAA/alloycolour/yellow.jpg
Bridal Set Blooming,https://www.glamira.com/glamira-bridal-set-blooming.html,"$2,545.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/D30571-2-2-SET/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg
Bridal Set Elegance,https://www.glamira.com/glamira-bridal-set-elegance.html,"$4,517.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/D31696-2-1-SET/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/yellow.jpg
Bridal Set Fashionable,https://www.glamira.com/glamira-bridal-set-fashionable.html,"$11,919.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/D29002-2-2-SET/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
Bridal Set Polloc,https://www.glamira.com/glamira-bridal-set-polloc.html,"$1,532.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14181polloc-set/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
Bridal Set Graceful,https://www.glamira.com/glamira-bridal-set-graceful.html,"$1,655.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/GD11-SET/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
Bridal Set Flamboyant,https://www.glamira.com/glamira-bridal-set-flamboyant.html,"$2,535.00",14K Rose Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/D30572-2-2-SET/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/red.jpg
Bridal Set Grande,https://www.glamira.com/glamira-bridal-set-grande.html,"$10,911.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/D28679-2-2-SET/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
Bridal Set Bogd,https://www.glamira.com/glamira-bridal-set-bogd.html,"$1,348.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14181bogd-set/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
Bridal Set Splendiferous,https://www.glamira.com/glamira-bridal-set-splendiferous.html,"$3,850.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/D27726-2-2-SET/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg
Bridal Set Heavenly Vows,https://www.glamira.com/glamira-bridal-set-heavenly-vows.html,"$1,554.00",14K Yellow Gold & Ruby,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/GD19-1-SET/diamond/ruby_AA/alloycolour/yellow.jpg
Bridal Set Snazy,https://www.glamira.com/glamira-bridal-set-snazy.html,"$3,642.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/D29008-2-2-SET/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
Bridal Set Courteous,https://www.glamira.com/glamira-bridal-set-courteous.html,"$4,731.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/D33102-2-2-SET/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/yellow.jpg
Bridal Set Cuddly,https://www.glamira.com/glamira-bridal-set-cuddly.html,"$15,817.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/D28976-2-2-SET/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
Bridal Set Clover,https://www.glamira.com/glamira-bridal-set-clover.html,"$11,701.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/D28964-2-2-SET/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/yellow.jpg
Bridal Set Exquisite,https://www.glamira.com/glamira-bridal-set-exquisite.html,"$1,622.00",14K White Gold & Peridot & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/OVAL5-1-SET/diamond/peridot_AAA/stone2/diamond-sapphire_AAA/alloycolour/white.jpg
Bridal Set Idan,https://www.glamira.com/glamira-bridal-set-idan.html,"$1,337.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14181idan-set/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
Bridal Set Mannas,https://www.glamira.com/glamira-bridal-set-mannas.html,"$1,487.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13622mannas-set/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
Bridal Set Niliev,https://www.glamira.com/glamira-bridal-set-niliev.html,"$1,552.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14181niliev-set/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
Bridal Set Fnel,https://www.glamira.com/glamira-bridal-set-fnel.html,"$1,296.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14181fnel-set/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
