name,url,price,description,image_urls
GLAMIRABrooch Bethiax,https://www.glamira.com/glamira-brooch-bethiax.html,"$1,709.00",14K Yellow Gold & Moissanite,"https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20199bethiax/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/stone3/labdiamond_AAAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20199blanchessa/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/stone3/labdiamond_AAAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20199bradanas/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/stone3/labdiamond_AAAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20199cordesso/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/stone3/labdiamond_AAAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20199coricide/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/stone3/labdiamond_AAAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20199cotoneaster/alloycolour/yellow-585.jpg"
GLAMIRABrooch Blanchessa,https://www.glamira.com/glamira-brooch-blanchessa.html,"$2,794.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20199blanchessa/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/stone3/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRABrooch Bradanas,https://www.glamira.com/glamira-brooch-bradanas.html,"$2,282.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20199bradanas/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/stone3/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRABrooch Cordesso,https://www.glamira.com/glamira-brooch-cordesso.html,"$2,359.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20199cordesso/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/stone3/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRABrooch Coricide,https://www.glamira.com/glamira-brooch-coricide.html,"$1,692.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20199coricide/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/stone3/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRABrooch Cotoneaster,https://www.glamira.com/glamira-brooch-cotoneaster.html,"$1,156.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20199cotoneaster/alloycolour/yellow-585.jpg
GLAMIRABrooch Carlen,https://www.glamira.com/glamira-brooch-carlen.html,"$2,399.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/BR20/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRABrooch Engelbertha,https://www.glamira.com/glamira-brooch-engelbertha.html,"$9,660.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/BR35/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRABrooch Egill,https://www.glamira.com/glamira-brooch-egill.html,"$1,925.00",14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/egill-b/diamond/labdiamond_AAAA/alloycolour/white.jpg
GLAMIRABrooch Luczak,https://www.glamira.com/glamira-brooch-luczak.html,"$1,683.00",14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/luczak-b/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/white.jpg
