name,url,price,description,image_urls
Women's Bracelet Ezhorilana,https://www.glamira.com/womens-bracelet-ezhorilana.html,$997.00,14K Yellow Gold & Ruby (Lab Created),"https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19999ezhorilana/diamond/ruby-cabochon_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19999ezhoritoran/diamond/ruby-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16265ploma/diamond/ruby_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/bead/turquoise.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mokowhiti-p6/diamond/ruby_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/bead/turquoise.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/naglaok-p6/diamond/ruby_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/bead/turquoise.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16252gemengd/diamond/ruby_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/bead/turquoise.jpg"
GLAMIRABracelet Aili,https://www.glamira.com/glamira-bracelet-aili.html,$842.00,14K White Gold & Rose Quartz & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/aili1/diamond/rose-quartz-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRABracelet Baldhart,https://www.glamira.com/glamira-bracelet-baldhart.html,$752.00,14K White Gold & Rose Quartz & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/baldhart1/diamond/rose-quartz-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRABracelet Cheryl,https://www.glamira.com/glamira-bracelet-cheryl.html,$636.00,14K White Gold & Rose Quartz & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cheryl1/diamond/rose-quartz-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRABracelet Emmie,https://www.glamira.com/glamira-bracelet-emmie.html,$761.00,14K White Gold & Rose Quartz & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/emmie-n/diamond/rose-quartz-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRABracelet Hadu,https://www.glamira.com/glamira-bracelet-hadu.html,$841.00,14K White Gold & Rose Quartz & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/hadu1/diamond/rose-quartz-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRABracelet Kaylin,https://www.glamira.com/glamira-bracelet-kaylin.html,$765.00,14K Yellow Gold & Rose Quartz,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/kaylin/diamond/rose-quartz-cabochon_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Lisel,https://www.glamira.com/glamira-bracelet-lisel.html,"$1,232.00",14K Rose Gold & Aquamarine (Lab Created) & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lisel1/diamond/aquamarine-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/red.jpg
GLAMIRABracelet Shasta,https://www.glamira.com/glamira-bracelet-shasta.html,$738.00,14K White Gold & Rose Quartz & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/shasta1/diamond/rose-quartz-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRABracelet Tempie,https://www.glamira.com/glamira-bracelet-tempie.html,$597.00,14K White Gold & Rose Quartz & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/tempie11/diamond/rose-quartz-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRABracelet Valentin,https://www.glamira.com/glamira-bracelet-valentin.html,$990.00,14K White Gold & Rose Quartz & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/valentin1/diamond/rose-quartz-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
