name,url,price,description,image_urls
GLAMIRAEarring Plumo,https://www.glamira.com/glamira-earring-plumo.html,"$1,120.00",14K Yellow Gold & Ruby & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16265plumo/diamond/ruby_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/bead/turquoise.jpg
GLAMIRAEarring Plunksna,https://www.glamira.com/glamira-earring-plunksna.html,"$1,129.00",14K Yellow Gold & Ruby & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16265plunksna/diamond/ruby_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/bead/turquoise.jpg
GLAMIRAEarring Sulka,https://www.glamira.com/glamira-earring-sulka.html,$766.00,14K Yellow Gold & Ruby & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16265sulka/diamond/ruby_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/bead/turquoise.jpg
GLAMIRAEarring Amadita,https://www.glamira.com/glamira-earring-amadita.html,"$11,360.00",14K Rose Gold & Ruby (Lab Created) & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/amadita/diamond/ruby-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/red.jpg
GLAMIRAEarring Linka,https://www.glamira.com/glamira-earring-linka.html,"$1,007.00",14K White Gold & Sapphire (Lab Created) & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/linka/diamond/sapphire-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRAEarring Alberga,https://www.glamira.com/glamira-earring-alberga.html,"$1,640.00",14K White Gold & Amethyst & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/alberga/diamond/amethyst-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRAEarring Jonita,https://www.glamira.com/glamira-earring-jonita.html,$928.00,14K Yellow Gold & Green Amethyst (Lab Created) & Rhodolite Garnet & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/jonita/diamond/green-amethyst-cabochon_AAA/stone2/rhodolite_AAA/stone3/diamond-Swarovsky_AAAAA/alloycolour/yellow.jpg
GLAMIRAEarring Afriel,https://www.glamira.com/glamira-earring-afriel.html,"$1,009.00",14K White Gold & Amethyst & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/afriel/diamond/amethyst-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRAEarring Donnika,https://www.glamira.com/glamira-earring-donnika.html,"$2,309.00",14K White Gold & Amethyst & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/donnika/diamond/amethyst-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/stone3/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRAEarring Abanelis,https://www.glamira.com/glamira-earring-abanelis.html,"$1,637.00",14K White Gold & Peridot & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/abanelis/diamond/peridot-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRAEarring Candias,https://www.glamira.com/glamira-earring-candias.html,"$1,326.00",14K White Gold & Rhodolite Garnet & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/candias/diamond/rhodolite-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/stone3/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRAEarring Cauline,https://www.glamira.com/glamira-earring-cauline.html,"$1,139.00",14K White Gold & Peridot & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cauline1/diamond/peridot-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
