name,url,price,description,image_urls
GLAMIRAPendant Galy,https://www.glamira.com/glamira-pendant-galy.html,$538.00,14K White Gold & Aquamarine (Lab Created) & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/galy/diamond/aquamarine-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRAPendant Beeba,https://www.glamira.com/glamira-pendant-beeba.html,$978.00,14K Yellow Gold & Rose Quartz & Swarovski Crystal,"https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/beeba-p/diamond/rose-quartz-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16265pero/diamond/ruby_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/bead/turquoise.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16265pluen/diamond/ruby_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/bead/turquoise.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16265pudota/diamond/ruby_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/bead/turquoise.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/wlonki-p6/diamond/ruby_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/bead/turquoise.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/zigevner-p6/diamond/ruby_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/bead/turquoise.jpg"
GLAMIRANecklace Pluen,https://www.glamira.com/glamira-necklace-pluen.html,$600.00,14K Yellow Gold & Ruby & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16265pluen/diamond/ruby_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/bead/turquoise.jpg
GLAMIRANecklace Pudota,https://www.glamira.com/glamira-necklace-pudota.html,"$1,199.00",14K Yellow Gold & Ruby & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16265pudota/diamond/ruby_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/bead/turquoise.jpg
GLAMIRAPendant Wlonki,https://www.glamira.com/glamira-pendant-wlonki.html,$676.00,14K Yellow Gold & Ruby & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/wlonki-p6/diamond/ruby_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/bead/turquoise.jpg
GLAMIRAPendant Zigevner,https://www.glamira.com/glamira-pendant-zigevner.html,$661.00,14K Yellow Gold & Ruby & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/zigevner-p6/diamond/ruby_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/bead/turquoise.jpg
GLAMIRAPendant Delyssa,https://www.glamira.com/glamira-pendant-delyssa.html,$644.00,14K Rose & White Gold & Aquamarine (Lab Created) & Rhodolite Garnet & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/delyssa/diamond/aquamarine-cabochon_AAA/stone2/rhodolite_AAA/stone3/diamond-Swarovsky_AAAAA/alloycolour/red_white.jpg
GLAMIRAPendant Lalani,https://www.glamira.com/glamira-pendant-lalani.html,"$4,033.00",14K White Gold & Emerald (Lab Created) & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lalani/diamond/emerald-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRAPendant Fruma,https://www.glamira.com/glamira-pendant-fruma.html,$606.00,14K White Gold & London Blue Topaz (Lab Created) & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/fruma/diamond/londonbluetopaz-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRAPendant Gawain,https://www.glamira.com/glamira-pendant-gawain.html,$790.00,14K White Gold & Rhodolite Garnet & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gawain/diamond/rhodolite-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
