name,url,price,description,image_urls
GLAMIRARing Unfar,https://www.glamira.com/glamira-ring-unfar.html,$887.00,14K Rose Gold & Ruby (Lab Created) & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/unfar/diamond/ruby-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/red.jpg
GLAMIRARing  Emiliana,https://www.glamira.com/glamira-ring-emiliana.html,$976.00,14K Yellow Gold & Garnet & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/emiliana1/diamond/garnet-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/yellow.jpg
GLAMIRARing Tirone,https://www.glamira.com/glamira-ring-tirone.html,"$1,430.00",14K Yellow Gold & London Blue Topaz (Lab Created) & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/tirone/diamond/londonbluetopaz-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/yellow.jpg
GLAMIRARing Chaitali,https://www.glamira.com/glamira-ring-chaitali.html,"$1,268.00",14K White Gold & Garnet & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/chaitali/diamond/garnet-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRARing Jailen,https://www.glamira.com/glamira-ring-jailen.html,"$1,144.00",14K Rose Gold & Peridot & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/jailenv2/diamond/peridot-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/red.jpg
GLAMIRARing Florencita,https://www.glamira.com/glamira-ring-florencita.html,$960.00,14K White Gold & Amethyst,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/florencita/diamond/amethyst-cabochon_AAA/alloycolour/white.jpg
GLAMIRARing Amonaria,https://www.glamira.com/glamira-ring-amonaria.html,"$1,804.00",14K White Gold & Sapphire (Lab Created),https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/amonariav3/diamond/sapphire-cabochon_AAA/alloycolour/white/accent/white.jpg
GLAMIRARing Everhilda,https://www.glamira.com/glamira-ring-everhilda.html,"$1,066.00",14K White Gold & London Blue Topaz (Lab Created) & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/everhilda1/diamond/londonbluetopaz-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/stone3/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRARing Nevasia,https://www.glamira.com/glamira-ring-nevasia.html,"$1,833.00",14K Rose Gold & Aquamarine (Lab Created) & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nevasia/diamond/aquamarine-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/red.jpg
GLAMIRARing Kristalena,https://www.glamira.com/glamira-ring-kristalena.html,$921.00,14K White Gold & Rhodolite Garnet & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/kristalena/diamond/rhodolite-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRARing Grisel,https://www.glamira.com/glamira-ring-grisel.html,"$1,072.00",14K Rose Gold & Sapphire (Lab Created) & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/grisel/diamond/sapphire-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/red.jpg
GLAMIRARing Dinelia,https://www.glamira.com/glamira-ring-dinelia.html,"$2,514.00",14K White Gold & Emerald (Lab Created) & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/dinelia/diamond/emerald-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRARing Hilary,https://www.glamira.com/glamira-ring-hilary.html,$772.00,14K White Gold & Smoky Topaz & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/hilary/diamond/topaz-smoke-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRARing Esperanza,https://www.glamira.com/glamira-ring-esperanza.html,$966.00,14K Yellow Gold & Peridot & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/esperanza1/diamond/peridot-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/yellow.jpg
GLAMIRARing Gardie,https://www.glamira.com/glamira-ring-gardie.html,$663.00,14K Rose Gold & Peridot & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gardie/diamond/peridot-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/stone3/diamond-Swarovsky_AAAAA/alloycolour/red.jpg
GLAMIRARing Forenza,https://www.glamira.com/glamira-ring-forenza.html,"$2,107.00",14K Yellow Gold & Garnet & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/forenza/diamond/garnet-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/yellow.jpg
GLAMIRARing Ryenne,https://www.glamira.com/glamira-ring-ryenne.html,"$2,005.00",14K White Gold & Ruby (Lab Created) & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ryenne/diamond/ruby-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRARing Evana,https://www.glamira.com/glamira-ring-evana.html,"$2,405.00",14K White Gold & Ruby (Lab Created) & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/evana/diamond/ruby-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRARing Lacoya,https://www.glamira.com/glamira-ring-lacoya.html,"$1,292.00",14K White Gold & Ruby (Lab Created) & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lacoya/diamond/ruby-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRARing Selestia,https://www.glamira.com/glamira-ring-selestia.html,"$6,842.00",14K White Gold & Ruby (Lab Created) & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/selestia/diamond/ruby-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/stone3/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRARing Adanelia,https://www.glamira.com/glamira-ring-adanelia.html,"$1,560.00",14K White Gold & Amethyst & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/adanelia1/diamond/amethyst-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white/accent/white.jpg
GLAMIRARing Gwendoly,https://www.glamira.com/glamira-ring-gwendoly.html,$820.00,14K White Gold & Amethyst & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gwendoly/diamond/amethyst-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRARing Florbela,https://www.glamira.com/glamira-ring-florbela.html,$862.00,14K White Gold & Rhodolite Garnet & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/florbela/diamond/rhodolite-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/stone3/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRARing Francia,https://www.glamira.com/glamira-ring-francia.html,$928.00,14K Rose Gold & Rose Quartz & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/francia1/diamond/rose-quartz-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/red.jpg
GLAMIRARing Galadriel,https://www.glamira.com/glamira-ring-galadriel.html,$813.00,14K Yellow Gold & Rose Quartz & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/galadriel1/diamond/rose-quartz-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/yellow.jpg
GLAMIRARing Giesela,https://www.glamira.com/glamira-ring-giesela.html,"$1,152.00",14K White Gold & Aquamarine (Lab Created) & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/giesela/diamond/aquamarine-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/stone3/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRARing Angailla,https://www.glamira.com/glamira-ring-angailla.html,"$1,251.00",14K White Gold & Emerald (Lab Created) & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/angailla1/diamond/emerald-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/stone3/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRARing Kenia,https://www.glamira.com/glamira-ring-kenia.html,"$1,237.00",14K White Gold & London Blue Topaz (Lab Created) & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/kenia/diamond/londonbluetopaz-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRARing Alaricia,https://www.glamira.com/glamira-ring-alaricia.html,"$1,467.00",14K White Gold & London Blue Topaz (Lab Created) & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/alaricia/diamond/londonbluetopaz-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRARing Caltha,https://www.glamira.com/glamira-ring-caltha.html,"$1,010.00",14K White Gold & Green Amethyst (Lab Created) & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/caltha/diamond/green-amethyst-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRARing Danaline,https://www.glamira.com/glamira-ring-danaline.html,"$2,064.00",14K White Gold & Ruby (Lab Created) & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/danaline/diamond/ruby-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRARing Etheldreda,https://www.glamira.com/glamira-ring-etheldreda.html,$899.00,14K White Gold & Peridot & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/etheldreda/diamond/peridot-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/stone3/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRARing Arnessa,https://www.glamira.com/glamira-ring-arnessa.html,"$1,674.00",14K White Gold & Rhodolite Garnet & Swarovski Crystal & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/arnessa/diamond/rhodolite-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/stone3/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRARing Hansina,https://www.glamira.com/glamira-ring-hansina.html,"$1,361.00",14K White Gold & Blue Topaz & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/hansina/diamond/topaz-Blue-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRARing Garlande,https://www.glamira.com/glamira-ring-garlande.html,$889.00,14K White Gold & Ruby (Lab Created) & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/garlande/diamond/ruby-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/stone3/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRARing Clau,https://www.glamira.com/glamira-ring-clau.html,$938.00,14K White Gold & Peridot & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/graciela/diamond/peridot-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/stone3/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRARing Iryna,https://www.glamira.com/glamira-ring-iryna.html,$834.00,14K White Gold & Lemon Topaz & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/iryna/diamond/topaz-lemon-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/stone3/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRARing Hedwig,https://www.glamira.com/glamira-ring-hedwig.html,"$1,214.00",14K White Gold & Garnet & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/hedwig/diamond/garnet-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRARing Lenneris,https://www.glamira.com/glamira-ring-lenneris.html,"$2,505.00",14K White Gold & Ruby (Lab Created) & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lenneris/diamond/ruby-cabochon_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
