name,url,price,description,image_urls
GLAMIRARing Arch,https://www.glamira.com/glamira-ring-arch.html,$457.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/arch/alloycolour/white/ceramic/black.jpg
GLAMIRAPendant Jeta,https://www.glamira.com/glamira-pendant-jeta.html,$668.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/jeta1/diamond/diamond-Brillant_AAA/alloycolour/white/ceramic/black.jpg
GLAMIRAPendant Gianno,https://www.glamira.com/glamira-pendant-gianno.html,$883.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gianno/diamond/diamond-Brillant_AAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Natalia,https://www.glamira.com/glamira-pendant-natalia.html,"$1,212.00",14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/natalia/alloycolour/red/ceramic/white.jpg
GLAMIRAPendant Gowd,https://www.glamira.com/glamira-pendant-gowd.html,$586.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gowd/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Brittni,https://www.glamira.com/glamira-pendant-brittni.html,$627.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/brittni/alloycolour/yellow/ceramic/black.jpg
GLAMIRAEarring Voliva,https://www.glamira.com/glamira-earring-voliva.html,$780.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/voliva-u/alloycolour/yellow/ceramic/black.jpg
GLAMIRAEarring Waldoi,https://www.glamira.com/glamira-earring-waldoi.html,"$2,177.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/waldoi-u/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAEarring Wang,https://www.glamira.com/glamira-earring-wang.html,"$2,102.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/wang-u/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Murawski,https://www.glamira.com/glamira-pendant-murawski.html,$624.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/murawski/alloycolour/yellow/ceramic/black.jpg
GLAMIRARing Maginnis,https://www.glamira.com/glamira-ring-maginnis.html,$428.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/maginnis/alloycolour/white/ceramic/black.jpg
GLAMIRAPendant Prichett,https://www.glamira.com/glamira-pendant-prichett.html,"$1,485.00",14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/prichett/alloycolour/white/ceramic/black.jpg
GLAMIRAPendant Barnhart,https://www.glamira.com/glamira-pendant-barnhart.html,"$1,139.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/barnhart2/diamond/diamond-Brillant_AAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Coghlan,https://www.glamira.com/glamira-pendant-coghlan.html,$581.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/coghlan/alloycolour/red/ceramic/black.jpg
GLAMIRANecklace Debruyn,https://www.glamira.com/glamira-necklace-debruyn.html,"$1,571.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/debruyn/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/stone3/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Maher,https://www.glamira.com/glamira-pendant-maher.html,"$1,425.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/maher1/diamond/diamond-Brillant_AAA/alloycolour/white/ceramic/black.jpg
GLAMIRAPendant Mensez,https://www.glamira.com/glamira-pendant-mensez.html,$786.00,14K Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mensez/diamond/diamond-Brillant_AAA/alloycolour/red/ceramic/black.jpg
GLAMIRAPendant Makuch,https://www.glamira.com/glamira-pendant-makuch.html,"$1,139.00",14K White Gold & Amethyst,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/makuch1/diamond/amethyst_AAA/alloycolour/white/ceramic/black.jpg
GLAMIRAPendant Porco,https://www.glamira.com/glamira-pendant-porco.html,$609.00,14K Yellow Gold & Emerald,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/porco1/diamond/emerald_AAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Puryear,https://www.glamira.com/glamira-pendant-puryear.html,$921.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/puryear1/diamond/diamond-Brillant_AAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRABracelet Bracco,https://www.glamira.com/glamira-bracelet-bracco.html,$750.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bracco/alloycolour/red/accent/black/ceramic/white.jpg
GLAMIRARing Aeverey,https://www.glamira.com/glamira-ring-aeverey.html,$334.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/aeverey/alloycolour/yellow/ceramic/black.jpg
GLAMIRARing Baseem,https://www.glamira.com/glamira-ring-baseem.html,$510.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/baseem/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Alvinas,https://www.glamira.com/glamira-pendant-alvinas.html,$573.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/alvinas/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Tenorio,https://www.glamira.com/glamira-pendant-tenorio.html,$674.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/tenorio1/diamond/diamond-Brillant_AAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Callas,https://www.glamira.com/glamira-pendant-callas.html,"$1,330.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/callas/diamond/diamond-Brillant_AAA/alloycolour/white/ceramic/black.jpg
GLAMIRARing Fleck,https://www.glamira.com/glamira-ring-fleck.html,"$1,135.00",14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/fleck/alloycolour/red/ceramic/white.jpg
GLAMIRAPendant Agmosa,https://www.glamira.com/glamira-pendant-agmosa.html,"$1,322.00",14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/agmosa/alloycolour/white/ceramic/black.jpg
GLAMIRAPendant Winker,https://www.glamira.com/glamira-pendant-winker.html,$812.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/winker1/alloycolour/red/ceramic/black.jpg
GLAMIRAEarring Brouwer,https://www.glamira.com/glamira-earring-brouwer.html,$668.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/brouwer1/alloycolour/white/ceramic/black.jpg
GLAMIRARing Caleb,https://www.glamira.com/glamira-ring-caleb.html,"$2,275.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/caleb/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/stone3/labdiamond_AAAA/alloycolour/yellow/ceramic/white.jpg
GLAMIRARing Madelyn,https://www.glamira.com/glamira-ring-madelyn.html,"$1,220.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/madelyn/diamond/diamond-Brillant_AAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRARing Dillon,https://www.glamira.com/glamira-ring-dillon.html,"$1,473.00",14K Yellow Gold & Rhodolite Garnet,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/dillon1/diamond/rhodolite_AAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRARing Eells,https://www.glamira.com/glamira-ring-eells.html,"$1,054.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/eells/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRARing Pardo,https://www.glamira.com/glamira-ring-pardo.html,"$1,506.00",14K White Gold & Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/pardo/diamond/diamond-Brillant_AAA/alloycolour/white/pearl/white_pearl/ceramic/black.jpg
GLAMIRAPendant Cribb,https://www.glamira.com/glamira-pendant-cribb.html,"$1,650.00",14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cribb/alloycolour/white/ceramic/black.jpg
GLAMIRAPendant Kathlyna,https://www.glamira.com/glamira-pendant-kathlyna.html,"$1,050.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/kathlyna1/diamond/diamond-Brillant_AAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Kaylene,https://www.glamira.com/glamira-pendant-kaylene.html,"$1,144.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/kaylene1/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Krogman,https://www.glamira.com/glamira-pendant-krogman.html,$860.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/krogman1/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRANecklace Kyser,https://www.glamira.com/glamira-necklace-kyser.html,"$1,589.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/kyser/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Lafortune,https://www.glamira.com/glamira-pendant-lafortune.html,$936.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lafortune/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Lamberti,https://www.glamira.com/glamira-pendant-lamberti.html,"$1,053.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lamberti/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Leveque,https://www.glamira.com/glamira-pendant-leveque.html,"$1,298.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/leveque/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Lieselotte,https://www.glamira.com/glamira-pendant-lieselotte.html,$968.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lieselotte/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Locust,https://www.glamira.com/glamira-pendant-locust.html,$780.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/locust/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Loveridge,https://www.glamira.com/glamira-pendant-loveridge.html,$959.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/loveridge1/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Lumsden,https://www.glamira.com/glamira-pendant-lumsden.html,"$2,117.00",14K Yellow Gold & Ruby & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lumsden1/diamond/ruby_AAA/stone2/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Luongo,https://www.glamira.com/glamira-pendant-luongo.html,"$1,136.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/luongo/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Mcburry,https://www.glamira.com/glamira-pendant-mcburry.html,"$1,091.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mcburry1/diamond/diamond-Brillant_AAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Mcilrath,https://www.glamira.com/glamira-pendant-mcilrath.html,"$1,185.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mcilrath/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Mellisa,https://www.glamira.com/glamira-pendant-mellisa.html,$683.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mellisa/alloycolour/yellow/ceramic/black.jpg
GLAMIRANecklace Membora,https://www.glamira.com/glamira-necklace-membora.html,"$1,289.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/membora13/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Mestio,https://www.glamira.com/glamira-pendant-mestio.html,$810.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mestio/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Michiko,https://www.glamira.com/glamira-pendant-michiko.html,"$1,178.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/michiko/diamond/diamond-Brillant_AAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Montesinos,https://www.glamira.com/glamira-pendant-montesinos.html,$778.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/montesinos/diamond/diamond-Brillant_AAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRANecklace Newlon,https://www.glamira.com/glamira-necklace-newlon.html,$856.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/newlon1/diamond/labdiamond_AAAA/alloycolour/yellow/accent/green/ceramic/black.jpg
GLAMIRAPendant Noibatas,https://www.glamira.com/glamira-pendant-noibatas.html,$830.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/noibatas/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Nutting,https://www.glamira.com/glamira-pendant-nutting.html,$876.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nutting/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Oreilly,https://www.glamira.com/glamira-pendant-oreilly.html,"$1,020.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/oreilly1/diamond/diamond-Brillant_AAA/alloycolour/white/ceramic/black.jpg
GLAMIRAPendant Orndorff,https://www.glamira.com/glamira-pendant-orndorff.html,$936.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/orndorff/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Pasquale,https://www.glamira.com/glamira-pendant-pasquale.html,$938.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/pasquale/diamond/diamond-Brillant_AAA/alloycolour/yellow-585/ceramic/black.jpg
GLAMIRAPendant Patratata,https://www.glamira.com/glamira-pendant-patratata.html,$966.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/patratata/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Pershall,https://www.glamira.com/glamira-pendant-pershall.html,"$1,255.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/pershall11/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Pew,https://www.glamira.com/glamira-pendant-pew.html,$806.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/pew/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Pizana,https://www.glamira.com/glamira-pendant-pizana.html,"$1,100.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/pizana/diamond/diamond-Brillant_AAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Planas,https://www.glamira.com/glamira-pendant-planas.html,"$1,053.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/planas/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Politoedes,https://www.glamira.com/glamira-pendant-politoedes.html,$891.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/politoedes/diamond/diamond-Brillant_AAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRANecklace Punita,https://www.glamira.com/glamira-necklace-punita.html,"$2,560.00",14K White Gold & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/punita/diamond/blackdiamond_AAA/stone2/blackdiamond_AAA/alloycolour/white/ceramic/black.jpg
GLAMIRAPendant Quintin,https://www.glamira.com/glamira-pendant-quintin.html,$894.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/quintin/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Ranck,https://www.glamira.com/glamira-pendant-ranck.html,$854.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ranck/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Randi,https://www.glamira.com/glamira-pendant-randi.html,"$1,378.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/randi/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Rangel,https://www.glamira.com/glamira-pendant-rangel.html,"$1,122.00",14K Rose Gold & Green Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/rangel/diamond/greendiamond_A/alloycolour/red/ceramic/white.jpg
GLAMIRAPendant Reasoner,https://www.glamira.com/glamira-pendant-reasoner.html,$775.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/reasoner1/diamond/diamond-Brillant_AAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Regicen,https://www.glamira.com/glamira-pendant-regicen.html,$716.00,14K Yellow Gold & Sapphire & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/regicen1/diamond/sapphire_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Santosa,https://www.glamira.com/glamira-pendant-santosa.html,$767.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/santosa/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Stoodley,https://www.glamira.com/glamira-pendant-stoodley.html,$785.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/stoodley/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Tetreault,https://www.glamira.com/glamira-pendant-tetreault.html,$483.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/tetreault/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Volkman,https://www.glamira.com/glamira-pendant-volkman.html,"$1,097.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/volkman/alloycolour/yellow/ceramic/black.jpg
GLAMIRANecklace Zink,https://www.glamira.com/glamira-necklace-zink.html,"$3,853.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/zink1/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRARing Veola,https://www.glamira.com/glamira-ring-veola.html,$712.00,14K White Gold & Black Onyx,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/veola/diamond/black-onyx_AAA/alloycolour/white/ceramic/black.jpg
GLAMIRANecklace Mahal,https://www.glamira.com/glamira-necklace-mahal.html,"$3,208.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mahal/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
