name,url,price,description,image_urls
GLAMIRACollier Ely,https://www.glamira.com/glamira-collier-ely.html,"$8,086.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/TK-2-N/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRACollier Eden,https://www.glamira.com/glamira-collier-eden.html,"$7,209.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/TK-1-N/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRACollier Rosesun,https://www.glamira.com/glamira-collier-rosesun.html,"$12,617.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/rosesun-l/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/stone3/lab-grown-diamond_AAA/alloycolour/white/accent/red.jpg
GLAMIRACollier Urip,https://www.glamira.com/glamira-collier-urip.html,"$6,891.00",14K White Gold & Lab Grown Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9668urip/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white/pearl/white_pearl.jpg
GLAMIRACollier Adorarte,https://www.glamira.com/glamira-collier-adorarte.html,"$7,782.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9668adorarte/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/stone3/lab-grown-diamond_AAA/alloycolour/white/accent/neon-pink.jpg
GLAMIRACollier Touchlove,https://www.glamira.com/glamira-collier-touchlove.html,"$9,527.00",14K White Gold & Lab Grown Diamond & Black Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9668touchlove/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/stone3/lab-grown-diamond_AAA/alloycolour/white/pearl/black_pearl/accent/red.jpg
GLAMIRACollier Allmylife,https://www.glamira.com/glamira-collier-allmylife.html,"$6,476.00",14K White Gold with Black Rhodium & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9668allmylife/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRACollier Driblet,https://www.glamira.com/glamira-collier-driblet.html,"$6,641.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/driblet-g/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRACollier Siempre,https://www.glamira.com/glamira-collier-siempre.html,"$4,926.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11860siempre2/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/stone3/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRACollier Lueur,https://www.glamira.com/glamira-collier-lueur.html,"$5,042.00",14K Rose Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11860lueur2/diamond/lab-grown-diamond_AAA/alloycolour/red.jpg
GLAMIRACollier Tarehe,https://www.glamira.com/glamira-collier-tarehe.html,"$4,002.00",14K Yellow Gold with Black Rhodium & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/tarehe-ma/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/stone3/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRACollier Sinesmena,https://www.glamira.com/glamira-collier-sinesmena.html,"$4,561.00",14K Yellow Gold with Black Rhodium & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sinesmena-ma-n/diamond/blackdiamond_AAA/stone2/blackdiamond_AAA/stone3/blackdiamond_AAA/alloycolour/yellow.jpg
GLAMIRACollier Riflettere,https://www.glamira.com/glamira-collier-riflettere.html,"$7,659.00",14K Yellow Gold with Black Rhodium & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12491riflettere/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRACollier Midas,https://www.glamira.com/glamira-collier-midas.html,"$5,932.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12491midas/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/stone3/lab-grown-diamond_AAA/alloycolour/yellow/accent/neon-purple.jpg
GLAMIRACollier Brilhar,https://www.glamira.com/glamira-collier-brilhar.html,"$5,825.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12555brilhar/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/stone3/lab-grown-diamond_AAA/alloycolour/yellow/accent/neon-yellow.jpg
GLAMIRACollier Ritatas,https://www.glamira.com/glamira-collier-ritatas.html,"$6,143.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12555ritatas/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/stone3/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRACollier Porlash,https://www.glamira.com/glamira-collier-porlash.html,"$10,327.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12555porlash/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/stone3/lab-grown-diamond_AAA/alloycolour/yellow/accent/neon-blue.jpg
GLAMIRACollier Larende,https://www.glamira.com/glamira-collier-larende.html,"$5,046.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12555larende/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/stone3/lab-grown-diamond_AAA/alloycolour/yellow/accent/neon-blue.jpg
GLAMIRACollier Ubomi,https://www.glamira.com/glamira-collier-ubomi.html,"$5,716.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12873ubomi/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRACollier Hupenyu,https://www.glamira.com/glamira-collier-hupenyu.html,"$5,313.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12873hupenyu/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRACollier Dikost,https://www.glamira.com/glamira-collier-dikost.html,"$6,438.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12873dikost/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRACollier Vertroue,https://www.glamira.com/glamira-collier-vertroue.html,"$4,921.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12873vertroue/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/stone3/lab-grown-diamond_AAA/alloycolour/yellow/accent/olivegreen.jpg
GLAMIRACollier Fahatokiana,https://www.glamira.com/glamira-collier-fahatokiana.html,"$6,178.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12873fahatokiana1/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow/accent/darkindianred.jpg
GLAMIRATennis Aboverso,https://www.glamira.com/glamira-tennis-aboverso.html,"$4,050.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12786aboverso/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRATennis Abseid,https://www.glamira.com/glamira-tennis-abseid.html,"$3,946.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12786abseid/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRATennis Acconnerns,https://www.glamira.com/glamira-tennis-acconnerns.html,"$4,053.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12786acconnerns/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRATennis Accur,https://www.glamira.com/glamira-tennis-accur.html,"$3,826.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12786accur/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/stone3/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRATennis Accurry,https://www.glamira.com/glamira-tennis-accurry.html,"$3,621.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12786accurry/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRATennis Aciras,https://www.glamira.com/glamira-tennis-aciras.html,"$3,703.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12786aciras/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/stone3/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRATennis Adablysv,https://www.glamira.com/glamira-tennis-adablysv.html,"$3,843.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12786adablysv/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRATennis Adeironts,https://www.glamira.com/glamira-tennis-adeironts.html,"$4,345.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12786adeironts/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRATennis Adloot,https://www.glamira.com/glamira-tennis-adloot.html,"$3,759.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12786adloot/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRATennis Adlootta,https://www.glamira.com/glamira-tennis-adlootta.html,"$3,761.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12786adlootta/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
