name,url,price,description,image_urls
Engagement Ring Bonita 0.16 crt,https://www.glamira.com/glamira-ring-bonita-0-16-crt.html,"$1,553.00",14K Rose Gold / Blue Diamond & Black Diamond & Yellow Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bonita016-n/diamond/bluediamond_A/stone2/blackdiamond_AAA/stone3/yellowdiamond_A/alloycolour/red.jpg
Engagement Ring Luminous,https://www.glamira.com/glamira-ring-luminous.html,"$9,877.00",14K White Gold & Brown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/luminous-nr/diamond/browndiamond_AAA/alloycolour/white.jpg
Engagement Ring Clarinda,https://www.glamira.com/glamira-ring-clarinda.html,"$1,478.00",14K White Gold & Black Diamond & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Clarindav1/diamond/blackdiamond_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
Engagement Ring Panni,https://www.glamira.com/glamira-ring-panni.html,"$1,162.00",14K White Gold & Black Diamond & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Panniv1/diamond/blackdiamond_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
Engagement Ring Barletta,https://www.glamira.com/glamira-ring-barletta.html,"$1,408.00",14K Yellow Gold & Green Diamond & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/layer-barletta11/diamond/greendiamond_A/stone2/blackdiamond_AAA/alloycolour/yellow.jpg
Engagement Ring Lurenda,https://www.glamira.com/glamira-ring-lurenda.html,"$16,038.00",14K Yellow Gold & Yellow Diamond & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lurenda1/diamond/yellowdiamond_A/stone2/blackdiamond_AAA/alloycolour/yellow.jpg
Engagement Ring Lucetta,https://www.glamira.com/glamira-ring-lucetta.html,"$5,950.00",14K Rose Gold & Brown Diamond & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ophelia-layer11/diamond/browndiamond_A/stone2/blackdiamond_AAA/alloycolour/red.jpg
Engagement Ring Doreen 0.5 crt,https://www.glamira.com/glamira-ring-doreen-0-5-crt.html,"$2,043.00",14K White Gold / Yellow Diamond & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/doreen05-n/diamond/yellowdiamond_A/stone2/blackdiamond_AAA/alloycolour/white.jpg
Engagement Ring Shamina 0.16 crt,https://www.glamira.com/glamira-ring-shamina-0-16-crt.html,$761.00,14K White Gold / Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/shamina016-n/diamond/blackdiamond_AAA/alloycolour/white.jpg
Engagement Ring Dannielle 1.62 crt,https://www.glamira.com/glamira-ring-dannielle-1-62-crt.html,"$10,801.00",14K Red Gold with Black Rhodium / Brown Diamond & Black Diamond & Yellow Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/dannielle162-r/diamond/browndiamond_A/stone2/blackdiamond_AAA/stone3/yellowdiamond_A/alloycolour/red.jpg
Engagement Ring Asherah,https://www.glamira.com/glamira-ring-asherah.html,"$2,702.00",14K White Gold & Blue Diamond & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/asherah-r/diamond/bluediamond_A/stone2/blackdiamond_AAA/alloycolour/white.jpg
Engagement Ring Maggie,https://www.glamira.com/glamira-ring-maggie.html,"$1,683.00",14K Yellow Gold & Black Diamond & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KENAN3/diamond/blackdiamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
Engagement Ring Mattina,https://www.glamira.com/glamira-ring-mattina.html,"$16,822.00",14K White Gold & Yellow Diamond & Black Diamond & Blue Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mattina1/diamond/yellowdiamond_A/stone2/blackdiamond_AAA/stone3/bluediamond_A/alloycolour/white.jpg
Engagement Ring Grace 3.0crt,https://www.glamira.com/glamira-ring-grace-3-0crt.html,"$31,552.00",14K White Gold / Yellow Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/grace3-n/diamond/yellowdiamond_A/alloycolour/white.jpg
Engagement Ring Alisha 2.0 crt,https://www.glamira.com/glamira-ring-alisha-2-0-crt.html,"$15,805.00",14K White Gold / Brown Diamond & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/alisha2-n/diamond/browndiamond_A/stone2/blackdiamond_AAA/alloycolour/white.jpg
Engagement Ring Neveda 1.6 crt,https://www.glamira.com/glamira-ring-neveda-1-6-crt.html,"$2,498.00",14K Yellow Gold / Black Diamond & Yellow Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/neveda16-n1/diamond/blackdiamond_AAA/stone2/yellowdiamond_A/alloycolour/yellow.jpg
Engagement Ring Ruzenka,https://www.glamira.com/glamira-ring-ruzenka.html,"$12,237.00",14K Yellow Gold & Green Diamond & Yellow Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ruzenka-n/diamond/greendiamond_A/stone2/yellowdiamond_AAA/alloycolour/yellow.jpg
Engagement Ring Adira,https://www.glamira.com/glamira-ring-adira.html,"$2,686.00",14K White Gold / Blue Diamond & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/adira036-n/diamond/bluediamond_A/stone2/blackdiamond_AAA/alloycolour/white.jpg
Engagement Ring Amora 0.8 crt,https://www.glamira.com/glamira-ring-amora-0-8-crt.html,"$2,892.00",14K Yellow Gold / Green Diamond & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/amora08-n/diamond/greendiamond_A/stone2/blackdiamond_AAA/alloycolour/yellow.jpg
Engagement Ring Gioconda,https://www.glamira.com/glamira-ring-gioconda.html,"$1,729.00",14K White Gold / Black Diamond & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ERD-021/diamond/blackdiamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white/accent/white.jpg
Engagement Ring Madely 0.8 crt,https://www.glamira.com/glamira-ring-madely-0-8-crt.html,"$3,084.00",14K White Gold / Blue Diamond & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/madely08-n/diamond/bluediamond_A/stone2/blackdiamond_AAA/alloycolour/white.jpg
Engagement Ring Kostadina,https://www.glamira.com/glamira-ring-kostadina.html,"$10,233.00",14K Rose Gold & Brown Diamond & Yellow Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/kostadina1/diamond/browndiamond_A/stone2/yellowdiamond_A/alloycolour/red.jpg
Engagement Ring Adima,https://www.glamira.com/glamira-ring-adima.html,"$1,647.00",14K White Gold / Yellow Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/adima-n-035/diamond/yellowdiamond_A/alloycolour/white.jpg
Engagement Ring Ovate,https://www.glamira.com/glamira-ring-ovate.html,"$2,013.00",14K White Gold & Green Diamond & Black Diamond & Yellow Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ovate-n/diamond/greendiamond_A/stone2/blackdiamond_AAA/stone3/yellowdiamond_A/alloycolour/white.jpg
Engagement Ring Mahniya,https://www.glamira.com/glamira-ring-mahniya.html,"$16,103.00",14K White Gold & Yellow Diamond & Brown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mahniyav2/diamond/yellowdiamond_A/stone2/browndiamond_AAA/alloycolour/white.jpg
