name,url,price,description,image_urls
GLAMIRACufflink Babirye,https://www.glamira.com/glamira-cufflink-babirye.html,"$1,067.00",14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/babirye-14023/alloycolour/white/accent/black.jpg
GLAMIRACufflink Febinasin,https://www.glamira.com/glamira-cufflink-febinasin.html,"$1,065.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/8950febinasin/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRACufflink Dorete,https://www.glamira.com/glamira-cufflink-dorete.html,$989.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/dorete-c/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRACufflink Werne,https://www.glamira.com/glamira-cufflink-werne.html,$856.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/werne-mc/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRACufflink Xoana,https://www.glamira.com/glamira-cufflink-xoana.html,"$1,232.00",14K Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/xoana/diamond/diamond-Brillant_AAA/alloycolour/red/accent/black.jpg
GLAMIRACufflink Artsel,https://www.glamira.com/glamira-cufflink-artsel.html,"$7,755.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11339artsel/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRACufflink Tahlia,https://www.glamira.com/glamira-cufflink-tahlia.html,$769.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/tahlia-c/diamond/diamond-Brillant_AAA/alloycolour/white/accent/black.jpg
GLAMIRACufflink Fair&Noble,https://www.glamira.com/glamira-cufflink-fair-noble.html,"$2,433.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/CL20011/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRACufflink Corrado,https://www.glamira.com/glamira-cufflink-corrado.html,"$1,063.00",14K Yellow Gold & Black Onyx,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/CUFF1/stone2/cabochon-Onyx_AAA/alloycolour/yellow.jpg
GLAMIRACufflink Maat,https://www.glamira.com/glamira-cufflink-maat.html,"$1,408.00",14K Yellow Gold & Ruby,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/maat1/diamond/ruby_AAA/alloycolour/yellow.jpg
GLAMIRACufflink Reform,https://www.glamira.com/glamira-cufflink-reform.html,"$1,497.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/reform-14023/alloycolour/yellow.jpg
GLAMIRACufflink Antenor,https://www.glamira.com/glamira-cufflink-antenor.html,"$1,506.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Antenor/alloycolour/yellow.jpg
Cufflink Oldi,https://www.glamira.com/cufflink-oldi.html,"$1,108.00",14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20113-oldi/alloycolour/white.jpg
Cufflink Acquiser,https://www.glamira.com/cufflink-acquiser.html,"$1,311.00",14K White & Yellow Gold  & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20113-acquiser/diamond/labdiamond_AAAA/alloycolour/white_yellow.jpg
GLAMIRACufflink Splendid Logic,https://www.glamira.com/glamira-cufflink-splendid-logic.html,"$1,134.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/CL20016/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRACufflink Alisky,https://www.glamira.com/glamira-cufflink-alisky.html,"$1,149.00",14K White Gold & Sapphire & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/alisky-c/diamond/sapphire_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRACufflink Euston,https://www.glamira.com/glamira-cufflink-euston.html,"$1,354.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Euston/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
