name,url,price,description,image_urls
GLAMIRAEarring Oak,https://www.glamira.com/glamira-earring-oak.html,$554.00,14K Rose Gold & Amethyst,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/oak-e/diamond/amethyst_AAA/alloycolour/red.jpg
GLAMIRAEarring Granseey,https://www.glamira.com/glamira-earring-granseey.html,$961.00,14K Yellow Gold & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/granseey-e/diamond/blackdiamond_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Louisa,https://www.glamira.com/glamira-earring-louisa.html,$706.00,14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/G100735/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRAEarring Marguerite,https://www.glamira.com/glamira-earring-marguerite.html,$913.00,14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/marguerite-e/diamond/labdiamond_AAAA/alloycolour/white.jpg
GLAMIRAEarring Questo,https://www.glamira.com/glamira-earring-questo.html,$422.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/questo-e/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAEarring Sirene,https://www.glamira.com/glamira-earring-sirene.html,"$2,095.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sirene-e/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Peyton,https://www.glamira.com/glamira-earring-peyton.html,$685.00,14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Earring-21/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRAEarring Vaunita,https://www.glamira.com/glamira-earring-vaunita.html,"$1,165.00",14K White Gold / Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/SOE-004/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRAEarring Lobelia,https://www.glamira.com/glamira-earring-lobelia.html,"$1,534.00",14K White Gold & Pink Sapphire & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lobelia-e/diamond/pinksapphire_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRAEarring Minuscolo,https://www.glamira.com/glamira-earring-minuscolo.html,$249.00,14K White Gold & Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/minuscolo/diamond/sapphire_AAA/alloycolour/white.jpg
