name,url,price,description,image_urls
Men's Ring Finjohalis,https://www.glamira.com/mens-ring-finjohalis.html,"$1,184.00",14K White Gold,"https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20178finjohalis/alloycolour/white/accent/black.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20178fopajanit/alloycolour/white/accent/black.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20178gebohte/alloycolour/white/accent/black.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20178ginti/alloycolour/white/accent/black.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20178giorht/alloycolour/white/accent/black.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20178gistref/alloycolour/white/accent/black.jpg"
Men's Ring Fopajanit,https://www.glamira.com/mens-ring-fopajanit.html,"$1,177.00",14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20178fopajanit/alloycolour/white/accent/black.jpg
Men's Ring Gebohte,https://www.glamira.com/mens-ring-gebohte.html,$932.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20178gebohte/alloycolour/white/accent/black.jpg
Men's Ring Ginti,https://www.glamira.com/mens-ring-ginti.html,$951.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20178ginti/alloycolour/white/accent/black.jpg
Men's Ring Giorht,https://www.glamira.com/mens-ring-giorht.html,"$1,152.00",14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20178giorht/alloycolour/white/accent/black.jpg
Men's Ring Gistref,https://www.glamira.com/mens-ring-gistref.html,"$1,053.00",14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20178gistref/alloycolour/white/accent/black.jpg
GLAMIRAMen's Pinky Ring Hongese,https://www.glamira.com/glamira-men-s-pinky-ring-hongese.html,"$1,284.00",14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13689hongese/diamond/labdiamond_AAAA/alloycolour/white.jpg
Men's Ring Ellonton,https://www.glamira.com/mens-ring-ellonton.html,$506.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19418ellonton/alloycolour/white.jpg
GLAMIRAMen's Ring Stoltz,https://www.glamira.com/glamira-men-s-ring-stoltz.html,"$1,286.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/7270-stoltz1/diamond/diamond-Brillant_AAA/alloycolour/white/accent/black.jpg
GLAMIRAMen's Ring Cente,https://www.glamira.com/glamira-men-s-ring-cente.html,$453.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cente-r/alloycolour/yellow/accent/black/ceramic/black.jpg
GLAMIRAMen's Ring Haldis,https://www.glamira.com/glamira-men-s-ring-haldis.html,"$240,396.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/haldis/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/stone3/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRAMen's Pinky Ring Xanthin,https://www.glamira.com/glamira-mens-pinky-ring-xanthin.html,$922.00,14K Yellow Gold with Black Rhodium & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19430-xanthin/diamond/lab-grown-diamond_AAA/alloycolour/yellow_black.jpg
GLAMIRAMen's Pinky Ring Gharma,https://www.glamira.com/glamira-men-s-pinky-ring-gharma.html,$968.00,14K Yellow Gold & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13689gharma/diamond/blackdiamond_AAA/alloycolour/yellow/accent/black.jpg
GLAMIRAMen's Ring Lelaki,https://www.glamira.com/glamira-mens-ring-lelaki.html,"$1,006.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19430-lelaki/alloycolour/yellow.jpg
GLAMIRAMen's Ring Xipe,https://www.glamira.com/glamira-men-s-ring-xipe.html,"$1,116.00",14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17494-xipe/diamond/labdiamond_AAAA/alloycolour/white/accent/black.jpg
Men's Pinky Ring Rinias,https://www.glamira.com/mens-pinky-ring-rinias.html,$806.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19624rinias/diamond/labdiamond_AAAA/alloycolour/yellow/accent/black.jpg
GLAMIRAMen's Ring Awinsr,https://www.glamira.com/glamira-men-s-ring-awinsr.html,"$1,062.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14190awinsr/alloycolour/yellow/accent/black.jpg
GLAMIRAMen's Ring Altavius,https://www.glamira.com/glamira-men-s-ring-altavius.html,"$1,301.00",14K Yellow Gold & Moissanite & Black Onyx,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/altavius/diamond/labdiamond_AAAA/stone2/cabochon-Onyx_AAA/alloycolour/yellow.jpg
GLAMIRAMen's Ring Raul,https://www.glamira.com/glamira-men-s-ring-raul.html,"$1,521.00",14K Yellow Gold & Moissanite & Black Onyx,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/raul-mr/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/stone3/cabochon-Onyx_AAA/alloycolour/yellow.jpg
GLAMIRAMen's Ring Gratitude,https://www.glamira.com/glamira-men-s-ring-gratitude.html,$881.00,14K White Gold & Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/6747gratitude/diamond/sapphire_AAA/alloycolour/white.jpg
GLAMIRAMen's Ring Giant Step,https://www.glamira.com/glamira-men-s-ring-giant-step.html,"$2,421.00",14K Yellow Gold & Peridot,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/MEN15/diamond/peridot_AAA/alloycolour/yellow.jpg
GLAMIRAMen's Ring Boone,https://www.glamira.com/glamira-men-s-ring-boone.html,"$1,145.00",14K Yellow Gold & Yellow Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/boone/diamond/yellow-sapphire_AAA/alloycolour/yellow/accent/black.jpg
