name,url,price,description,image_urls
GLAMIRARing Strala,https://www.glamira.com/glamira-ring-strala.html,$469.00,14K Yellow Gold & Lab Grown Diamond,"https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638strala/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638tonvis/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638artsid/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638frihult/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638fryele/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638manalg/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg"
GLAMIRARing Tonvis,https://www.glamira.com/glamira-ring-tonvis.html,$454.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638tonvis/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAStackable Ring Artsid,https://www.glamira.com/glamira-stackable-ring-artsid.html,$422.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638artsid/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAStackable Ring Frihult,https://www.glamira.com/glamira-stackable-ring-frihult.html,$405.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638frihult/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRARing Fryele,https://www.glamira.com/glamira-ring-fryele.html,$564.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638fryele/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRARing Manalg,https://www.glamira.com/glamira-ring-manalg.html,$411.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638manalg/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRARing Estrella,https://www.glamira.com/glamira-ring-estrella.html,$651.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Estrella/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRARing Thamoni,https://www.glamira.com/glamira-ring-thamoni.html,$446.00,14K Yellow Gold & Lab Grown Diamond & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13326thamoni/diamond/lab-grown-diamond_AAA/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRARing Geneva,https://www.glamira.com/glamira-ring-geneva.html,"$1,257.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/geneva/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRARing Jeylianis,https://www.glamira.com/glamira-ring-jeylianis.html,"$1,312.00",14K White Gold & White Topaz & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/jeylianis02/diamond/diamond-topaz_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
