name,url,price,description,image_urls
GLAMIRABracelet Alpha,https://www.glamira.com/glamira-bracelet-alpha.html,"$2,372.00",14K White Gold & Multi Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/alpha/diamond/multisapphire_AAA/alloycolour/white.jpg
GLAMIRARing Chang,https://www.glamira.com/glamira-ring-chang.html,$967.00,14K White Gold & Multi Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/chang/diamond/multisapphire_AAA/alloycolour/white.jpg
GLAMIRAPendant Clarine,https://www.glamira.com/glamira-pendant-clarine.html,$843.00,14K White Gold & Multi Sapphire & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/clarine/diamond/multisapphire_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRAPendant Leandro,https://www.glamira.com/glamira-pendant-leandro.html,"$1,193.00",14K White Gold & Multi Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/leandro/diamond/multisapphire_AAA/alloycolour/white.jpg
GLAMIRARing Augusta,https://www.glamira.com/glamira-ring-augusta.html,"$1,356.00",14K Yellow Gold & Multi Sapphire & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/augusta/diamond/multisapphire_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/yellow.jpg
GLAMIRARing Brett,https://www.glamira.com/glamira-ring-brett.html,"$1,453.00",14K Yellow Gold & Multi Sapphire & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/brett/diamond/multisapphire_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/yellow.jpg
GLAMIRARing Manie,https://www.glamira.com/glamira-ring-manie.html,$707.00,14K White Gold & Multi Sapphire & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/manie/diamond/multisapphire_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRAPendant Bette,https://www.glamira.com/glamira-pendant-bette.html,$922.00,14K Rose Gold & Multi Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bette/diamond/multisapphire_AAA/alloycolour/red.jpg
GLAMIRARing Deloras,https://www.glamira.com/glamira-ring-deloras.html,$653.00,14K White Gold & Multi Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/deloras/diamond/multisapphire_AAA/alloycolour/white.jpg
GLAMIRARing Emely,https://www.glamira.com/glamira-ring-emely.html,"$1,138.00",14K White Gold & Multi Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/emely/diamond/multisapphire_AAA/alloycolour/white.jpg
GLAMIRABracelet Lilly,https://www.glamira.com/glamira-bracelet-lilly.html,$627.00,14K White Gold & Multi Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lilly/diamond/multisapphire_AAA/alloycolour/white.jpg
GLAMIRARing Brynn,https://www.glamira.com/glamira-ring-brynn.html,$710.00,14K White Gold & Multi Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/brynn/diamond/multisapphire_AAA/alloycolour/white.jpg
GLAMIRARing Lavon,https://www.glamira.com/glamira-ring-lavon.html,"$1,515.00",14K Yellow Gold & Multi Sapphire & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lavon/diamond/multisapphire_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/yellow.jpg
GLAMIRACollier Tess,https://www.glamira.com/glamira-collier-tess.html,"$5,304.00",14K Rose Gold & Multi Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/tess/diamond/multisapphire_AAA/alloycolour/red.jpg
GLAMIRAPendant Clair,https://www.glamira.com/glamira-pendant-clair.html,$611.00,14K Yellow Gold & Multi Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/clair/diamond/multisapphire_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Bertie,https://www.glamira.com/glamira-bracelet-bertie.html,"$1,986.00",14K White Gold & Multi Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bertie/diamond/multisapphire_AAA/alloycolour/white.jpg
GLAMIRABracelet Bettie,https://www.glamira.com/glamira-bracelet-bettie.html,"$2,162.00",14K White Gold & Multi Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/monica-bra/diamond/multisapphire_AAA/alloycolour/white.jpg
GLAMIRABracelet Francine,https://www.glamira.com/glamira-bracelet-francine.html,$873.00,14K Rose Gold & Multi Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/francine/diamond/multisapphire_AAA/alloycolour/red.jpg
GLAMIRARing Dalya,https://www.glamira.com/glamira-ring-dalya.html,"$1,226.00",14K White Gold & Multi Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/dalia/diamond/multisapphire_AAA/alloycolour/white.jpg
GLAMIRARing Aurea,https://www.glamira.com/glamira-ring-aurea.html,"$1,039.00",14K Yellow Gold & Multi Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/aurea/diamond/multisapphire_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Aubrey,https://www.glamira.com/glamira-bracelet-aubrey.html,"$3,135.00",14K Yellow Gold & Multi Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/aubrey/diamond/multisapphire_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Shayna,https://www.glamira.com/glamira-bracelet-shayna.html,"$1,025.00",14K Rose Gold & Multi Sapphire & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/shayna/diamond/multisapphire_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/red.jpg
GLAMIRARing Khety,https://www.glamira.com/glamira-ring-khety.html,"$2,406.00",14K White Gold & Multi Sapphire & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ozli-khety/diamond/multisapphire_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRABracelet Otelia,https://www.glamira.com/glamira-bracelet-otelia.html,"$2,305.00",14K Rose Gold & Multi Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/otelia/diamond/multisapphire_AAA/alloycolour/red.jpg
GLAMIRAPendant Armanda,https://www.glamira.com/glamira-pendant-armanda.html,$753.00,14K White Gold & Multi Sapphire & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/armanda/diamond/multisapphire_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRABracelet Myrl,https://www.glamira.com/glamira-bracelet-myrl.html,"$2,614.00",14K White Gold & Multi Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/myrl/diamond/multisapphire_AAA/alloycolour/white.jpg
GLAMIRABracelet Britni,https://www.glamira.com/glamira-bracelet-britni.html,"$1,971.00",14K White Gold & Multi Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/britni/diamond/multisapphire_AAA/alloycolour/white.jpg
GLAMIRAPendant Autumn,https://www.glamira.com/glamira-pendant-autumn.html,"$1,055.00",14K White Gold & Multi Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/autumn/diamond/multisapphire_AAA/alloycolour/white.jpg
GLAMIRARing Bernadette,https://www.glamira.com/glamira-ring-bernadette.html,"$1,085.00",14K Yellow Gold & Multi Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bernadette/diamond/multisapphire_AAA/alloycolour/yellow.jpg
