name,url,price,description,image_urls
GLAMIRATragus Piercing Ftea,https://www.glamira.com/glamira-tragus-piercing-ftea.html,$320.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11759ftea/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRATragus Piercing Gossec,https://www.glamira.com/glamira-tragus-piercing-gossec.html,$268.00,14K Rose Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11759gossec/diamond/lab-grown-diamond_AAA/alloycolour/red.jpg
GLAMIRATragus Piercing Lalyp,https://www.glamira.com/glamira-tragus-piercing-lalyp.html,$218.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11759lalyp/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRATragus Piercing Pygou,https://www.glamira.com/glamira-tragus-piercing-pygou.html,$389.00,14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11759pygou/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRATragus Piercing Hactub,https://www.glamira.com/glamira-tragus-piercing-hactub.html,$342.00,14K White Gold & Ruby,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11759hactub/diamond/ruby_AAA/alloycolour/white.jpg
GLAMIRATragus Piercing Rewi,https://www.glamira.com/glamira-tragus-piercing-rewi.html,$194.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11759rewi/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRATragus Piercing Unurn,https://www.glamira.com/glamira-tragus-piercing-unurn.html,$227.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11759unurn/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRATragus Piercing Azid,https://www.glamira.com/glamira-tragus-piercing-azid.html,$195.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11759azid/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRATragus Piercing Cneen,https://www.glamira.com/glamira-tragus-piercing-cneen.html,$256.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11759cneen/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRATragus Piercing Elleo,https://www.glamira.com/glamira-tragus-piercing-elleo.html,$244.00,14K White Gold & Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11759elleo/diamond/sapphire_AAA/alloycolour/white.jpg
GLAMIRATragus Piercing Fyht,https://www.glamira.com/glamira-tragus-piercing-fyht.html,$195.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11759fyht/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRATragus Piercing Klifica,https://www.glamira.com/glamira-tragus-piercing-klifica.html,$511.00,14K Rose Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11759klifica/diamond/lab-grown-diamond_AAA/alloycolour/red.jpg
GLAMIRATragus Piercing Malla,https://www.glamira.com/glamira-tragus-piercing-malla.html,$253.00,14K Yellow Gold & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11759malla/diamond/blackdiamond_AAA/alloycolour/yellow.jpg
GLAMIRATragus Piercing Phlive,https://www.glamira.com/glamira-tragus-piercing-phlive.html,$231.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11759phlive/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRATragus Piercing Reki,https://www.glamira.com/glamira-tragus-piercing-reki.html,$430.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11759reki/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRATragus Piercing Anism,https://www.glamira.com/glamira-tragus-piercing-anism.html,$258.00,14K White Gold & Emerald,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11759anism/diamond/emerald_AAA/alloycolour/white.jpg
GLAMIRATragus Piercing Byros,https://www.glamira.com/glamira-tragus-piercing-byros.html,$205.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11759byros/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRATragus Piercing Eskina,https://www.glamira.com/glamira-tragus-piercing-eskina.html,$295.00,14K Yellow Gold & Pink Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11759eskina/diamond/pinksapphire_AAA/alloycolour/yellow.jpg
Ear piercing Elimination,https://www.glamira.com/womens-earring-elimination.html,$388.00,14K White Gold & Sapphire & White Sapphire,"https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102elimination/diamond/sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/white/accent/midnight-blue.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102gartan-b/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102demetrias/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102dunglow/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102brackley/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20099-troliton/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg"
Women's Earring Gartan - B,https://www.glamira.com/womens-earring-gartan-b.html,$335.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102gartan-b/alloycolour/yellow.jpg
Women's Earring Demetrias,https://www.glamira.com/womens-earring-demetrias.html,$245.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102demetrias/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
Ear piercing Dunglow,https://www.glamira.com/womens-earring-dunglow.html,$351.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102dunglow/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Brackley,https://www.glamira.com/womens-earring-brackley.html,$345.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20102brackley/alloycolour/yellow.jpg
