name,url,price,description,image_urls
GLAMIRAEarring Uhie - SET,https://www.glamira.com/glamira-earring-uhie-set.html,"$1,172.00",14K Yellow Gold & Ruby & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16265uhie-set/diamond/ruby_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/bead/turquoise.jpg
GLAMIRAEarring Variation,https://www.glamira.com/glamira-earring-variation.html,$752.00,14K Yellow & White Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16265variation/diamond/diamond-sapphire_AAA/alloycolour/yellow_white/bead/turquoise.jpg
GLAMIRAEarring Puak,https://www.glamira.com/glamira-earring-puak.html,$923.00,14K Yellow Gold & Ruby & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16265puak/diamond/ruby_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/bead/turquoise.jpg
GLAMIRAEarring Pynig,https://www.glamira.com/glamira-earring-pynig.html,$556.00,14K Yellow Gold & Ruby,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16265pynig/diamond/ruby_AAA/alloycolour/yellow/bead/turquoise.jpg
GLAMIRAEarring Recreate,https://www.glamira.com/glamira-earring-recreate.html,$732.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16265recreate/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/darkindianred-cobaltturquoise/bead/turquoise.jpg
GLAMIRAEarring Recreation - A,https://www.glamira.com/glamira-earring-recreation-a.html,$501.00,14K Yellow Gold / White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16265recreation-a/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/darkindianred/bead/turquoise.jpg
GLAMIRAEarring Recreation - B,https://www.glamira.com/glamira-earring-recreation-b.html,$591.00,14K Yellow Gold / White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16265recreation-b/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/darkindianred/bead/turquoise.jpg
GLAMIRAEarring Recreation - SET,https://www.glamira.com/glamira-earring-recreation-set.html,$547.00,14K Yellow Gold / White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16265recreation-set/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/darkindianred/bead/turquoise.jpg
GLAMIRAEarring Reenboog,https://www.glamira.com/glamira-earring-reenboog.html,$758.00,14K Yellow Gold & Ruby & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16265reenboog/diamond/ruby_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/bead/turquoise.jpg
GLAMIRAEarring Someone - B,https://www.glamira.com/glamira-earring-someone-b.html,$588.00,14K Yellow Gold / White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16265someone-b/diamond/diamond-sapphire_AAA/alloycolour/yellow/bead/turquoise.jpg
GLAMIRAEarring Soodne,https://www.glamira.com/glamira-earring-soodne.html,"$1,326.00",14K Yellow Gold & Ruby & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16265soodne/diamond/ruby_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/bead/turquoise.jpg
GLAMIRAEarring Sulg,https://www.glamira.com/glamira-earring-sulg.html,$837.00,14K Yellow Gold & Ruby & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16265sulg/diamond/ruby_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/bead/turquoise.jpg
