name,url,price,description,image_urls
GLAMIRARing Bavegels - G,https://www.glamira.com/glamira-ring-bavegels-g.html,$670.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bavegels-g-n/alloycolour/red/accent/neon-green.jpg
Engagement Ring Gioconda,https://www.glamira.com/glamira-ring-gioconda.html,"$2,039.00",14K White Gold / Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ERD-021/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white/accent/white.jpg
GLAMIRARing Koffer F,https://www.glamira.com/glamira-ring-koffer-f.html,"$1,461.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/koffer-ringf-n/diamond/lab-grown-diamond_AAA/alloycolour/white/accent/multicoloured.jpg
GLAMIRARing Vind,https://www.glamira.com/glamira-ring-vind.html,"$1,855.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/vindset-n/diamond/diamond-Brillant_AAA/alloycolour/white/accent/multicoloured.jpg
GLAMIRARing Andelnans,https://www.glamira.com/glamira-ring-andelnans.html,"$1,326.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/andelnans/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white/accent/black.jpg
GLAMIRARing Marci,https://www.glamira.com/glamira-ring-marci.html,$645.00,14K Yellow Gold & Ruby,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/marci-r/diamond/ruby_AAA/alloycolour/yellow/accent/black.jpg
GLAMIRARing Annalisa,https://www.glamira.com/glamira-ring-annalisa.html,"$1,303.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ERD-002/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white/accent/white.jpg
GLAMIRARing Ablatifa,https://www.glamira.com/glamira-ring-ablatifa.html,"$1,308.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ablatifa/diamond/diamond-Brillant_AAA/alloycolour/white/accent/black.jpg
GLAMIRARing Arqam,https://www.glamira.com/glamira-ring-arqam.html,"$1,360.00",14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/arqam/diamond/labdiamond_AAAA/alloycolour/white/accent/black.jpg
GLAMIRARing Bilby,https://www.glamira.com/glamira-ring-bilby.html,$763.00,14K Rose Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bilby-r/diamond/labdiamond_AAAA/alloycolour/red/accent/black.jpg
GLAMIRARing Bramah,https://www.glamira.com/glamira-ring-bramah.html,$713.00,14K Rose Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bramah-r/diamond/labdiamond_AAAA/alloycolour/red/accent/black.jpg
GLAMIRARing Amutat,https://www.glamira.com/glamira-ring-amutat.html,"$1,137.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/amutat-r/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow/accent/black.jpg
GLAMIRARing Pixecr,https://www.glamira.com/glamira-ring-pixecr.html,"$1,106.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/pixecr-r/diamond/labdiamond_AAAA/alloycolour/yellow/accent/black.jpg
