name,url,price,description,image_urls
Engagement Ring Flugbo,https://www.glamira.com/engagement-ring-flugbo.html,$625.00,14K Yellow Gold & Lab Grown Diamond,"https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638flugbo/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638gamay/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510doel/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20519uiga/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20548skjult/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20548versteek/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg"
Engagement Ring Gamay,https://www.glamira.com/engagement-ring-gamay.html,$445.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638gamay/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
Engagement Ring Doel,https://www.glamira.com/engagement-ring-doel.html,$533.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510doel/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
Engagement Ring Uiga,https://www.glamira.com/engagement-ring-uiga.html,$449.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20519uiga/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
Engagement Ring Skjult,https://www.glamira.com/engagement-ring-skjult.html,$824.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20548skjult/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
Engagement Ring Versteek,https://www.glamira.com/engagement-ring-versteek.html,$845.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20548versteek/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
Engagement Ring Dahlia 0.25crt,https://www.glamira.com/glamira-ring-dahlia-0-25crt.html,"$1,692.00",14K White Gold / Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/layer-g100105-25/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
Engagement Ring Saphira,https://www.glamira.com/glamira-ring-saphira.html,"$29,657.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/G100335/diamond/diamond-Brillant_AA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
Engagement Ring Odelia,https://www.glamira.com/glamira-ring-odelia.html,"$1,128.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/A34694-1-1/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
Engagement Ring Xenia,https://www.glamira.com/glamira-ring-xenia.html,$885.00,14K Yellow Gold & Ruby,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/xenia/diamond/ruby_AAA/alloycolour/yellow.jpg
Engagement Ring Nature,https://www.glamira.com/glamira-ring-nature.html,"$1,016.00",14K White Gold / Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/RN4G/diamond/blackdiamond_AAA/alloycolour/white.jpg
Engagement Ring Nature 0.5 crt,https://www.glamira.com/glamira-ring-nature-0-5-crt.html,"$2,843.00",14K White Gold / Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/RN4G05/diamond/diamond-Brillant_AA/alloycolour/white.jpg
Engagement Ring Carcason,https://www.glamira.com/glamira-ring-carcason.html,$507.00,14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/carcason-gbr/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
Engagement Ring Intrauterine,https://www.glamira.com/glamira-ring-intrauterine.html,"$4,384.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/intrauterine/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/stone3/diamond-Brillant_AAA/alloycolour/white.jpg
Engagement Ring Vennis,https://www.glamira.com/glamira-ring-vennis.html,"$1,304.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16563vennis/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
Engagement Ring Zayolo,https://www.glamira.com/glamira-ring-zayolo.html,$801.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18759zayolo/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/stone3/labdiamond_AAAA/alloycolour/yellow.jpg
Engagement Ring Zarita,https://www.glamira.com/glamira-ring-zarita.html,$958.00,14K White Gold / Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/zarita-ring/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
Engagement Ring Staay,https://www.glamira.com/glamira-ring-staay.html,$553.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/16563staay/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
Engagement Ring Effie 0.5 crt,https://www.glamira.com/glamira-ring-effie-0-5-crt.html,$838.00,14K White Gold / Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/effie05-n/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
Engagement Ring Alfrida 0.16 crt,https://www.glamira.com/glamira-ring-alfrida-0-16-crt.html,$861.00,14K White Gold / Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/alfrida016-n/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
