name,url,price,description,image_urls
GLAMIRAEarring Boyokani,https://www.glamira.com/glamira-earring-boyokani.html,$619.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/boyokani-abl/alloycolour/yellow.jpg
GLAMIRAEarring Ferbining,https://www.glamira.com/glamira-earring-ferbining.html,$500.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ferbining-abl/alloycolour/yellow.jpg
GLAMIRAEarring Hemelus,https://www.glamira.com/glamira-earring-hemelus.html,$373.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/hemelus-abl/alloycolour/yellow.jpg
GLAMIRAEarring Nasc,https://www.glamira.com/glamira-earring-nasc.html,$399.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nasc-abl/alloycolour/yellow.jpg
GLAMIRAEarring Sinwe,https://www.glamira.com/glamira-earring-sinwe.html,$508.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sinwe-abl/alloycolour/yellow.jpg
GLAMIRAEarring Bonolo,https://www.glamira.com/glamira-earring-bonolo.html,$501.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510bonolo/alloycolour/yellow.jpg
GLAMIRAEarring Eenvoudig,https://www.glamira.com/glamira-earring-eenvoudig.html,$421.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510eenvoudig/alloycolour/yellow.jpg
GLAMIRAEarring Elula,https://www.glamira.com/glamira-earring-elula.html,$355.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510elula/alloycolour/yellow.jpg
GLAMIRAEarring Kaqlla,https://www.glamira.com/glamira-earring-kaqlla.html,$434.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510kaqlla/alloycolour/yellow.jpg
GLAMIRAEarring Lihtne,https://www.glamira.com/glamira-earring-lihtne.html,$584.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510lihtne/alloycolour/yellow.jpg
GLAMIRAEarring Ringkas,https://www.glamira.com/glamira-earring-ringkas.html,$508.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510ringkas/alloycolour/yellow.jpg
GLAMIRAEarring Lucios,https://www.glamira.com/glamira-earring-lucios.html,$475.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510lucios/alloycolour/yellow.jpg
GLAMIRAEarring Memadai,https://www.glamira.com/glamira-earring-memadai.html,$501.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510memadai/alloycolour/yellow.jpg
GLAMIRAEarring Beware,https://www.glamira.com/glamira-earring-beware.html,$416.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510beware/alloycolour/yellow.jpg
GLAMIRAEarring Dostatan,https://www.glamira.com/glamira-earring-dostatan.html,$492.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510dostatan/alloycolour/yellow.jpg
GLAMIRAEarring Minay,https://www.glamira.com/glamira-earring-minay.html,$424.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510minay/alloycolour/yellow.jpg
GLAMIRAEarring Piisra,https://www.glamira.com/glamira-earring-piisra.html,$475.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510piisra/alloycolour/yellow.jpg
GLAMIRAEarring Pisif,https://www.glamira.com/glamira-earring-pisif.html,$565.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510pisif/alloycolour/yellow.jpg
GLAMIRAEarring Simma,https://www.glamira.com/glamira-earring-simma.html,$315.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510simma/alloycolour/yellow.jpg
GLAMIRAEarring Sinaw,https://www.glamira.com/glamira-earring-sinaw.html,$510.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510sinaw/alloycolour/yellow.jpg
GLAMIRAEarring Siwin,https://www.glamira.com/glamira-earring-siwin.html,$593.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510siwin/alloycolour/yellow.jpg
GLAMIRAEarring Zokwanira,https://www.glamira.com/glamira-earring-zokwanira.html,$434.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510zokwanira/alloycolour/yellow.jpg
