name,url,price,description,image_urls
Women's Pendant Meriti,https://www.glamira.com/womens-pendant-meriti.html,$472.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510meriti/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Pendant Nayraqata,https://www.glamira.com/womens-pendant-nayraqata.html,$527.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510nayraqata/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Necklace Pamje,https://www.glamira.com/womens-necklace-pamje.html,$439.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510pamje/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Pendant Pirmas,https://www.glamira.com/womens-pendant-pirmas.html,$550.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510pirmas/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Necklace Protia,https://www.glamira.com/womens-necklace-protia.html,$524.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510protia/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Pendant Qaway,https://www.glamira.com/womens-pendant-qaway.html,$556.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510qaway/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Necklace Rayie,https://www.glamira.com/womens-necklace-rayie.html,$410.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510rayie/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Pendant Razlika,https://www.glamira.com/womens-pendant-razlika.html,$457.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510razlika/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Pendant Rugare,https://www.glamira.com/womens-pendant-rugare.html,$431.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510rugare/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Necklace Stefna,https://www.glamira.com/womens-necklace-stefna.html,$483.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510stefna/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Pendant Tentrem,https://www.glamira.com/womens-pendant-tentrem.html,$465.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510tentrem/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
