name,url,price,description,image_urls
GLAMIRARing Bondat,https://www.glamira.com/glamira-ring-bondat.html,$770.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bondat-ebs/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Botse,https://www.glamira.com/glamira-ring-botse.html,$775.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/botse-ebs/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Bunatate,https://www.glamira.com/glamira-ring-bunatate.html,$584.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bunatate-ebs/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Goedens,https://www.glamira.com/glamira-ring-goedens.html,$731.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/goedens-ebs/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Heldig,https://www.glamira.com/glamira-ring-heldig.html,$788.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/heldig-ebs/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Kaayo,https://www.glamira.com/glamira-ring-kaayo.html,$543.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/kaayo-ebs/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Miresine,https://www.glamira.com/glamira-ring-miresine.html,$544.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/miresine-ebs/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Obulungi,https://www.glamira.com/glamira-ring-obulungi.html,$725.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/obulungi-ebs/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Ontasuna,https://www.glamira.com/glamira-ring-ontasuna.html,$591.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ontasuna-ebs/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Stancos,https://www.glamira.com/glamira-ring-stancos.html,$630.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/stancos-ebs/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Heliza,https://www.glamira.com/glamira-ring-heliza.html,$498.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/heliza-abl/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Semvi,https://www.glamira.com/glamira-ring-semvi.html,$654.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/semvi-abl/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Simnia,https://www.glamira.com/glamira-ring-simnia.html,$804.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/simnia-abl/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Casette,https://www.glamira.com/glamira-ring-casette.html,$738.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510casette/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Apresentado,https://www.glamira.com/glamira-ring-apresentado.html,$843.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510apresentado/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Differenza,https://www.glamira.com/glamira-ring-differenza.html,$831.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510differenza/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Ferskil,https://www.glamira.com/glamira-ring-ferskil.html,$782.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510ferskil/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Fita,https://www.glamira.com/glamira-ring-fita.html,$683.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510fita/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAStackable Ring Helburua,https://www.glamira.com/glamira-stackable-ring-helburua.html,$403.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510helburua/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Joavy,https://www.glamira.com/glamira-ring-joavy.html,$630.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510joavy/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Kepada,https://www.glamira.com/glamira-ring-kepada.html,$846.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510kepada/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Lengo,https://www.glamira.com/glamira-ring-lengo.html,$450.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510lengo/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Phapano,https://www.glamira.com/glamira-ring-phapano.html,$752.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510phapano/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Phisirku,https://www.glamira.com/glamira-ring-phisirku.html,$943.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510phisirku/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Prie,https://www.glamira.com/glamira-ring-prie.html,$855.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510prie/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Scotch,https://www.glamira.com/glamira-ring-scotch.html,$622.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510scotch/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Skuiling,https://www.glamira.com/glamira-ring-skuiling.html,$670.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510skuiling/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Thanda,https://www.glamira.com/glamira-ring-thanda.html,$502.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510thanda/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Woordeboek,https://www.glamira.com/glamira-ring-woordeboek.html,$508.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510woordeboek/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Yitta,https://www.glamira.com/glamira-ring-yitta.html,$474.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510yitta/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAStackable Ring Nymane,https://www.glamira.com/glamira-stackable-ring-nymane.html,$592.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638nymane/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAStackable Ring Perfin,https://www.glamira.com/glamira-stackable-ring-perfin.html,$523.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638perfin/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Ranalp,https://www.glamira.com/glamira-ring-ranalp.html,$450.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638ranalp/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Saino,https://www.glamira.com/glamira-ring-saino.html,$476.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638saino/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Senra,https://www.glamira.com/glamira-ring-senra.html,$550.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638senra/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
