name,url,price,description,image_urls
Women's Earring Natia,https://www.glamira.com/womens-earring-natia.html,$768.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20548natia/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Earring Versteckt,https://www.glamira.com/womens-earring-versteckt.html,$629.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20548versteckt/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Earring Diwenehi,https://www.glamira.com/womens-earring-diwenehi.html,$706.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20510diwenehi/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Earring Siwxi,https://www.glamira.com/womens-earring-siwxi.html,$354.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20638siwxi/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Pendant Bantay,https://www.glamira.com/womens-pendant-bantay.html,$496.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20548bantay/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Pendant Farasin,https://www.glamira.com/womens-pendant-farasin.html,$439.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20548farasin/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Pendant Gunung,https://www.glamira.com/womens-pendant-gunung.html,$444.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20548gunung/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Necklace Heuvel,https://www.glamira.com/womens-necklace-heuvel.html,$550.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20548heuvel/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Pendant Hisians,https://www.glamira.com/womens-pendant-hisians.html,$411.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20548hisians/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Mayele,https://www.glamira.com/glamira-ring-mayele.html,$579.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20518mayele/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Porffor,https://www.glamira.com/glamira-ring-porffor.html,$553.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20518porffor/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
