name,url,price,description,image_urls
GLAMIRANecklace Katumbiri,https://www.glamira.com/glamira-necklace-katumbiri.html,$478.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330katumbiri/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-blue.jpg
GLAMIRAPendant Mken,https://www.glamira.com/glamira-pendant-mken.html,$494.00,14K Yellow Gold with Black Rhodium & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mken-ma/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAApple Watch® Accessory Tradition - D,https://www.glamira.com/glamira-apple-watchr-accessory-tradition-d.html,$282.00,14K Yellow Gold & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12555tradition---d/diamond/blackdiamond_AAA/alloycolour/yellow.jpg
GLAMIRAAirpods® Avidita,https://www.glamira.com/glamira-airpodsr-avidita.html,"$1,317.00",14K Yellow Gold with Black Rhodium & Black Diamond & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/avidita-e/diamond/blackdiamond_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Arrivederci,https://www.glamira.com/glamira-earring-arrivederci.html,$803.00,14K Yellow Gold with Black Rhodium & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330arrivederci/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Cunda,https://www.glamira.com/glamira-necklace-cunda.html,$782.00,14K Yellow Gold with Black Rhodium & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330cunda/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Stray,https://www.glamira.com/glamira-earring-stray.html,$447.00,14K Yellow Gold with Black Rhodium & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330stray/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAApple Watch® Accessory Rovesciare,https://www.glamira.com/glamira-apple-watchr-accessory-rovesciare.html,$823.00,14K Yellow Gold with Black Rhodium & Black Diamond & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12491rovesciare/diamond/blackdiamond_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Begiratu,https://www.glamira.com/glamira-earring-begiratu.html,$722.00,14K Yellow Gold with Black Rhodium & White Sapphire & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12555begiratu/diamond/diamond-sapphire_AAA/stone2/blackdiamond_AAA/alloycolour/yellow.jpg
GLAMIRARing Disgleirio,https://www.glamira.com/glamira-ring-disgleirio.html,"$1,670.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12491disgleirio/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-blue.jpg
GLAMIRAAirpods® Amarols,https://www.glamira.com/glamira-airpodsr-amarols.html,$672.00,14K Yellow Gold with Black Rhodium & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12555amarols/diamond/blackdiamond_AAA/stone2/blackdiamond_AAA/alloycolour/yellow.jpg
GLAMIRAApple Watch® Accessory Distira - SET,https://www.glamira.com/glamira-apple-watchr-accessory-distira-set.html,"$1,465.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12491distira-set/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-purple.jpg
GLAMIRAApple Watch® Accessory Distira - A,https://www.glamira.com/glamira-apple-watchr-accessory-distira-a.html,$576.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12491distira-a/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-green.jpg
GLAMIRAApple Watch® Accessory Distira - B,https://www.glamira.com/glamira-apple-watchr-accessory-distira-b.html,$567.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12491distira-b/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-purple.jpg
GLAMIRAApple Watch® Accessory Distira - D,https://www.glamira.com/glamira-apple-watchr-accessory-distira-d.html,$417.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12491distira-d/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-orange.jpg
GLAMIRANecklace Garkuwa,https://www.glamira.com/glamira-necklace-garkuwa.html,$662.00,14K Yellow Gold & White Sapphire & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12491garkuwa/diamond/diamond-sapphire_AAA/alloycolour/yellow/pearl/white_pearl/accent/neon-orange.jpg
GLAMIRABracelet Kail,https://www.glamira.com/glamira-bracelet-kail.html,$454.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330kail/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-green.jpg
GLAMIRABracelet Adito,https://www.glamira.com/glamira-bracelet-adito.html,$385.00,14K Yellow Gold with Black Rhodium & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330adito/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Journe,https://www.glamira.com/glamira-necklace-journe.html,"$1,069.00",14K Yellow Gold with Black Rhodium & White Sapphire & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330journe/diamond/diamond-sapphire_AAA/stone2/blackdiamond_AAA/alloycolour/yellow.jpg
Women's Choker Necklace Tiosos,https://www.glamira.com/glamira-necklace-tiosos.html,$729.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330tiosos/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/stone3/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-blue.jpg
GLAMIRANecklace Ukubona,https://www.glamira.com/glamira-necklace-ukubona.html,$783.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330ukubona/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-purple.jpg
GLAMIRANecklace Enuma,https://www.glamira.com/glamira-necklace-enuma.html,$759.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330enuma/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-orange.jpg
GLAMIRANecklace Aniwaniwa,https://www.glamira.com/glamira-necklace-aniwaniwa.html,$916.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330aniwaniwa/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-blue.jpg
GLAMIRANecklace Arcubalenu,https://www.glamira.com/glamira-necklace-arcubalenu.html,$875.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330arcubalenu/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-green.jpg
Women's Choker Necklace Azzurro,https://www.glamira.com/glamira-necklace-azzurro.html,$883.00,14K Yellow Gold with Black Rhodium & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330azzurro/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Anuenue,https://www.glamira.com/glamira-necklace-anuenue.html,$767.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330anuenue/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-pink.jpg
GLAMIRANecklace Kaitse,https://www.glamira.com/glamira-necklace-kaitse.html,"$1,420.00",14K Yellow Gold with Black Rhodium & White Sapphire & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330kaitse/diamond/diamond-sapphire_AAA/stone2/blackdiamond_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Kaloma,https://www.glamira.com/glamira-necklace-kaloma.html,$965.00,14K Yellow Gold with Black Rhodium & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330kaloma/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Macca,https://www.glamira.com/glamira-necklace-macca.html,$927.00,14K Yellow Gold with Black Rhodium & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330macca/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Choker Necklace Menua,https://www.glamira.com/glamira-necklace-menua.html,$564.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330menua/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-pink.jpg
GLAMIRANecklace Madreed,https://www.glamira.com/glamira-necklace-madreed.html,$820.00,14K Yellow Gold with Black Rhodium & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330madreed/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Mavrica,https://www.glamira.com/glamira-necklace-mavrica.html,$814.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330mavrica/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-blue.jpg
GLAMIRANecklace Malagrana,https://www.glamira.com/glamira-necklace-malagrana.html,$923.00,14K Yellow Gold with Black Rhodium & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330malagrana/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Mandorla,https://www.glamira.com/glamira-necklace-mandorla.html,$679.00,14K Yellow Gold with Black Rhodium & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330mandorla/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Meditare,https://www.glamira.com/glamira-necklace-meditare.html,$644.00,14K Yellow Gold with Black Rhodium & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330meditare/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Molo,https://www.glamira.com/glamira-necklace-molo.html,"$1,067.00",14K Yellow Gold with Black Rhodium & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330molo/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Engcwele,https://www.glamira.com/glamira-necklace-engcwele.html,$665.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330pelangi/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-pink.jpg
Women's Choker Necklace Ragazzona,https://www.glamira.com/glamira-necklace-ragazzona.html,$906.00,14K Yellow Gold with Black Rhodium & White Sapphire & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12330ragazzona/diamond/diamond-sapphire_AAA/stone2/blackdiamond_AAA/stone3/diamond-sapphire_AAA/alloycolour/yellow.jpg
