name,url,price,description,image_urls
GLAMIRAEarring Cristofer,https://www.glamira.com/glamira-earring-cristofer.html,$526.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cristofer-e/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRAEarring Stelios,https://www.glamira.com/glamira-earring-stelios.html,$540.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18598stelios/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRAEarring Cristofer,https://www.glamira.com/glamira-earring-cristofer.html,$526.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cristofer-e/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRAEarring Stelios,https://www.glamira.com/glamira-earring-stelios.html,$540.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18598stelios/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRAEarring Cretiger,https://www.glamira.com/glamira-earring-cretiger.html,$521.00,14K Rose & White Gold & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cretiger-f/diamond/blackdiamond_AAA/stone2/blackdiamond_AAA/alloycolour/red_white.jpg
GLAMIRAEarring Forssman,https://www.glamira.com/glamira-earring-forssman.html,$988.00,14K Rose Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/forssman-e/diamond/labdiamond_AAAA/alloycolour/red.jpg
GLAMIRAEarring Fateful,https://www.glamira.com/glamira-earring-fateful.html,$823.00,14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/fateful/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/white.jpg
GLAMIRAEarring Furlong,https://www.glamira.com/glamira-earring-furlong.html,$910.00,14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/furlong/diamond/labdiamond_AAAA/alloycolour/white.jpg
GLAMIRAEarring Digs,https://www.glamira.com/glamira-earring-digs.html,"$1,148.00",14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/digs/diamond/labdiamond_AAAA/alloycolour/white.jpg
GLAMIRAEarring Morpho,https://www.glamira.com/glamira-earring-morpho.html,"$1,065.00",14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/morpho-e/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/white.jpg
GLAMIRAEarring Demailler,https://www.glamira.com/glamira-earring-demailler.html,$754.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/demailler-e/alloycolour/yellow.jpg
GLAMIRAEarring Demeles,https://www.glamira.com/glamira-earring-demeles.html,"$1,091.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/demeles-e/alloycolour/yellow.jpg
GLAMIRAEarring Granitique,https://www.glamira.com/glamira-earring-granitique.html,$506.00,14K White Gold & Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/granitique/diamond/sapphire_AAA/alloycolour/white.jpg
GLAMIRAEarring Levulose,https://www.glamira.com/glamira-earring-levulose.html,"$1,278.00",14K Yellow Gold & Amethyst & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/levulose-e/diamond/amethyst_AAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRAEarring Cuvelage,https://www.glamira.com/glamira-earring-cuvelage.html,$524.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cuvelage-e/alloycolour/yellow.jpg
GLAMIRAEarring Dechainell,https://www.glamira.com/glamira-earring-dechainell.html,$913.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/dechainell-e/alloycolour/yellow.jpg
GLAMIRAEarring Encastre,https://www.glamira.com/glamira-earring-encastre.html,$896.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/encastre-e/alloycolour/white.jpg
GLAMIRAEarring Strohmeyer,https://www.glamira.com/glamira-earring-strohmeyer.html,$455.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/strohmeyer-e/alloycolour/yellow.jpg
GLAMIRAEarring Chelindai,https://www.glamira.com/glamira-earring-chelindai.html,$759.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9368chelindai/alloycolour/yellow.jpg
GLAMIRAEarring Depayar,https://www.glamira.com/glamira-earring-depayar.html,$406.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9368depayar/alloycolour/yellow.jpg
GLAMIRAEarring Irmat,https://www.glamira.com/glamira-earring-irmat.html,$402.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/irmat/alloycolour/yellow.jpg
GLAMIRAEarring Gothita,https://www.glamira.com/glamira-earring-gothita.html,$871.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gothita-f/alloycolour/white.jpg
GLAMIRAEarring Mehtunajos,https://www.glamira.com/glamira-earring-mehtunajos.html,$888.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mehtunajos-e/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
