name,url,price,description,image_urls
GLAMIRAPendant Brehat,https://www.glamira.com/glamira-pendant-brehat.html,$606.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18909brehat/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRAPendant Breil,https://www.glamira.com/glamira-pendant-breil.html,$578.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18909breil/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRAPendant Brenas,https://www.glamira.com/glamira-pendant-brenas.html,$617.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18909brenas/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRAPendant Islim,https://www.glamira.com/glamira-pendant-islim.html,$434.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/islim/alloycolour/yellow.jpg
GLAMIRAPendant Corso,https://www.glamira.com/glamira-pendant-corso.html,$529.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/corso/alloycolour/white.jpg
GLAMIRAPendant Machinal,https://www.glamira.com/glamira-pendant-machinal.html,$732.00,14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11486machinal/diamond/labdiamond_AAAA/alloycolour/white.jpg
GLAMIRAPendant Sanica,https://www.glamira.com/glamira-pendant-sanica.html,$350.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sanica/alloycolour/white.jpg
GLAMIRAPendant Deardrium,https://www.glamira.com/glamira-pendant-deardrium.html,$508.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/deardrium-p/alloycolour/white.jpg
GLAMIRAPendant Larenda,https://www.glamira.com/glamira-pendant-larenda.html,$986.00,14K Yellow Gold & Black Opal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/larenda1/diamond/black-opal_AAA/alloycolour/yellow.jpg
GLAMIRAPendant Pamella,https://www.glamira.com/glamira-pendant-pamella.html,"$1,363.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/pamella-p/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAPendant Brehat,https://www.glamira.com/glamira-pendant-brehat.html,$606.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18909brehat/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRAPendant Breil,https://www.glamira.com/glamira-pendant-breil.html,$578.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18909breil/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRAPendant Brenas,https://www.glamira.com/glamira-pendant-brenas.html,$617.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18909brenas/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRAPendant Garrotter,https://www.glamira.com/glamira-pendant-garrotter.html,$829.00,14K Yellow Gold & Black Onyx,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/garrotter-p/diamond/black-onyx_AAA/alloycolour/yellow.jpg
GLAMIRAPendant Cammy,https://www.glamira.com/glamira-pendant-cammy.html,$844.00,14K Rose Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cammy-p/diamond/labdiamond_AAAA/alloycolour/red.jpg
GLAMIRAPendant Kristan,https://www.glamira.com/glamira-pendant-kristan.html,$869.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/kristan-p/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAPendant Gunna,https://www.glamira.com/glamira-pendant-gunna.html,"$3,320.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gunna1/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg
