name,url,price,description,image_urls
GLAMIRARing Obmenti,https://www.glamira.com/glamira-ring-obmenti.html,$722.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17976obmenti/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRARing Fustr,https://www.glamira.com/glamira-ring-fustr.html,"$1,146.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/fustr-r/diamond/labdiamond_AAAA/alloycolour/yellow-585.jpg
GLAMIRARing Mikv,https://www.glamira.com/glamira-ring-mikv.html,$924.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mikv-r/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRARing Ohmani,https://www.glamira.com/glamira-ring-ohmani.html,$981.00,14K Yellow Gold & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ohmani-r/diamond/diamond-Swarovsky_AAAAA/alloycolour/yellow.jpg
GLAMIRARing Onesp,https://www.glamira.com/glamira-ring-onesp.html,$902.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/onesp-r/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRARing Onwerc,https://www.glamira.com/glamira-ring-onwerc.html,$788.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/onwerc-r/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRARing Plosud,https://www.glamira.com/glamira-ring-plosud.html,"$1,482.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/plosud-r/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRARing Obmenti,https://www.glamira.com/glamira-ring-obmenti.html,$722.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17976obmenti/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRARing Carylon,https://www.glamira.com/glamira-ring-carylon.html,$508.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/carylon-r/alloycolour/white.jpg
GLAMIRARing Zenais,https://www.glamira.com/glamira-ring-zenais.html,$858.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/5862zenais1/alloycolour/yellow.jpg
GLAMIRARing Obmenti,https://www.glamira.com/glamira-ring-obmenti.html,$722.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17976obmenti/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRARing Abselh,https://www.glamira.com/glamira-ring-abselh.html,$610.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12934abselh/alloycolour/yellow-585.jpg
GLAMIRARing Leandra,https://www.glamira.com/glamira-ring-leandra.html,"$1,904.00",14K White Gold & Emerald,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/leandra-r/diamond/emerald_AAA/alloycolour/white.jpg
GLAMIRARing Talitha,https://www.glamira.com/glamira-ring-talitha.html,"$1,374.00",14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/talitha-r/diamond/labdiamond_AAAA/alloycolour/white.jpg
GLAMIRARing Leeann,https://www.glamira.com/glamira-ring-leeann.html,"$1,772.00",14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/leeann-r/diamond/labdiamond_AAAA/alloycolour/white.jpg
GLAMIRARing Audo,https://www.glamira.com/glamira-ring-audo.html,"$2,723.00",14K Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/audo-r/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/red.jpg
GLAMIRARing Fritillaria,https://www.glamira.com/glamira-ring-fritillaria.html,$826.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/fritillaria-r/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRARing Sassafras,https://www.glamira.com/glamira-ring-sassafras.html,$714.00,14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sassafras-r/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/white.jpg
Engagement Ring Georgiann,https://www.glamira.com/glamira-ring-georgiann.html,"$5,054.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/georgiann-r/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/stone3/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRARing Muzza,https://www.glamira.com/glamira-ring-muzza.html,$482.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14860muzza/alloycolour/yellow-585.jpg
GLAMIRARing Cacahuette,https://www.glamira.com/glamira-ring-cacahuette.html,$620.00,14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cacahuette/diamond/labdiamond_AAAA/alloycolour/white.jpg
GLAMIRARing Cacteesa,https://www.glamira.com/glamira-ring-cacteesa.html,"$1,329.00",14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cacteesa/diamond/labdiamond_AAAA/alloycolour/white.jpg
GLAMIRARing Resmore,https://www.glamira.com/glamira-ring-resmore.html,"$1,119.00",14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/resmore/diamond/labdiamond_AAAA/alloycolour/white.jpg
GLAMIRARing Aqualo,https://www.glamira.com/glamira-ring-aqualo.html,$698.00,14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/aqualo/diamond/labdiamond_AAAA/alloycolour/white-585.jpg
GLAMIRARing Ecogen,https://www.glamira.com/glamira-ring-ecogen.html,$675.00,14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ecogen/diamond/labdiamond_AAAA/alloycolour/white-585.jpg
GLAMIRARing Astenyans,https://www.glamira.com/glamira-ring-astenyans.html,$775.00,14K Yellow Gold & Black Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/astenyans-r/alloycolour/yellow-585/pearl/black_pearl.jpg
GLAMIRARing Canonnireya,https://www.glamira.com/glamira-ring-canonnireya.html,"$1,319.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/canonnireya-r/diamond/labdiamond_AAAA/alloycolour/yellow-585.jpg
GLAMIRARing Surtr,https://www.glamira.com/glamira-ring-surtr.html,"$1,514.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/surtr-r1/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
