name,url,price,description,image_urls
GLAMIRARing Teena,https://www.glamira.com/glamira-ring-teena.html,$996.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/teena-r/alloycolour/yellow.jpg
GLAMIRABangle Seema,https://www.glamira.com/glamira-bangle-seema.html,"$1,163.00",14K Yellow Gold & Ruby,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/tabetha-bracelet/diamond/ruby_AAA/alloycolour/yellow.jpg
GLAMIRABangle Shondra,https://www.glamira.com/glamira-bangle-shondra.html,"$1,355.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/shondra1/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRABangle Monika,https://www.glamira.com/glamira-bangle-monika.html,"$2,679.00",14K Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/monika11/diamond/diamond-Brillant_AAA/alloycolour/red.jpg
GLAMIRAPendant Alyanc,https://www.glamira.com/glamira-pendant-alyanc.html,$819.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18909alyanc/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRAPendant Amantek,https://www.glamira.com/glamira-pendant-amantek.html,$779.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18909amantek/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRAPendant Aweing,https://www.glamira.com/glamira-pendant-aweing.html,$523.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18909aweing/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRAPendant Mongiello,https://www.glamira.com/glamira-pendant-mongiello.html,$897.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mongiello-p/alloycolour/white.jpg
GLAMIRAPendant Ionan,https://www.glamira.com/glamira-pendant-ionan.html,$619.00,14K Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ionan-p/diamond/diamond-Brillant_AAA/alloycolour/red.jpg
GLAMIRAPendant Baldly,https://www.glamira.com/glamira-pendant-baldly.html,$783.00,14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9918baldly/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRAPendant Rosenda,https://www.glamira.com/glamira-pendant-rosenda.html,$563.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/rosenda-p/alloycolour/white.jpg
GLAMIRAPendant Estral,https://www.glamira.com/glamira-pendant-estral.html,$370.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/estral-p/alloycolour/white.jpg
GLAMIRAPendant Veloce,https://www.glamira.com/glamira-pendant-veloce.html,$453.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/veloce/alloycolour/white.jpg
Engagement Ring Georgiann,https://www.glamira.com/glamira-ring-georgiann.html,"$5,054.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/georgiann-r/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/stone3/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAPendant Jerry,https://www.glamira.com/glamira-pendant-jerry.html,$716.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/jerry-p/alloycolour/yellow.jpg
GLAMIRAPendant Islim,https://www.glamira.com/glamira-pendant-islim.html,$434.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/islim/alloycolour/yellow.jpg
GLAMIRARing Zenais,https://www.glamira.com/glamira-ring-zenais.html,$858.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/5862zenais1/alloycolour/yellow.jpg
GLAMIRAPendant Corso,https://www.glamira.com/glamira-pendant-corso.html,$529.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/corso/alloycolour/white.jpg
GLAMIRAPendant Machinal,https://www.glamira.com/glamira-pendant-machinal.html,$732.00,14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11486machinal/diamond/labdiamond_AAAA/alloycolour/white.jpg
GLAMIRAPendant Sanica,https://www.glamira.com/glamira-pendant-sanica.html,$350.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sanica/alloycolour/white.jpg
GLAMIRAPendant Deardrium,https://www.glamira.com/glamira-pendant-deardrium.html,$508.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/deardrium-p/alloycolour/white.jpg
GLAMIRAPendant Larenda,https://www.glamira.com/glamira-pendant-larenda.html,$986.00,14K Yellow Gold & Black Opal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/larenda1/diamond/black-opal_AAA/alloycolour/yellow.jpg
GLAMIRAPendant Pamella,https://www.glamira.com/glamira-pendant-pamella.html,"$1,363.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/pamella-p/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAPendant Garrotter,https://www.glamira.com/glamira-pendant-garrotter.html,$829.00,14K Yellow Gold & Black Onyx,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/garrotter-p/diamond/black-onyx_AAA/alloycolour/yellow.jpg
GLAMIRAPendant Cammy,https://www.glamira.com/glamira-pendant-cammy.html,$844.00,14K Rose Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cammy-p/diamond/labdiamond_AAAA/alloycolour/red.jpg
GLAMIRAPendant Kristan,https://www.glamira.com/glamira-pendant-kristan.html,$869.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/kristan-p/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAPendant Gunna,https://www.glamira.com/glamira-pendant-gunna.html,"$3,320.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gunna1/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRAPendant Laviva,https://www.glamira.com/glamira-pendant-laviva.html,"$1,377.00",14K Yellow Gold & Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/laviva-p/diamond/sapphire_AAA/alloycolour/yellow.jpg
