name,url,price,description,image_urls
GLAMIRARing Burya,https://www.glamira.com/glamira-ring-burya.html,$370.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/burya-g/alloycolour/yellow.jpg
GLAMIRABracelet Hopeful,https://www.glamira.com/glamira-bracelet-hopeful.html,$374.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/hopeful-g/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Persici - A,https://www.glamira.com/glamira-earring-persici-a.html,"$4,210.00",14K Yellow Gold & Diamond,"https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/10553persici-a/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/stone3/diamond-Brillant_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/10553persici-b/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/stone3/labdiamond_AAAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/10553relationship-a/diamond/labdiamond_AAAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/10553relationship-b/diamond/labdiamond_AAAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/huipu-g-a/diamond/labdiamond_AAAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/huipu-g-b/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg"
GLAMIRABody Jewellery Pourtoujours,https://www.glamira.com/glamira-body-jewellery-pourtoujours.html,"$2,321.00",14K Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11860pourtoujours/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/red.jpg
GLAMIRAApple Watch® Accessory Gracioso - B,https://www.glamira.com/glamira-apple-watchr-accessory-gracioso-b.html,$410.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/graciosob-g/alloycolour/white.jpg
GLAMIRAApple Watch® Accessory Gracioso - A,https://www.glamira.com/glamira-apple-watchr-accessory-gracioso-a.html,$497.00,14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/graciosoa-g/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRAApple Watch® Accessory Gracioso - SET,https://www.glamira.com/glamira-apple-watchr-accessory-gracioso-set.html,$827.00,14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/graciososet-g/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRAEarring Relasyon,https://www.glamira.com/glamira-earring-relasyon.html,$483.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/10553relasyon/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAEarring Eriline,https://www.glamira.com/glamira-earring-eriline.html,"$1,011.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/eriline-g/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRABracelet Pade,https://www.glamira.com/glamira-bracelet-pade.html,$361.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/pade-g/alloycolour/yellow.jpg
GLAMIRANecklace Genwina,https://www.glamira.com/glamira-necklace-genwina.html,$715.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/10930genwina/alloycolour/white.jpg
GLAMIRAHair Clip Unlike,https://www.glamira.com/glamira-hair-clip-unlike.html,"$1,768.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/unlike-g/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRARing Ulanmoq,https://www.glamira.com/glamira-ring-ulanmoq.html,$391.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ulanmoq-g/alloycolour/red.jpg
GLAMIRARing Koshmar,https://www.glamira.com/glamira-ring-koshmar.html,$395.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/koshmar-g/alloycolour/yellow.jpg
GLAMIRABracelet Remeny,https://www.glamira.com/glamira-bracelet-remeny.html,$377.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/remeny-g/alloycolour/red.jpg
GLAMIRAEarring Famoe,https://www.glamira.com/glamira-earring-famoe.html,$791.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/famoe-g/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Elkarrekin,https://www.glamira.com/glamira-earring-elkarrekin.html,$513.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/10553elkarrekin/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Unitetin,https://www.glamira.com/glamira-earring-unitetin.html,$428.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/10553unitetin/alloycolour/yellow.jpg
GLAMIRAApple Watch® Accessory Hopeso - C,https://www.glamira.com/glamira-apple-watchr-accessory-hopeso-c.html,$323.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/hopesoc-g/alloycolour/yellow.jpg
GLAMIRARing Adventure,https://www.glamira.com/glamira-ring-adventure.html,"$5,143.00",14K Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/adventure-g/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/red.jpg
GLAMIRARing Honorable,https://www.glamira.com/glamira-ring-honorable.html,"$1,148.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/honorable-g/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRARing Yorqi,https://www.glamira.com/glamira-ring-yorqi.html,$768.00,14K Rose Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/yorqi-g/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/red.jpg
GLAMIRARing Farfalla,https://www.glamira.com/glamira-ring-farfalla.html,"$1,855.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/farfalla-g/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/stone3/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRARing Xhuma,https://www.glamira.com/glamira-ring-xhuma.html,"$1,834.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11860xhuma/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRAHair Clip Bobanc,https://www.glamira.com/glamira-hair-clip-bobanc.html,"$1,201.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11860bobanc-new/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRANecklace Parfois,https://www.glamira.com/glamira-necklace-parfois.html,$801.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/10553parfois/alloycolour/red.jpg
GLAMIRAEarring Kinabuhi,https://www.glamira.com/glamira-earring-kinabuhi.html,$669.00,14K Yellow Gold & Brown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/10930kinabuhi/diamond/browndiamond_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Aequitas,https://www.glamira.com/glamira-earring-aequitas.html,"$2,098.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11860aequitas/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRANecklace Decus,https://www.glamira.com/glamira-necklace-decus.html,"$1,905.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/decus-g/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/stone3/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAApple Watch® Accessory Subitem,https://www.glamira.com/glamira-apple-watchr-accessory-subitem.html,$479.00,14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/subitem-g/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRANecklace Soifdevivre,https://www.glamira.com/glamira-necklace-soifdevivre.html,"$1,281.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/10553soifdevivre/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRABody Jewellery Spell SET,https://www.glamira.com/glamira-body-jewellery-spell-set.html,"$3,369.00",14K White Gold / Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12182spell-set/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/stone3/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRAApple Watch® Accessory Lavenir - A,https://www.glamira.com/glamira-apple-watchr-accessory-lavenir-a.html,$246.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lavenira-g/alloycolour/white.jpg
