name,url,price,description,image_urls
Engagement Ring Uzice,https://www.glamira.com/engagement-ring-uzice.html,$658.00,14K White Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20229uzice/diamond/diamond-sapphire_AA/alloycolour/white.jpg
Wedding Ring Normalize Pair,https://www.glamira.com/normalize-pair.html,"$1,556.00",14K White Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/normalize1/womenstone/diamond-sapphire_AAA/alloycolour/white.jpg
Wedding Ring Kastellorizo Pair,https://www.glamira.com/kastellorizo-pair.html,"$1,109.00",14K White Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/kastellorizo/womenstone/diamond-sapphire_AAA/alloycolour/white.jpg
Wedding Ring Culleredo Pair,https://www.glamira.com/culleredo-pair.html,"$1,719.00",14K White Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/culleredo/womenstone/diamond-sapphire_AAA/alloycolour/white.jpg
Wedding Ring Marseiles Pair,https://www.glamira.com/marseiles-pair.html,"$1,879.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/marseiles/womenstone/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Abrucena,https://www.glamira.com/glamira-ring-abrucena.html,$955.00,14K White Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17471abrucena/diamond/diamond-sapphire_AAA/alloycolour/white.jpg
GLAMIRARing Adamus,https://www.glamira.com/glamira-ring-adamus.html,$842.00,14K White Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17471adamus/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/white.jpg
GLAMIRARing Agreloussa,https://www.glamira.com/glamira-ring-agreloussa.html,"$1,029.00",14K White Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17471agreloussa/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/stone3/diamond-sapphire_AAA/alloycolour/white.jpg
GLAMIRARing Aguadulce,https://www.glamira.com/glamira-ring-aguadulce.html,"$1,087.00",14K White Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17471aguadulce/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/white.jpg
GLAMIRARing Ajna,https://www.glamira.com/glamira-ring-ajna.html,$696.00,14K White Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17471ajna/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/white.jpg
GLAMIRARing Alapos,https://www.glamira.com/glamira-ring-alapos.html,$518.00,14K White Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17471alapos/diamond/diamond-sapphire_AAA/alloycolour/white.jpg
GLAMIRARing Alboloduy,https://www.glamira.com/glamira-ring-alboloduy.html,"$1,038.00",14K White Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17471alboloduy/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/white.jpg
