name,url,price,description,image_urls
GLAMIRANecklace Soisfier,https://www.glamira.com/glamira-necklace-soisfier.html,$946.00,14K Yellow Gold & White Sapphire,"https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12873soisfier/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12873suikerell/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/darkindianred.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12873bizitza/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12873bondade/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12873capillus/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12873cauda/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg"
GLAMIRAPendant Bizitza,https://www.glamira.com/glamira-pendant-bizitza.html,$964.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12873bizitza/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Bondade,https://www.glamira.com/glamira-necklace-bondade.html,$561.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12873bondade/alloycolour/yellow.jpg
GLAMIRANecklace Capillus,https://www.glamira.com/glamira-necklace-capillus.html,"$1,901.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12873capillus/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Cauda,https://www.glamira.com/glamira-necklace-cauda.html,$900.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12873cauda/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Choker Necklace Eunoia,https://www.glamira.com/glamira-necklace-eunoia.html,$655.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/eunoia-h/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAPendant Dusha,https://www.glamira.com/glamira-pendant-dusha.html,$643.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/dusha-h/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Amuseren,https://www.glamira.com/glamira-necklace-amuseren.html,$863.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/amuseren-h/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/ochreorange-darkindianred.jpg
GLAMIRANecklace Tillit,https://www.glamira.com/glamira-necklace-tillit.html,$685.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/tillit-h/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/ochreorange.jpg
GLAMIRAPendant Oryn,https://www.glamira.com/glamira-pendant-oryn.html,$567.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/oryn-h/alloycolour/yellow.jpg
