name,url,price,description,image_urls
GLAMIRABracelet Svecha,https://www.glamira.com/glamira-bracelet-svecha.html,$500.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12803svecha/alloycolour/yellow.jpg
GLAMIRAPendant Mphamvu,https://www.glamira.com/glamira-pendant-mphamvu.html,$502.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12803mphamvu/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/olivegreen.jpg
GLAMIRARing Bendith,https://www.glamira.com/glamira-ring-bendith.html,$345.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bendith-h/alloycolour/yellow.jpg
GLAMIRAPendant Tigris,https://www.glamira.com/glamira-pendant-tigris.html,$333.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/tigris-h/alloycolour/yellow.jpg
GLAMIRARing Proteger,https://www.glamira.com/glamira-ring-proteger.html,$927.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12873proteger/alloycolour/yellow/accent/olivegreen.jpg
GLAMIRARing Blagoslovi,https://www.glamira.com/glamira-ring-blagoslovi.html,$383.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12803blagoslovi/alloycolour/yellow.jpg
GLAMIRABracelet Moitheos,https://www.glamira.com/glamira-bracelet-moitheos.html,$309.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/moitheos-h/alloycolour/yellow.jpg
GLAMIRAApple Watch® Accessory Nodez - A,https://www.glamira.com/glamira-apple-watchr-accessory-nodez-a.html,$601.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12873nodez-a1/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAApple Watch® Accessory Nodez - B,https://www.glamira.com/glamira-apple-watchr-accessory-nodez-b.html,$525.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12873nodez-b1/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAApple Watch® Accessory Nodez - C,https://www.glamira.com/glamira-apple-watchr-accessory-nodez-c.html,$353.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12873nodez-c1/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAApple Watch® Accessory Nodez - D,https://www.glamira.com/glamira-apple-watchr-accessory-nodez-d.html,$363.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12873nodez-d1/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAApple Watch® Accessory Nodez - SET,https://www.glamira.com/glamira-apple-watchr-accessory-nodez-set.html,"$1,381.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12873nodez-set/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Crepusculum,https://www.glamira.com/glamira-ring-crepusculum.html,$470.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12803crepusculum/alloycolour/yellow.jpg
GLAMIRARing Insula,https://www.glamira.com/glamira-ring-insula.html,$417.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12803insula/alloycolour/yellow.jpg
GLAMIRAApple Watch® Accessory Qarsoodiga - A,https://www.glamira.com/glamira-apple-watchr-accessory-qarsoodiga-a.html,$482.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/qarsoodiga-a-h/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Abysmal,https://www.glamira.com/glamira-ring-abysmal.html,$728.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12803abysmal/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Dalotsos,https://www.glamira.com/glamira-bracelet-dalotsos.html,$344.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12803dalotsos/alloycolour/yellow/accent/fossilgray.jpg
GLAMIRABracelet Anwyn,https://www.glamira.com/glamira-bracelet-anwyn.html,$374.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12803anwyn/alloycolour/yellow.jpg
GLAMIRAEarring Kuwala,https://www.glamira.com/glamira-earring-kuwala.html,$355.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12803kuwala/alloycolour/yellow.jpg
GLAMIRAEarring Raini,https://www.glamira.com/glamira-earring-raini.html,$711.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12803raini/alloycolour/yellow.jpg
GLAMIRARing Valsigna,https://www.glamira.com/glamira-ring-valsigna.html,$572.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12803valsigna/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Unending,https://www.glamira.com/glamira-ring-unending.html,$428.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12803unending/alloycolour/yellow.jpg
GLAMIRARing Abraxas,https://www.glamira.com/glamira-ring-abraxas.html,$967.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12803abraxas/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Waiwai,https://www.glamira.com/glamira-earring-waiwai.html,$769.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12803waiwai/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/fossilgray.jpg
GLAMIRAEarring Vlust,https://www.glamira.com/glamira-earring-vlust.html,"$1,041.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12803vlust/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/ochreorange.jpg
GLAMIRANecklace Vendari,https://www.glamira.com/glamira-necklace-vendari.html,"$1,009.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12803vendari/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/darkindianred.jpg
GLAMIRARing Tekelakayi,https://www.glamira.com/glamira-ring-tekelakayi.html,$826.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12803tekelakayi/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/darkindianred.jpg
GLAMIRARing Pushtetin,https://www.glamira.com/glamira-ring-pushtetin.html,"$1,117.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12803pushtetin/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/cobaltturquoise.jpg
GLAMIRARing Puipui,https://www.glamira.com/glamira-ring-puipui.html,"$1,005.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12803puipui/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/ochreorange.jpg
GLAMIRARing Prutettore,https://www.glamira.com/glamira-ring-prutettore.html,$689.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12803prutettore/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/darkindianred.jpg
GLAMIRANecklace Protettur,https://www.glamira.com/glamira-necklace-protettur.html,"$1,920.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12803protettur/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/stone3/diamond-sapphire_AAA/alloycolour/yellow/accent/fossilgray.jpg
GLAMIRARing Poverenje,https://www.glamira.com/glamira-ring-poverenje.html,$904.00,14K Yellow Gold & White Sapphire & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12803poverenje/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/pearl/white_pearl/accent/cobaltturquoise.jpg
GLAMIRAEarring Potentia,https://www.glamira.com/glamira-earring-potentia.html,$966.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12803potentia/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/ochreorange.jpg
GLAMIRARing Muhofiz,https://www.glamira.com/glamira-ring-muhofiz.html,$737.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12803muhofiz/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/cobaltturquoise.jpg
