name,url,price,description,image_urls
GLAMIRAPaperclip Bracelet Cuvette - K,https://www.glamira.com/glamira-paperclip-bracelet-cuvette-k.html,$798.00,14K Yellow Gold / Moissanite & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cuvette-k-pc/diamond/labdiamond_AAAA/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRAPaperclip Bracelet Cuvette - U,https://www.glamira.com/glamira-paperclip-bracelet-cuvette-u.html,$787.00,14K Yellow Gold / Moissanite & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cuvette-u-pc/diamond/labdiamond_AAAA/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRABracelet Aswelly,https://www.glamira.com/glamira-bracelet-aswelly.html,$577.00,14K Yellow Gold & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/aswelly-b/diamond/diamond-Swarovsky_AAAAA/alloycolour/yellow.jpg
GLAMIRABracelet Fouett,https://www.glamira.com/glamira-bracelet-fouett.html,$591.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/fouett-b/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRABracelet Tonya,https://www.glamira.com/glamira-bracelet-tonya.html,$417.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/tonya/alloycolour/white.jpg
GLAMIRABracelet Denyse,https://www.glamira.com/glamira-bracelet-denyse.html,$565.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/denyse/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Jona,https://www.glamira.com/glamira-bracelet-jona.html,$920.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/jona/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Nikolet,https://www.glamira.com/glamira-bracelet-nikolet.html,$492.00,14K Yellow & White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/OEBL-017/alloycolour/yellow_white.jpg
GLAMIRABracelet Narva,https://www.glamira.com/glamira-bracelet-narva.html,$568.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/OEBL-016/alloycolour/white.jpg
GLAMIRABracelet Leann,https://www.glamira.com/glamira-bracelet-leann.html,$990.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/leann/alloycolour/white.jpg
GLAMIRABracelet Seliger,https://www.glamira.com/glamira-bracelet-seliger.html,$544.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/OEBL-021/alloycolour/yellow.jpg
GLAMIRABracelet Dotty,https://www.glamira.com/glamira-bracelet-dotty.html,$571.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/OEBL-014/alloycolour/white.jpg
GLAMIRABracelet Ivana,https://www.glamira.com/glamira-bracelet-ivana.html,$424.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/OEBL-015/alloycolour/red.jpg
GLAMIRABracelet Bethany,https://www.glamira.com/glamira-bracelet-bethany.html,"$1,402.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bethany-b/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Sevan,https://www.glamira.com/glamira-bracelet-sevan.html,$636.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/OEBL-022/alloycolour/white.jpg
