name,url,price,description,image_urls
GLAMIRAEarring Deviera D,https://www.glamira.com/glamira-earring-deviera-d.html,$439.00,14K Rose Gold / Ruby,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/6721deviera-d/diamond/ruby_AAA/alloycolour/red.jpg
GLAMIRAEarring Fiorini,https://www.glamira.com/glamira-earring-fiorini.html,"$1,123.00",14K Rose Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/fiorini-e1/diamond/labdiamond_AAAA/alloycolour/red.jpg
GLAMIRAEarring Colerea,https://www.glamira.com/glamira-earring-colerea.html,"$1,245.00",14K Rose Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/colerea-e/diamond/labdiamond_AAAA/alloycolour/red/accent/black.jpg
GLAMIRAEarring Vingtieme - C,https://www.glamira.com/glamira-earring-vingtieme-c.html,$930.00,14K White Gold / Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/vingtieme-c-p/diamond/labdiamond_AAAA/alloycolour/white/accent/black.jpg
GLAMIRAEarring Vingtieme - J,https://www.glamira.com/glamira-earring-vingtieme-j.html,$931.00,14K White Gold / Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/vingtieme-j-p/diamond/labdiamond_AAAA/alloycolour/white/accent/black.jpg
GLAMIRAEarring Vingtieme - T,https://www.glamira.com/glamira-earring-vingtieme-t.html,$929.00,14K White Gold / Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/vingtieme-t-p/diamond/labdiamond_AAAA/alloycolour/white/accent/black.jpg
GLAMIRAEarring Elmolt - A,https://www.glamira.com/glamira-earring-elmolt-a.html,"$1,182.00",14K Yellow Gold / Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14987elmolt-a/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow/accent/black.jpg
GLAMIRAEarring Elmolt - H,https://www.glamira.com/glamira-earring-elmolt-h.html,"$1,188.00",14K Yellow Gold / Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14987elmolt-h/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow/accent/black.jpg
GLAMIRAEarring Mindi A,https://www.glamira.com/glamira-earring-mindi-a.html,$745.00,14K White & Rose Gold / Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mindi-ea/diamond/labdiamond_AAAA/alloycolour/white_red.jpg
GLAMIRAEarring Mindi X,https://www.glamira.com/glamira-earring-mindi-x.html,$745.00,14K White & Rose Gold / Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mindi-ex/diamond/labdiamond_AAAA/alloycolour/white_red.jpg
GLAMIRAEarring Girandole A,https://www.glamira.com/glamira-earring-girandole-a.html,$937.00,14K White Gold / Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/6721girandole-a/diamond/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRAEarring Girandole D,https://www.glamira.com/glamira-earring-girandole-d.html,$962.00,14K Yellow Gold / Amethyst,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/6721girandole-d1/diamond/amethyst_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Girandole F,https://www.glamira.com/glamira-earring-girandole-f.html,$927.00,14K White Gold / Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/6721girandole-f/diamond/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
