name,url,price,description,image_urls
GLAMIRANecklace Fidela,https://www.glamira.com/glamira-necklace-fidela.html,$405.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/fidela/alloycolour/yellow.jpg
GLAMIRAPendant Macey,https://www.glamira.com/glamira-pendant-macey.html,$470.00,14K Yellow & White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/OEPD-069/alloycolour/yellow_white.jpg
GLAMIRAPendant Marva R,https://www.glamira.com/glamira-pendant-marva-r.html,$412.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/marva-r/alloycolour/white.jpg
GLAMIRAPendant Sibyl M,https://www.glamira.com/glamira-pendant-sibyl-m.html,$407.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sibyl-m/alloycolour/yellow.jpg
GLAMIRAPendant Goudron - K,https://www.glamira.com/glamira-pendant-goudron-k.html,$485.00,14K White & Yellow Gold  & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/goudron-k-n/diamond/diamond-Swarovsky_AAAAA/alloycolour/white_yellow.jpg
GLAMIRAPendant Velopoula - W,https://www.glamira.com/glamira-pendant-velopoula-w.html,$581.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17439velopoula-w/diamond/lab-grown-diamond_AAA/alloycolour/yellow/accent/neon-orange.jpg
GLAMIRAPendant Marva A,https://www.glamira.com/glamira-pendant-marva-a.html,$412.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/marva-a/alloycolour/yellow.jpg
GLAMIRAPendant Suelita,https://www.glamira.com/glamira-pendant-suelita.html,$485.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/OEPD-091/alloycolour/yellow.jpg
GLAMIRAPendant Minetta,https://www.glamira.com/glamira-pendant-minetta.html,$371.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/OEPD-077/alloycolour/yellow.jpg
GLAMIRAPendant Marika,https://www.glamira.com/glamira-pendant-marika.html,$496.00,14K White & Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/OEPD-072/alloycolour/white_red.jpg
