name,url,price,description,image_urls
GLAMIRANecklace Abnormally,https://www.glamira.com/glamira-necklace-abnormally.html,$746.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17353abnormally/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/black-white.jpg
GLAMIRAPendant Dionysades,https://www.glamira.com/glamira-pendant-dionysades.html,$512.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17353dionysades/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-blue.jpg
GLAMIRANecklace Souda,https://www.glamira.com/glamira-necklace-souda.html,$503.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17358souda/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-pink.jpg
GLAMIRAPinky Ring External,https://www.glamira.com/glamira-pinky-ring-external.html,$542.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/external-jy/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/black-white.jpg
GLAMIRAEarring Leros,https://www.glamira.com/glamira-earring-leros.html,$735.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/leros-jy/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-blue.jpg
GLAMIRAEarring Lismore,https://www.glamira.com/glamira-earring-lismore.html,$880.00,14K Yellow Gold & Sapphire & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lismore-jy/diamond/sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-blue.jpg
GLAMIRAEarring Mafaro,https://www.glamira.com/glamira-earring-mafaro.html,$842.00,14K Yellow Gold & Sapphire & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mafaro-jy/diamond/sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-blue.jpg
GLAMIRAEarring Maliwanag,https://www.glamira.com/glamira-earring-maliwanag.html,$584.00,14K Yellow Gold & Sapphire & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/maliwanag-jy/diamond/sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-blue.jpg
GLAMIRAEarring Minturn,https://www.glamira.com/glamira-earring-minturn.html,$960.00,14K Yellow Gold & Ruby & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/minturn-jy/diamond/ruby_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-pink.jpg
GLAMIRAEarring Modi,https://www.glamira.com/glamira-earring-modi.html,$677.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/modi-jy/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-blue.jpg
GLAMIRAEarring Nisis,https://www.glamira.com/glamira-earring-nisis.html,$977.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nisis-jy/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-orange.jpg
GLAMIRAEarring Patroklos,https://www.glamira.com/glamira-earring-patroklos.html,$901.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/patroklos-jy/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-green.jpg
GLAMIRAEarring Psili,https://www.glamira.com/glamira-earring-psili.html,$641.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/psili-jy/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/neon-green.jpg
