name,url,price,description,image_urls
GLAMIRAKids Bracelet Rachelis,https://www.glamira.com/glamira-kids-bracelet-rachelis.html,$289.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KIDB-006/alloycolour/red.jpg
GLAMIRAKids Bracelet Gardey,https://www.glamira.com/glamira-kids-bracelet-gardey.html,$241.00,14K White Gold & Rose Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gardey-b/alloycolour/white/pearl/red_pearl.jpg
GLAMIRAKids Bracelet Bituon,https://www.glamira.com/glamira-kids-bracelet-bituon.html,$310.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bituon-y/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAKids Bracelet Puthika,https://www.glamira.com/glamira-kids-bracelet-puthika.html,$385.00,14K Rose Gold & Pink Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KIDB-U033/diamond/pinksapphire_AAA/alloycolour/red.jpg
GLAMIRAKids Bracelet Drew,https://www.glamira.com/glamira-kids-bracelet-drew.html,$370.00,14K Yellow Gold & Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/drew-kbb/diamond/sapphire_AAA/alloycolour/yellow/accent/black.jpg
GLAMIRAKids Bracelet Adjustment,https://www.glamira.com/glamira-kids-bracelet-adjustment.html,$301.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15944adjustment/alloycolour/yellow/accent/silver_glitter.jpg
GLAMIRAKids Bracelet Posie,https://www.glamira.com/glamira-kids-bracelet-posie.html,$319.00,14K Yellow & White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/kidb-u029-1/diamond/diamond-Brillant_AAA/alloycolour/yellow_white.jpg
GLAMIRAKids Bracelet Sitora,https://www.glamira.com/glamira-kids-bracelet-sitora.html,$460.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sitora-yw/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAKids Bracelet Jenee,https://www.glamira.com/glamira-kids-bracelet-jenee.html,$302.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/jenee-n/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRAKids Bracelet Falcila,https://www.glamira.com/glamira-kids-bracelet-falcila.html,$424.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KIDB-U023/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
