name,url,price,description,image_urls
GLAMIRAKids Earring Tiffanie,https://www.glamira.com/glamira-kids-earring-tiffanie.html,$314.00,14K White Gold / Pink Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/tiffanie/diamond/pinksapphire_AAA/alloycolour/white.jpg
GLAMIRAKids Earring Yang,https://www.glamira.com/glamira-kids-earring-yang.html,$320.00,14K White Gold / Pink Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/yang/diamond/pinksapphire_AAA/alloycolour/white.jpg
GLAMIRAKids Earring Allie,https://www.glamira.com/glamira-kids-earring-allie.html,$299.00,14K Yellow Gold / Emerald,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/allie/diamond/emerald_AAA/alloycolour/yellow.jpg
GLAMIRAKids Earring Jeromy,https://www.glamira.com/glamira-kids-earring-jeromy.html,$269.00,14K Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/jeromy-k/diamond/diamond-Brillant_AAA/alloycolour/red.jpg
GLAMIRAKids Earring Piedshor,https://www.glamira.com/glamira-kids-earring-piedshor.html,$261.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/piedshor-k/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRAKids Earring Dazalyn,https://www.glamira.com/glamira-kids-earring-dazalyn.html,$241.00,14K Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KIDE-071/diamond/diamond-Brillant_AAA/alloycolour/red.jpg
GLAMIRAKids Earring Collette,https://www.glamira.com/glamira-kids-earring-collette.html,$308.00,14K White Gold / Pink Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/collette/diamond/pinksapphire_AAA/alloycolour/white.jpg
GLAMIRAKids Earring Berika,https://www.glamira.com/glamira-kids-earring-berika.html,$330.00,14K Rose & White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KIDE-110/diamond/diamond-Brillant_AAA/alloycolour/red_white.jpg
GLAMIRAKids Earring Delaris,https://www.glamira.com/glamira-kids-earring-delaris.html,$267.00,14K Yellow Gold & Pink Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KIDE-029/diamond/pinksapphire_AAA/alloycolour/yellow.jpg
GLAMIRAKids Earring Tangkal,https://www.glamira.com/glamira-kids-earring-tangkal.html,$669.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/tangkal-y/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAKids Earring Aliane,https://www.glamira.com/glamira-kids-earring-aliane.html,$277.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11091aliane-new/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAKids Earring Damilala,https://www.glamira.com/glamira-kids-earring-damilala.html,$237.00,14K Rose Gold & Pink Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KIDE-079/diamond/pinksapphire_AAA/alloycolour/red.jpg
GLAMIRAKids Earring Extreage,https://www.glamira.com/glamira-kids-earring-extreage.html,$296.00,14K Rose Gold & Blue Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/11091extreage/diamond/bluediamond_A/alloycolour/red/accent/white.jpg
GLAMIRAKids Earring Stami,https://www.glamira.com/glamira-kids-earring-stami.html,$335.00,14K Rose Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/stami-k/diamond/labdiamond_AAAA/alloycolour/red.jpg
GLAMIRAKids Earring Knotts,https://www.glamira.com/glamira-kids-earring-knotts.html,$258.00,14K Rose Gold & Pink Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/knotts1/diamond/pinksapphire_AAA/alloycolour/red.jpg
GLAMIRAKids Earring Malarkae,https://www.glamira.com/glamira-kids-earring-malarkae.html,$414.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/malarkae-yw/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
