name,url,price,description,image_urls
GLAMIRAKids Necklace Rionnag,https://www.glamira.com/glamira-kids-necklace-rionnag.html,$371.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/rionnag-yw/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAKids Pendant Tefnut,https://www.glamira.com/glamira-kids-pendant-tefnut.html,$307.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KIP-067/alloycolour/red.jpg
GLAMIRAKids Pendant Establish - E,https://www.glamira.com/glamira-kids-pendant-establish-e.html,$485.00,14K Yellow Gold / Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15901establish-e/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAKids Necklace Illogicality,https://www.glamira.com/glamira-kids-necklace-illogicality.html,$469.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15901illogicality/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAKids Pendant Qvavilebi,https://www.glamira.com/glamira-kids-pendant-qvavilebi.html,$419.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/qvavilebi-yw/alloycolour/yellow/accent/aqua_sky.jpg
GLAMIRAKids Pendant Darifa,https://www.glamira.com/glamira-kids-pendant-darifa.html,$439.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/darifa-n/alloycolour/white.jpg
GLAMIRAKids Pendant Kishs,https://www.glamira.com/glamira-kids-pendant-kishs.html,$420.00,14K White Gold & Pink Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/8905kishs/diamond/pinksapphire_AAA/alloycolour/white.jpg
GLAMIRAKids Pendant Meenmutty,https://www.glamira.com/glamira-kids-pendant-meenmutty.html,$428.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KIP-054/alloycolour/yellow.jpg
GLAMIRAKids Pendant Larrick,https://www.glamira.com/glamira-kids-pendant-larrick.html,$347.00,14K Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/larrick1/diamond/diamond-Brillant_AAA/alloycolour/red.jpg
GLAMIRAPendant Maxilaria Daughter,https://www.glamira.com/glamira-pendant-maxilaria-daughter.html,$383.00,14K Yellow Gold / Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/maxilaria-daughter-y/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAKids Pendant Veliki,https://www.glamira.com/glamira-kids-pendant-veliki.html,$339.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KIP-176/alloycolour/yellow.jpg
GLAMIRAKids Necklace Tragen,https://www.glamira.com/glamira-kids-necklace-tragen.html,$521.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/EPK-49U/alloycolour/white/accent/brown.jpg
GLAMIRAKids Pendant Cachou,https://www.glamira.com/glamira-kids-pendant-cachou.html,$365.00,14K Yellow Gold & Amethyst,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/8905cachou/diamond/amethyst_AAA/alloycolour/yellow/accent/black.jpg
GLAMIRAKids Necklace Antanella,https://www.glamira.com/glamira-kids-necklace-antanella.html,$367.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/EPK-03U1/diamond/diamond-Brillant_AAA/alloycolour/white/accent/babyblue.jpg
GLAMIRAKids Pendant Wobbe,https://www.glamira.com/glamira-kids-pendant-wobbe.html,$368.00,14K Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/wobbe1/diamond/diamond-Brillant_AAA/alloycolour/red.jpg
GLAMIRAKids Necklace Liberation,https://www.glamira.com/glamira-kids-necklace-liberation.html,$483.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15901liberation/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAKids Pendant Kutal,https://www.glamira.com/glamira-kids-pendant-kutal.html,$541.00,14K Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KIP-013/diamond/diamond-Brillant_AAA/alloycolour/red.jpg
