name,url,price,description,image_urls
GLAMIRAKids Ring Obleva,https://www.glamira.com/glamira-ring-obleva.html,$280.00,14K Yellow Gold & Moissanite,"https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17976obleva/diamond/labdiamond_AAAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17976nifir/diamond/labdiamond_AAAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17976nobill/diamond/labdiamond_AAAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17976nolas/diamond/labdiamond_AAAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15944ylber-daughter/diamond/lab-grown-diamond_AAA/alloycolour/yellow_white.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15944ortzadarra-daughter/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg"
GLAMIRAKids Ring Nifir,https://www.glamira.com/glamira-ring-nifir.html,$215.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17976nifir/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRAKids Ring Nobill,https://www.glamira.com/glamira-ring-nobill.html,$450.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17976nobill/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRAKids Ring Nolas,https://www.glamira.com/glamira-ring-nolas.html,$257.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17976nolas/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRARing Ylber Daughter,https://www.glamira.com/glamira-ring-ylber-daughter.html,$477.00,14K Yellow & White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15944ylber-daughter/diamond/lab-grown-diamond_AAA/alloycolour/yellow_white.jpg
GLAMIRARing Ortzadarra Daughter,https://www.glamira.com/glamira-ring-ortzadarra-daughter.html,$550.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15944ortzadarra-daughter/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAKids Ring Riccia,https://www.glamira.com/glamira-kids-ring-riccia.html,$383.00,14K White Gold & Yellow Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U010/diamond/yellow-sapphire_AAA/alloycolour/white.jpg
GLAMIRAKids Ring Altoy,https://www.glamira.com/glamira-kids-ring-altoy.html,$268.00,14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/altoy-r/diamond/labdiamond_AAAA/alloycolour/white/accent/pink.jpg
GLAMIRAKids Ring Hajar,https://www.glamira.com/glamira-kids-ring-hajar.html,$406.00,14K Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U006/diamond/diamond-Brillant_AAA/alloycolour/red.jpg
GLAMIRAKids Ring Rainbo,https://www.glamira.com/glamira-kids-ring-rainbo.html,$877.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U009/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRAKids Ring Debbie,https://www.glamira.com/glamira-kids-ring-debbie.html,$795.00,14K Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KIDS12/diamond/diamond-Brillant_AAA/alloycolour/red.jpg
GLAMIRAKids Ring Micah,https://www.glamira.com/glamira-kids-ring-micah.html,$438.00,14K Rose & White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U008/diamond/lab-grown-diamond_AAA/alloycolour/red_white.jpg
GLAMIRAKids Ring Tryna,https://www.glamira.com/glamira-kids-ring-tryna.html,$323.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U042/alloycolour/white.jpg
GLAMIRAKids Ring Petunia,https://www.glamira.com/glamira-kids-ring-petunia.html,$903.00,14K Rose Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KIDS1/diamond/lab-grown-diamond_AAA/alloycolour/red.jpg
GLAMIRAKids Ring Tiane,https://www.glamira.com/glamira-kids-ring-tiane.html,$303.00,14K Yellow Gold & Yellow Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U020/diamond/yellow-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAKids Ring Sweetie,https://www.glamira.com/glamira-kids-ring-sweetie.html,$920.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KIDS9/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAKids Ring Trixie,https://www.glamira.com/glamira-kids-ring-trixie.html,$355.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U023/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRAKids Ring Makayl,https://www.glamira.com/glamira-kids-ring-makayl.html,$341.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U049/alloycolour/yellow.jpg
GLAMIRAKids Ring Stanwyk,https://www.glamira.com/glamira-kids-ring-stanwyk.html,$437.00,14K White & Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U015/diamond/diamond-Brillant_AAA/alloycolour/white_red.jpg
GLAMIRAKids Ring Bumbleberry,https://www.glamira.com/glamira-kids-ring-bumbleberry.html,$395.00,14K White Gold & Amethyst,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U004/diamond/amethyst_AAA/alloycolour/white.jpg
GLAMIRAKids Ring Lodema,https://www.glamira.com/glamira-kids-ring-lodema.html,$364.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U035/alloycolour/white.jpg
GLAMIRAKids Ring Stewey,https://www.glamira.com/glamira-kids-ring-stewey.html,$360.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U054/alloycolour/yellow.jpg
GLAMIRAKids Ring Rigel,https://www.glamira.com/glamira-kids-ring-rigel.html,$581.00,14K Yellow & White Gold & Ruby,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U011A1/diamond/ruby_AAA/alloycolour/yellow_white.jpg
GLAMIRAKids Ring Versie,https://www.glamira.com/glamira-kids-ring-versie.html,$375.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U025/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAKids Ring Maryjo,https://www.glamira.com/glamira-kids-ring-maryjo.html,$347.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U050/alloycolour/white.jpg
GLAMIRAKids Ring Roan,https://www.glamira.com/glamira-kids-ring-roan.html,$298.00,14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/roan1/diamond/labdiamond_AAAA/alloycolour/white.jpg
GLAMIRAKids Ring Bolaria,https://www.glamira.com/glamira-kids-ring-bolaria.html,$341.00,14K White & Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U033/alloycolour/white_red.jpg
GLAMIRAKids Ring Maniola,https://www.glamira.com/glamira-kids-ring-maniola.html,$408.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U037/alloycolour/white.jpg
GLAMIRAKids Ring Rimona,https://www.glamira.com/glamira-kids-ring-rimona.html,$355.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U052/alloycolour/white.jpg
GLAMIRAKids Ring Thomdic,https://www.glamira.com/glamira-kids-ring-thomdic.html,$341.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U055/alloycolour/white.jpg
GLAMIRAKids Ring Gigi,https://www.glamira.com/glamira-kids-ring-gigi.html,"$6,011.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KIDS2/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAKids Ring Lola,https://www.glamira.com/glamira-kids-ring-lola.html,"$1,202.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KIDS5/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAKids Ring Aefre,https://www.glamira.com/glamira-kids-ring-aefre.html,$410.00,14K White & Rose Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U001/diamond/lab-grown-diamond_AAA/alloycolour/white_red.jpg
GLAMIRAKids Ring Ajha,https://www.glamira.com/glamira-kids-ring-ajha.html,$491.00,14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U002/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRAKids Ring Algan,https://www.glamira.com/glamira-kids-ring-algan.html,$552.00,14K White Gold & Pink Tourmaline,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U003/diamond/pink-tourmaline_AAA/alloycolour/white.jpg
GLAMIRAKids Ring Suellen,https://www.glamira.com/glamira-kids-ring-suellen.html,$344.00,14K White & Rose Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U016/diamond/lab-grown-diamond_AAA/alloycolour/white_red.jpg
GLAMIRAKids Ring Tomasina,https://www.glamira.com/glamira-kids-ring-tomasina.html,$336.00,14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U021/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRAKids Ring Wenda,https://www.glamira.com/glamira-kids-ring-wenda.html,$380.00,14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U028/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRAKids Ring Makalah,https://www.glamira.com/glamira-kids-ring-makalah.html,$341.00,14K White & Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U036/alloycolour/white_red.jpg
GLAMIRAKids Ring Halona,https://www.glamira.com/glamira-kids-ring-halona.html,$341.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U048/alloycolour/white.jpg
GLAMIRAKids Ring Ponmile,https://www.glamira.com/glamira-kids-ring-ponmile.html,$381.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U051/alloycolour/white.jpg
GLAMIRAKids Ring Sanita,https://www.glamira.com/glamira-kids-ring-sanita.html,$355.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KDR-U053/alloycolour/white.jpg
GLAMIRAKids Ring Greedy,https://www.glamira.com/glamira-kids-ring-greedy.html,$272.00,14K White & Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/greedy1/alloycolour/white_red.jpg
GLAMIRAKids Ring Jelle,https://www.glamira.com/glamira-kids-ring-jelle.html,$235.00,14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/jelle1/diamond/labdiamond_AAAA/alloycolour/white/accent/white.jpg
GLAMIRAKids Ring Sofija,https://www.glamira.com/glamira-kids-ring-sofija.html,$262.00,14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sofija1n/diamond/labdiamond_AAAA/alloycolour/white/accent/yellow.jpg
GLAMIRAKids Ring Wrench,https://www.glamira.com/glamira-kids-ring-wrench.html,$271.00,14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/wrench1/diamond/labdiamond_AAAA/alloycolour/white/accent/red.jpg
GLAMIRAKids Ring Armindaj,https://www.glamira.com/glamira-kids-ring-armindaj.html,$330.00,14K White & Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/armindaj-r/alloycolour/white_red/accent/white.jpg
GLAMIRAKids Ring Asellae,https://www.glamira.com/glamira-kids-ring-asellae.html,$279.00,14K White & Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/asellae-r/alloycolour/white_red/accent/multicoloured.jpg
GLAMIRAKids Ring Duperie,https://www.glamira.com/glamira-kids-ring-duperie.html,$310.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/duperie-r/alloycolour/white/accent/pink.jpg
GLAMIRAKids Ring Jazzer,https://www.glamira.com/glamira-kids-ring-jazzer.html,$327.00,14K White & Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/jazzer-r/alloycolour/white_red.jpg
