name,url,price,description,image_urls
GLAMIRAKnuckle Ring Aethra,https://www.glamira.com/glamira-knuckle-ring-aethra.html,"$1,008.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Aethra/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRAKnuckle Ring Awilda,https://www.glamira.com/glamira-knuckle-ring-awilda.html,$387.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Awilda/alloycolour/white.jpg
GLAMIRAKnuckle Ring Theora,https://www.glamira.com/glamira-knuckle-ring-theora.html,$264.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Theora/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAKnuckle Ring Azolla,https://www.glamira.com/glamira-knuckle-ring-azolla.html,$536.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Azolla/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRAKnuckle Ring Sarkans,https://www.glamira.com/glamira-knuckle-ring-sarkans.html,$520.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sarkans-es/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAKnuckle Ring Marise,https://www.glamira.com/glamira-knuckle-ring-marise.html,"$1,471.00",14K Rose Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Marise/diamond/lab-grown-diamond_AAA/alloycolour/red.jpg
GLAMIRAKnuckle Ring Odile,https://www.glamira.com/glamira-knuckle-ring-odile.html,$582.00,14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Odile/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRAKnuckle Ring Servela,https://www.glamira.com/glamira-knuckle-ring-servela.html,$615.00,14K Rose Gold & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/servela1/diamond/blackdiamond_AAA/alloycolour/red.jpg
GLAMIRAKnuckle Ring Khubelu,https://www.glamira.com/glamira-knuckle-ring-khubelu.html,$498.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13339khubelu/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAKnuckle Ring Ealamai,https://www.glamira.com/glamira-knuckle-ring-ealamai.html,$507.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ealamai-es/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAKnuckle Ring Camillayn,https://www.glamira.com/glamira-knuckle-ring-camillayn.html,$419.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13342camillayn/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAKnuckle Ring Karissa,https://www.glamira.com/glamira-knuckle-ring-karissa.html,$276.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Karissa/alloycolour/red.jpg
GLAMIRAKnuckle Ring Jarina,https://www.glamira.com/glamira-knuckle-ring-jarina.html,$326.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/jarina1/alloycolour/white.jpg
GLAMIRAKnuckle Ring Sotiria,https://www.glamira.com/glamira-knuckle-ring-sotiria.html,$403.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Sotiria/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAKnuckle Ring Onesown,https://www.glamira.com/glamira-knuckle-ring-onesown.html,$920.00,14K Yellow Gold & Emerald,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/onesown-es/diamond/emerald_AAA/alloycolour/yellow.jpg
