name,url,price,description,image_urls
GLAMIRAEarring Panglantaw,https://www.glamira.com/glamira-earring-panglantaw.html,$643.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15201panglantaw/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/white.jpg
GLAMIRAEarring Pinorosso,https://www.glamira.com/glamira-earring-pinorosso.html,$858.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15201pinorosso/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/black.jpg
GLAMIRAEarring Scotchpine,https://www.glamira.com/glamira-earring-scotchpine.html,$912.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15201scotchpine/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/white.jpg
GLAMIRAEarring Setina,https://www.glamira.com/glamira-earring-setina.html,$841.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15201setina/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Sreya,https://www.glamira.com/glamira-earring-sreya.html,$686.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15201sreya/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Tikslas,https://www.glamira.com/glamira-earring-tikslas.html,$798.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15201tikslas/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/white.jpg
GLAMIRAEarring Tokorua,https://www.glamira.com/glamira-earring-tokorua.html,$803.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15201tokorua/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Vimal,https://www.glamira.com/glamira-earring-vimal.html,$749.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15201vimal/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Vaviris,https://www.glamira.com/glamira-earring-vaviris.html,$923.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15201vaviris/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/white.jpg
GLAMIRAEarring Venskab,https://www.glamira.com/glamira-earring-venskab.html,$779.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15201venskab/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/black.jpg
