name,url,price,description,image_urls
GLAMIRABangle Rosmarin,https://www.glamira.com/glamira-bangle-rosmarin.html,"$2,134.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15232rosmarin/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/white.jpg
GLAMIRAEarring Rudo,https://www.glamira.com/glamira-earring-rudo.html,$992.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/rudo-l/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/white.jpg
GLAMIRAEarring Bikote,https://www.glamira.com/glamira-earring-bikote.html,$829.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bikote-l/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Purnimas,https://www.glamira.com/glamira-earring-purnimas.html,$339.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/purnimas-l/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Maniwala,https://www.glamira.com/glamira-earring-maniwala.html,$874.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/maniwala-l/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Hamala,https://www.glamira.com/glamira-earring-hamala.html,$827.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/hamala-l/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Kunst,https://www.glamira.com/glamira-earring-kunst.html,$963.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/kunst-l/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/aqua_sky.jpg
GLAMIRAEarring Lostran,https://www.glamira.com/glamira-earring-lostran.html,$520.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lostran-l/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Ltyfa,https://www.glamira.com/glamira-earring-ltyfa.html,$666.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ltyfa-l/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Lumbers - A,https://www.glamira.com/glamira-earring-lumbers-a.html,$574.00,14K Yellow Gold / White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lumbers-a-l/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABangle Mohlolo,https://www.glamira.com/glamira-bangle-mohlolo.html,"$2,239.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15203mohlolo/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Gtanny,https://www.glamira.com/glamira-bracelet-gtanny.html,"$2,939.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15232gtanny/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/white.jpg
GLAMIRABracelet Hiedra,https://www.glamira.com/glamira-bracelet-hiedra.html,$587.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15232hiedra/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/black.jpg
GLAMIRABracelet Incipient,https://www.glamira.com/glamira-bracelet-incipient.html,"$1,918.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15232incipient/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABangle Ineffable,https://www.glamira.com/glamira-bangle-ineffable.html,"$3,293.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15232ineffable/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABangle Intenco,https://www.glamira.com/glamira-bangle-intenco.html,"$1,716.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15232intenco/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/white.jpg
GLAMIRABangle Layunin,https://www.glamira.com/glamira-bangle-layunin.html,"$2,326.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15232layunin/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/white.jpg
GLAMIRABracelet Lierre,https://www.glamira.com/glamira-bracelet-lierre.html,$495.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15232lierre/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/white.jpg
GLAMIRABangle Naerata,https://www.glamira.com/glamira-bangle-naerata.html,"$2,524.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/15232naerata/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
