name,url,price,description,image_urls
GLAMIRABracelet Gunay,https://www.glamira.com/glamira-bracelet-gunay.html,$360.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/6664gunay2/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Astropel,https://www.glamira.com/glamira-bracelet-astropel.html,$316.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/astropel-u/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRABracelet Heze,https://www.glamira.com/glamira-bracelet-heze.html,$620.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/heze-c/alloycolour/red.jpg
GLAMIRANecklace Prodigious,https://www.glamira.com/glamira-necklace-prodigious.html,$454.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/prodigious-u/alloycolour/yellow.jpg
GLAMIRAEarring Welkin,https://www.glamira.com/glamira-earring-welkin.html,$527.00,14K Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/welkin-d/diamond/diamond-Brillant_AAA/alloycolour/red.jpg
GLAMIRABracelet Namid,https://www.glamira.com/glamira-bracelet-namid.html,$268.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/6664namid1/alloycolour/yellow.jpg
GLAMIRANecklace Eftychia,https://www.glamira.com/glamira-necklace-eftychia.html,$605.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/eftychia-u1/alloycolour/red.jpg
GLAMIRAEarring Everardo,https://www.glamira.com/glamira-earring-everardo.html,$577.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/everardo2/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Exploding,https://www.glamira.com/glamira-necklace-exploding.html,"$1,122.00",14K White Gold & Emerald & Lab Grown Diamond & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/exploding-c/diamond/emerald_AA/stone2/lab-grown-diamond_AAA/stone3/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
GLAMIRANecklace Anecdoche,https://www.glamira.com/glamira-necklace-anecdoche.html,"$1,253.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/anecdoche-u/alloycolour/yellow.jpg
GLAMIRANecklace Aether,https://www.glamira.com/glamira-necklace-aether.html,$683.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/aether/alloycolour/yellow.jpg
GLAMIRABracelet Sevit,https://www.glamira.com/glamira-bracelet-sevit.html,$365.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sevit-c/alloycolour/white.jpg
GLAMIRAEarring Bertholdo,https://www.glamira.com/glamira-earring-bertholdo.html,$416.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bertholdo/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRANecklace Veenuse,https://www.glamira.com/glamira-necklace-veenuse.html,$817.00,14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/veenuse-u1/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg
