name,url,price,description,image_urls
GLAMIRAEarring Everlong,https://www.glamira.com/glamira-earring-everlong.html,"$9,517.00",14K White Gold with Black Rhodium & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/10429everlong/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/stone3/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRAPendant Youme,https://www.glamira.com/glamira-pendant-youme.html,"$1,774.00",14K White Gold with Black Rhodium & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/10429youme/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRARing Maeum,https://www.glamira.com/glamira-ring-maeum.html,"$1,294.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9668maeum/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Sneham,https://www.glamira.com/glamira-earring-sneham.html,$839.00,14K Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9285sneham1/diamond/diamond-Brillant_AAA/alloycolour/red.jpg
GLAMIRAAirpods® Cuidar,https://www.glamira.com/glamira-airpodsr-cuidar.html,$520.00,14K Rose Gold & Amethyst & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cuidar-l/diamond/amethyst_AAA/stone2/lab-grown-diamond_AAA/alloycolour/red/accent/neon-orange.jpg
GLAMIRAEarring Thwart,https://www.glamira.com/glamira-earring-thwart.html,$717.00,14K Red Gold with Black Rhodium,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9285thwart/alloycolour/red.jpg
GLAMIRAEarring Vernost,https://www.glamira.com/glamira-earring-vernost.html,$665.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9285vernost/diamond/diamond-Brillant_AAA/alloycolour/white/accent/red.jpg
GLAMIRAEarring Unruly D,https://www.glamira.com/glamira-earring-unruly-d.html,"$1,184.00",14K White Gold with Black Rhodium / Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9285unruly-d/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRARing Carwyn,https://www.glamira.com/glamira-ring-carwyn.html,$448.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9285carwyn/alloycolour/yellow.jpg
GLAMIRARing Hrdaya,https://www.glamira.com/glamira-ring-hrdaya.html,$582.00,14K White & Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9285hrdaya/alloycolour/white_red.jpg
GLAMIRANecklace Madlylove,https://www.glamira.com/glamira-necklace-madlylove.html,"$4,824.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9668madlylove/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Isisen A,https://www.glamira.com/glamira-earring-isisen-a.html,$530.00,14K Yellow Gold / Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/isisena-l11/diamond/blackdiamond_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Querida,https://www.glamira.com/glamira-earring-querida.html,$975.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9285querida1/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Anpu A,https://www.glamira.com/glamira-earring-anpu-a.html,$965.00,14K Yellow Gold / Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9285anpu-a11/diamond/blackdiamond_AAA/stone2/blackdiamond_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Anpu C,https://www.glamira.com/glamira-earring-anpu-c.html,$989.00,14K Yellow Gold / Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9285anpu-c11/diamond/blackdiamond_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Desejo,https://www.glamira.com/glamira-earring-desejo.html,"$1,122.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9285desejo/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Tiszta,https://www.glamira.com/glamira-earring-tiszta.html,$773.00,14K Yellow Gold & Black Sapphire & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9285tiszta1/diamond/black-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Czysty,https://www.glamira.com/glamira-earring-czysty.html,$912.00,14K Yellow Gold & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9285czysty/diamond/blackdiamond_AAA/stone2/blackdiamond_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Siqvaruli,https://www.glamira.com/glamira-earring-siqvaruli.html,"$1,395.00",14K Rose Gold & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9285siqvaruli2/diamond/blackdiamond_AAA/stone2/blackdiamond_AAA/alloycolour/red.jpg
GLAMIRAEarring Pagibig,https://www.glamira.com/glamira-earring-pagibig.html,$784.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9285pagibig/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/yellow.jpg
GLAMIRAEarring One Love,https://www.glamira.com/glamira-earring-one-love.html,$663.00,14K Yellow Gold & Black Sapphire & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9285one-love/diamond/black-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Cariad,https://www.glamira.com/glamira-earring-cariad.html,"$1,022.00",14K Rose Gold & Moissanite & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9285cariad1/diamond/labdiamond_AAAA/stone2/diamond-sapphire_AAA/alloycolour/red.jpg
GLAMIRAEarring Puhdas,https://www.glamira.com/glamira-earring-puhdas.html,$867.00,14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9285puhdas/diamond/lab-grown-diamond_AAA/alloycolour/yellow.jpg
