name,url,price,description,image_urls
Men's Wedding Ring Classic Spring 6 mm,https://www.glamira.com/mens-wedding-ring-classic-spring-6-mm.html,"$1,522.00",14K White Gold,"https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/classic-spring-men/alloycolour/white/width/w6/profile/prA.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/classic-spring-men/alloycolour/white/width/w4/profile/prA.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/17582osie-men/alloycolour/white.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/17582rennes-men/alloycolour/white.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/17563-rodhou1-men/alloycolour/white.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/nontraditional-men/alloycolour/white.jpg"
Men's Wedding Ring Classic Spring 4 mm,https://www.glamira.com/mens-wedding-ring-classic-spring-4-mm.html,"$1,072.00",14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/classic-spring-men/alloycolour/white/width/w4/profile/prA.jpg
Men's Ring Osie,https://www.glamira.com/men-s-ring-osie.html,$838.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/17582osie-men/alloycolour/white.jpg
Men's Ring Rennes,https://www.glamira.com/men-s-ring-rennes.html,"$1,072.00",14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/17582rennes-men/alloycolour/white.jpg
Men's Ring Rodhou,https://www.glamira.com/men-s-ring-rodhou.html,"$1,026.00",14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/17563-rodhou1-men/alloycolour/white.jpg
Men's Ring Nontraditional,https://www.glamira.com/men-s-ring-nontraditional.html,$645.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/nontraditional-men/alloycolour/white.jpg
Men's Ring Bright Core 6 mm,https://www.glamira.com/men-s-ring-bright-core-6-mm.html,$928.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/gwd-l-4200-MEN/alloycolour/white/width/w6/profile/prA/surface/polished_icematte.jpg
Men's Ring Confident Fusion 8 mm,https://www.glamira.com/men-s-ring-confident-fusion-8-mm.html,"$1,587.00",14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/gwd-h10022-n-men/alloycolour/white/wood/carbonline/width/w8/profile/prA.jpg
Men's Ring Alluring Duty 5 mm,https://www.glamira.com/men-s-ring-alluring-duty-5-mm.html,$827.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/GWD-S4023-MEN/alloycolour/white/width/w5/profile/prB/surface/polished_verticalline.jpg
Men's Ring Celtic Craft,https://www.glamira.com/men-s-ring-celtic-craft.html,"$1,399.00",14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/R37092-7Z-MEN/alloycolour/white.jpg
Men's Ring Unique Luxury 4 mm,https://www.glamira.com/men-s-ring-unique-luxury-4-mm.html,$732.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/GWD-S1000-MEN/alloycolour/white/width/w4/profile/prA/surface/polished.jpg
Men's Ring Noble Choice 6 mm,https://www.glamira.com/men-s-ring-noble-choice-6-mm.html,$867.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/GWD-V2200-MEN/alloycolour/white/accent/black/width/w6/profile/prA.jpg
Men's Ring Romantic Trust 6 mm,https://www.glamira.com/men-s-ring-romantic-trust-6-mm.html,$970.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/gwd-n1083-MEN/alloycolour/white/width/w6/profile/prA/surface/polished_icematte.jpg
Men's Ring Confident Ease 6 mm,https://www.glamira.com/men-s-ring-confident-ease-6-mm.html,"$1,120.00",14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/gwd-h10048n-MEN/alloycolour/white/wood/oakbronce/width/w6/profile/prA.jpg
Men's Ring Shining Moon 4 mm,https://www.glamira.com/men-s-ring-shining-moon-4-mm.html,$740.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/GWD-S4002-MEN/alloycolour/white/width/w4/profile/prB/surface/polished_verticalline.jpg
GLAMIRARing Pretty Bund Men,https://www.glamira.com/glamira-ring-pretty-bund-men.html,$645.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/pretty-bund-pair-v-MEN/alloycolour/white/accent/black.jpg
Men's Ring Magic Shield 8 mm,https://www.glamira.com/men-s-ring-magic-shield-8-mm.html,"$1,447.00",14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/gwd-h1002u-MEN/alloycolour/white/width/w8/profile/prA.jpg
Men's Ring Elegant Reflection 5 mm,https://www.glamira.com/men-s-ring-elegant-reflection-5-mm.html,$900.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/GWD-S4011-MEN/alloycolour/white/width/w5/profile/prB/surface/polished_verticalline.jpg
GLAMIRARing Pretty One Men,https://www.glamira.com/glamira-ring-pretty-one-men.html,"$1,197.00",14K Red Gold with Black Rhodium,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/pretty-one-pair-v-MEN/alloycolour/red.jpg
Men's Ring Charming Glow 4 mm,https://www.glamira.com/men-s-ring-charming-glow-4-mm.html,$614.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/GWD-S4013-MEN/alloycolour/white/width/w4/profile/prB/surface/polished_verticalline.jpg
Men's Ring Bright Love 4 mm,https://www.glamira.com/men-s-ring-bright-love-4-mm.html,$641.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/GWD-C191003-U-MEN/alloycolour/yellow/width/w4/profile/prA/surface/polished.jpg
Men's Ring Peaceful Step 5 mm,https://www.glamira.com/men-s-ring-peaceful-step-5-mm.html,$902.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/gwd-h10058-n-MEN/alloycolour/white/wood/oakbronce/width/w5/profile/prA.jpg
Men's Ring Classic Fame 4 mm,https://www.glamira.com/men-s-ring-classic-fame-4-mm.html,$660.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/GWD12000-MEN/alloycolour/yellow/width/w4/profile/prB/surface/icematte.jpg
Men's Ring Celtic Line,https://www.glamira.com/men-s-ring-celtic-line.html,"$1,143.00",14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/R37077-5Z-MEN/alloycolour/white.jpg
Men's Ring Steely Trust,https://www.glamira.com/men-s-ring-steely-trust.html,$232.00,Stainless Steel / 14K White / Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/DSC_8125-N-MEN/alloycolour/white_yellow.jpg
Men's Ring Celtic Sign,https://www.glamira.com/men-s-ring-celtic-sign.html,$673.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/R37077-3Z-MEN/alloycolour/white.jpg
Men's Ring Alluring Path 6mm,https://www.glamira.com/men-s-ring-alluring-path-6mm.html,"$1,138.00",14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/GWD-E10480V1-MEN/alloycolour/white/width/w6/profile/prA/surface/polished.jpg
Men's Ring Shimmering Road 6 mm,https://www.glamira.com/men-s-ring-shimmering-road-6-mm.html,$983.00,14K White & Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/gwd-n1089-MEN/alloycolour/white_yellow/width/w6/profile/prA/surface/polished_icematte.jpg
Men's Ring White Innocence 5 mm,https://www.glamira.com/men-s-ring-white-innocence-5-mm.html,$801.00,14K Yellow & White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/GWD-S2900-exccl-men/alloycolour/yellow_white/width/w5/profile/prA/surface/polished.jpg
Men's Ring Classic Mind 4mm,https://www.glamira.com/men-s-ring-classic-mind-4mm.html,$755.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/GWD17960-MEN/alloycolour/white/width/w4/profile/prA/surface/polished.jpg
Men's Ring Pure Embrace 5 mm,https://www.glamira.com/men-s-ring-pure-embrace-5-mm.html,$804.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/GWD-S4009-exccl-men/alloycolour/white/width/w5/profile/prB/surface/polished_verticalline.jpg
Men's Ring White Drop,https://www.glamira.com/men-s-ring-white-drop.html,"$1,032.00",14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/GWD-E13290V1-MEN/alloycolour/white.jpg
