name,url,price,description,image_urls
GLAMIRAMen's Earring Kmetov,https://www.glamira.com/glamira-men-s-earring-kmetov.html,$327.00,14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/MER-014/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRAMen's Earring Donatien,https://www.glamira.com/glamira-men-s-earring-donatien.html,$688.00,14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/donatien/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRAMen's Earring Yorath,https://www.glamira.com/glamira-men-s-earring-yorath.html,$228.00,14K White Gold & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/MER-023/diamond/blackdiamond_AAA/alloycolour/white.jpg
GLAMIRAMen's Earring Albertus,https://www.glamira.com/glamira-men-s-earring-albertus.html,$227.00,14K White Gold & Black Onyx,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/MER-053/stone2/cabochon-Onyx_AAA/alloycolour/white.jpg
GLAMIRAMen's Earring Torreon,https://www.glamira.com/glamira-men-s-earring-torreon.html,$347.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/MER-020/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAMen's Earring Otmara,https://www.glamira.com/glamira-men-s-earring-otmara.html,$393.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/5151otmara/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRAMen's Earring Yehudit,https://www.glamira.com/glamira-men-s-earring-yehudit.html,$453.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/yehudit-me/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAMen's Earring Justus,https://www.glamira.com/glamira-men-s-earring-justus.html,$377.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/justus/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAMen's Earring Lupus,https://www.glamira.com/glamira-men-s-earring-lupus.html,$447.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lupus/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAMen's Earring Clumpish,https://www.glamira.com/glamira-men-s-earring-clumpish.html,$205.00,14K White Gold & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/6745clumpish/diamond/blackdiamond_AAA/alloycolour/white.jpg
GLAMIRAMen's Earring Rochell,https://www.glamira.com/glamira-men-s-earring-rochell.html,$301.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/6745rochell/alloycolour/yellow.jpg
GLAMIRAMen's Earring Razzil,https://www.glamira.com/glamira-men-s-earring-razzil.html,$579.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/razzil-m/diamond/diamond-Brillant_AAA/alloycolour/white/accent/black.jpg
GLAMIRAMen's Earring Barkana,https://www.glamira.com/glamira-men-s-earring-barkana.html,$473.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/MER-004/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAMen's Earring Domitus,https://www.glamira.com/glamira-men-s-earring-domitus.html,$280.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/domitus/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRAMen's Earring Hermenegildo,https://www.glamira.com/glamira-men-s-earring-hermenegildo.html,$289.00,14K White Gold & Black Onyx,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/MER-041/stone2/cabochon-Onyx_AAA/alloycolour/white.jpg
GLAMIRAMen's Earring Erlot,https://www.glamira.com/glamira-men-s-earring-erlot.html,$207.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/erlot-mr/diamond/labdiamond_AAAA/alloycolour/yellow/accent/black.jpg
Men's Piercing Tikas,https://www.glamira.com/mens-piercing-tikas.html,$182.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19422tikas/alloycolour/yellow.jpg
Men's Piercing Cezanne,https://www.glamira.com/mens-piercing-cezanne.html,$268.00,14K White Gold,"https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19462cezanne/alloycolour/white.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19462thymaina/alloycolour/white.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19430-samiopoula/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19430-teton/alloycolour/white.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19430-uinta/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/corouge-u5/diamond/labdiamond_AAAA/alloycolour/yellow.jpg"
Men's Earring Thymaina,https://www.glamira.com/mens-earring-thymaina.html,$655.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19462thymaina/alloycolour/white.jpg
GLAMIRAMen's Earring Samiopoula,https://www.glamira.com/glamira-mens-earring-samiopoula.html,$489.00,14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19430-samiopoula/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRAMen's Earring Teton,https://www.glamira.com/glamira-mens-earring-teton.html,$255.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19430-teton/alloycolour/white.jpg
GLAMIRAMen's Earring Uinta,https://www.glamira.com/glamira-mens-earring-uinta.html,$228.00,14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19430-uinta/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
Men's Piercing Corouge,https://www.glamira.com/mens-piercing-corouge.html,$233.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/corouge-u5/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
Men's Earring Kitzsteinhorn,https://www.glamira.com/mens-earring-kitzsteinhorn.html,$607.00,14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19421kitzsteinhorn/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg
