name,url,price,description,image_urls
Men's Pendant Bipet,https://www.glamira.com/mens-pendant-bipet.html,"$1,036.00",14K Yellow Gold & Moissanite,"https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19799-bipet/diamond/labdiamond_AAAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19799-cell/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19799-cood/diamond/labdiamond_AAAA/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19799-cynsy/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19799-dadavi/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19799-deorg/diamond/labdiamond_AAAA/alloycolour/yellow.jpg"
Men's Pendant Cell,https://www.glamira.com/mens-pendant-cell.html,$882.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19799-cell/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
Men's Pendant Cood,https://www.glamira.com/mens-pendant-cood.html,"$1,384.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19799-cood/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
Men's Pendant Cynsy,https://www.glamira.com/mens-pendant-cynsy.html,$819.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19799-cynsy/alloycolour/yellow.jpg
Men's Pendant Dadavi,https://www.glamira.com/mens-pendant-dadavi.html,$693.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19799-dadavi/alloycolour/yellow.jpg
Men's Pendant Deorg,https://www.glamira.com/mens-pendant-deorg.html,"$1,038.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19799-deorg/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRAMen's Pendant Gaiva,https://www.glamira.com/glamira-men-s-pendant-gaiva.html,$651.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/men-gaiva/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
Men's Pendant Sling,https://www.glamira.com/mens-pendant-sling.html,$637.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19799-sling/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
GLAMIRAMen's Pendant Hayes,https://www.glamira.com/glamira-men-s-pendant-hayes.html,$673.00,14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/men-hayes/diamond/labdiamond_AAAA/alloycolour/white/wood/cherry.jpg
GLAMIRAMen's Pendant Darby,https://www.glamira.com/glamira-men-s-pendant-darby.html,$549.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/men-darby/alloycolour/white/accent/black.jpg
GLAMIRAMen's Pendant Arnould,https://www.glamira.com/glamira-men-s-pendant-arnould.html,$942.00,14K White Gold & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/men-arnould/diamond/blackdiamond_AAA/alloycolour/white.jpg
GLAMIRAMen's Pendant Tinyson,https://www.glamira.com/glamira-men-s-pendant-tinyson.html,$889.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/men-tinyson/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAMen's Pendant Boplet,https://www.glamira.com/glamira-men-s-pendant-boplet.html,$953.00,14K Yellow Gold & Ruby,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/boplet-mp/diamond/ruby_AAA/alloycolour/yellow/accent/black.jpg
