name,url,price,description,image_urls
Men's Bracelet Aruada,https://www.glamira.com/mens-bracelet-aruada.html,"$1,887.00",14K White Gold & Lab Grown Diamond,"https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19462aruada/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19462amozon/diamond/lab-grown-diamond_AAA/alloycolour/yellow/leather/black.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19462kucson/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19462kietas/alloycolour/yellow.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19462herojus/diamond/lab-grown-diamond_AAA/alloycolour/yellow/leather/black.jpg,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19462hamerfest/diamond/lab-grown-diamond_AAA/alloycolour/yellow/leather/black.jpg"
Men's Bracelet Amozon,https://www.glamira.com/mens-bracelet-amozon.html,"$1,580.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19462amozon/diamond/lab-grown-diamond_AAA/alloycolour/yellow/leather/black.jpg
Men's Bracelet Kucson,https://www.glamira.com/mens-bracelet-kucson.html,"$4,292.00",14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19462kucson/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
Men's Bracelet Kietas,https://www.glamira.com/mens-bracelet-kietas.html,"$2,689.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19462kietas/alloycolour/yellow.jpg
Men's Bracelet Herojus,https://www.glamira.com/mens-bracelet-herojus.html,"$1,941.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19462herojus/diamond/lab-grown-diamond_AAA/alloycolour/yellow/leather/black.jpg
Men's Bracelet Hamerfest,https://www.glamira.com/mens-bracelet-hamerfest.html,"$3,309.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19462hamerfest/diamond/lab-grown-diamond_AAA/alloycolour/yellow/leather/black.jpg
GLAMIRAMen's Bracelet Vantail,https://www.glamira.com/glamira-men-s-bracelet-vantail.html,"$2,767.00",14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17494-vantail/diamond/labdiamond_AAAA/alloycolour/white/accent/black.jpg
Men's Bracelet Maloningas,https://www.glamira.com/mens-bracelet-maloningas.html,"$1,701.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/19422maloningas/alloycolour/yellow/leather/black.jpg
GLAMIRAMen's Bracelet Muoti,https://www.glamira.com/glamira-men-s-bracelet-muoti.html,"$3,224.00",14K Yellow Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/14192muoti/diamond/lab-grown-diamond_AAA/alloycolour/yellow/leather/black.jpg
GLAMIRAMen's Bracelet Pierre,https://www.glamira.com/glamira-men-s-bracelet-pierre.html,"$1,505.00",14K White Gold & Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/leather-pierre/diamond/sapphire_AAA/alloycolour/white/leather/black.jpg
GLAMIRAMen's Bracelet Landon,https://www.glamira.com/glamira-men-s-bracelet-landon.html,"$1,053.00",14K Yellow Gold & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/landon-l/diamond/blackdiamond_AAA/alloycolour/yellow/leather/black.jpg
GLAMIRAMen's Bracelet Voyan,https://www.glamira.com/glamira-men-s-bracelet-voyan.html,$852.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/voyan-m/alloycolour/white.jpg
GLAMIRAMen's Bracelet Calcairen,https://www.glamira.com/glamira-men-s-bracelet-calcairen.html,"$1,549.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/calcairen-b1/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRAMen's Bracelet Arctovish,https://www.glamira.com/glamira-men-s-bracelet-arctovish.html,"$1,625.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/arctovish-b/diamond/diamond-Brillant_AAA/alloycolour/yellow/accent/black.jpg
GLAMIRAMen's Bracelet Arlyne,https://www.glamira.com/glamira-men-s-bracelet-arlyne.html,"$1,424.00",14K Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/leather-arlyne/diamond/diamond-Brillant_AAA/alloycolour/red/leather/brown.jpg
