name,url,price,description,image_urls
GLAMIRANecklace Stubs,https://www.glamira.com/glamira-necklace-stubs.html,$420.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18362-stubs/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Takavax,https://www.glamira.com/glamira-necklace-takavax.html,$675.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18362-takavax/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Tarumae,https://www.glamira.com/glamira-necklace-tarumae.html,$850.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18362-tarumae/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/stone3/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAEarring Iter,https://www.glamira.com/glamira-earring-iter.html,$822.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18359iter/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/white.jpg
GLAMIRAEarring Leggerezza,https://www.glamira.com/glamira-earring-leggerezza.html,$475.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18359leggerezza/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/white.jpg
GLAMIRAEarring Lombardini,https://www.glamira.com/glamira-earring-lombardini.html,$744.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18359lombardini/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/black-white.jpg
GLAMIRAEarring Magolfa,https://www.glamira.com/glamira-earring-magolfa.html,$678.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/magolfa-mn/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/white.jpg
GLAMIRAEarring Radetsky,https://www.glamira.com/glamira-earring-radetsky.html,$753.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/radetsky-mn/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/white.jpg
GLAMIRAEarring Rozkosz,https://www.glamira.com/glamira-earring-rozkosz.html,$565.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/rozkosz-mn/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/black-white.jpg
GLAMIRAEarring Rohano,https://www.glamira.com/glamira-earring-rohano.html,$527.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/rohano-mn/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/accent/black-white.jpg
