name,url,price,description,image_urls
GLAMIRAPendant Pettiness,https://www.glamira.com/glamira-pendant-pettiness.html,$882.00,14K Yellow Gold & Emerald & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/pettiness-es/diamond/emerald_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Choker Necklace Bijelo,https://www.glamira.com/glamira-necklace-bijelo.html,$456.00,14K Yellow Gold & White Sapphire & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13342bijelo/diamond/diamond-sapphire_AAA/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRANecklace Beltex,https://www.glamira.com/glamira-necklace-beltex.html,"$1,254.00",14K Yellow Gold & White Sapphire & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13326beltex/diamond/diamond-sapphire_AAA/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRANecklace Atinae,https://www.glamira.com/glamira-necklace-atinae.html,$453.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13342atinae/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Daleyza,https://www.glamira.com/glamira-necklace-daleyza.html,$923.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/daleyza-es/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Dezvoltare,https://www.glamira.com/glamira-necklace-dezvoltare.html,$705.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/dezvoltare-es/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Bersih,https://www.glamira.com/glamira-necklace-bersih.html,$604.00,14K Yellow Gold & White Sapphire & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bersih-es/diamond/diamond-sapphire_AAA/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRANecklace Olesya,https://www.glamira.com/glamira-necklace-olesya.html,"$1,235.00",14K Yellow Gold & Emerald & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13306olesya1/diamond/emerald_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Alf,https://www.glamira.com/glamira-necklace-alf.html,"$1,164.00",14K Yellow Gold & Emerald,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13307alf/diamond/emerald_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Cybele,https://www.glamira.com/glamira-necklace-cybele.html,$629.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13307cybele/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRANecklace Lxchel,https://www.glamira.com/glamira-necklace-lxchel.html,$834.00,14K Yellow Gold & Emerald,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13307lxchel/diamond/emerald_AAA/alloycolour/yellow.jpg
