name,url,price,description,image_urls
GLAMIRABracelet Gwenu,https://www.glamira.com/glamira-bracelet-gwenu.html,$391.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gwenu-es/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAFinger Bracelet Roheline,https://www.glamira.com/glamira-finger-bracelet-roheline.html,$533.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/roheline-es/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAAnklet Narasi,https://www.glamira.com/glamira-anklet-narasi.html,$527.00,14K Yellow Gold & White Sapphire & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13387narasi/diamond/diamond-sapphire_AAA/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRAAnklet Seoltang,https://www.glamira.com/glamira-anklet-seoltang.html,$861.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/seoltang-es/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAAnklet Monserrat,https://www.glamira.com/glamira-anklet-monserrat.html,$914.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13326monserrat1/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAAnklet Pyper,https://www.glamira.com/glamira-anklet-pyper.html,"$1,005.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13326pyper/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAAnklet Mieszanina,https://www.glamira.com/glamira-anklet-mieszanina.html,$965.00,14K Yellow Gold & White Sapphire & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13387mieszanina/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRABracelet Tactles,https://www.glamira.com/glamira-bracelet-tactles.html,$442.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/tactles-es/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Sukari,https://www.glamira.com/glamira-bracelet-sukari.html,$563.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sukari-es/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Corusco,https://www.glamira.com/glamira-bracelet-corusco.html,$662.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/corusco-es/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Grelotter,https://www.glamira.com/glamira-bracelet-grelotter.html,$611.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/grelotter-es/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Soet,https://www.glamira.com/glamira-bracelet-soet.html,$939.00,14K Yellow Gold & White Sapphire & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/soet-es/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRABracelet Gwyneth,https://www.glamira.com/glamira-bracelet-gwyneth.html,$761.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gwyneth-es/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Sonkor,https://www.glamira.com/glamira-bracelet-sonkor.html,$663.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sonkor-es/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Cjaj,https://www.glamira.com/glamira-bracelet-cjaj.html,$817.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/cjaj-es/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Okoma,https://www.glamira.com/glamira-bracelet-okoma.html,$447.00,14K Yellow Gold & White Sapphire & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/okoma-es/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRABracelet Eeverleigh,https://www.glamira.com/glamira-bracelet-eeverleigh.html,$747.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/eeverleigh-es/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Hadlee,https://www.glamira.com/glamira-bracelet-hadlee.html,"$1,122.00",14K Yellow Gold & Emerald,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/hadlee-es/diamond/emerald_AAA/alloycolour/yellow.jpg
GLAMIRABracelet Omhlophe,https://www.glamira.com/glamira-bracelet-omhlophe.html,$454.00,14K Yellow Gold & White Sapphire & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/omhlophe-es/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRABracelet Sinaran,https://www.glamira.com/glamira-bracelet-sinaran.html,$502.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sinaran-es/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRALip Cuff Chloen,https://www.glamira.com/glamira-lip-cuff-chloen.html,$284.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13342chloen/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
