name,url,price,description,image_urls
GLAMIRARing Logical,https://www.glamira.com/glamira-ring-logical.html,$972.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18232logical/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRAPinky Ring Pagliara,https://www.glamira.com/glamira-pinky-ring-pagliara.html,$694.00,14K White & Rose Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18232pagliara/diamond/diamond-sapphire_AAA/alloycolour/white_red.jpg
GLAMIRARing Precise,https://www.glamira.com/glamira-ring-precise.html,$788.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18232precise/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Reitano,https://www.glamira.com/glamira-ring-reitano.html,$681.00,14K White & Yellow Gold  & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18232reitano/diamond/diamond-sapphire_AAA/alloycolour/white_yellow.jpg
GLAMIRARing Savusavu,https://www.glamira.com/glamira-ring-savusavu.html,$792.00,14K White & Yellow Gold  & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18232savusavu1/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/white_yellow.jpg
GLAMIRARing Seaqaqa,https://www.glamira.com/glamira-ring-seaqaqa.html,"$1,050.00",14K White & Yellow Gold  & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18232seaqaqa/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/white_yellow.jpg
GLAMIRARing Suva,https://www.glamira.com/glamira-ring-suva.html,"$1,593.00",14K Red Gold with Black Rhodium & Black Diamond & Brown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18232suva/diamond/blackdiamond_AAA/stone2/browndiamond_AAA/stone3/browndiamond_AAA/alloycolour/red.jpg
GLAMIRARing Uncultured,https://www.glamira.com/glamira-ring-uncultured.html,$530.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18232uncultured/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Textual,https://www.glamira.com/glamira-ring-textual.html,$786.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18232textual/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Terrenova,https://www.glamira.com/glamira-ring-terrenova.html,$882.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18232terrenova/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/stone3/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Acharnes,https://www.glamira.com/glamira-ring-acharnes.html,$555.00,14K Yellow Gold with Black Rhodium & Black Diamond & Brown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18488acharnes/diamond/blackdiamond_AAA/stone2/browndiamond_AAA/alloycolour/yellow.jpg
GLAMIRARing Aditi,https://www.glamira.com/glamira-ring-aditi.html,$748.00,14K Red Gold with Black Rhodium & White Sapphire & Brown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18488aditi/diamond/diamond-sapphire_AAA/stone2/browndiamond_AAA/alloycolour/red_black.jpg
GLAMIRARing Amaterasu,https://www.glamira.com/glamira-ring-amaterasu.html,$670.00,14K Red Gold with Black Rhodium & White Sapphire & Brown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18488amaterasu/diamond/diamond-sapphire_AAA/stone2/browndiamond_AAA/stone3/diamond-sapphire_AAA/alloycolour/red_black.jpg
GLAMIRARing Anopatisia,https://www.glamira.com/glamira-ring-anopatisia.html,$658.00,14K White & Yellow Gold with Black Rhodium & Black Diamond & Brown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18488anopatisia/diamond/blackdiamond_AAA/stone2/browndiamond_AAA/alloycolour/white_yellow.jpg
