name,url,price,description,image_urls
Women's Bracelet Foggia,https://www.glamira.com/womens-bracelet-foggia.html,$332.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18488foggia/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Necklace Ginessa,https://www.glamira.com/womens-necklace-ginessa.html,$519.00,14K Red Gold with Black Rhodium & Brown Diamond & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/18488ginessa/diamond/browndiamond_AAA/stone2/diamond-sapphire_AAA/stone3/diamond-sapphire_AAA/alloycolour/red_black.jpg
Women's Earring Mpaka,https://www.glamira.com/womens-earring-mpaka.html,$323.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mpaka-np/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Mascalucia,https://www.glamira.com/glamira-ring-mascalucia.html,$435.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mascalucia-np/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Bangle Mokra,https://www.glamira.com/womens-bangle-mokra.html,"$2,981.00",14K Red Gold with Black Rhodium & Black Diamond & Brown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mokra-np/diamond/blackdiamond_AAA/stone2/blackdiamond_AAA/stone3/browndiamond_AAA/alloycolour/red.jpg
Women's Bracelet Mornasco,https://www.glamira.com/womens-bracelet-mornasco.html,$304.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mornasco-np/diamond/diamond-sapphire_AAA/alloycolour/yellow.jpg
GLAMIRARing Nasinu,https://www.glamira.com/glamira-ring-nasinu.html,$710.00,14K White & Yellow Gold  & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nasinu-np/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/white_yellow.jpg
GLAMIRARing Natumbua,https://www.glamira.com/glamira-ring-natumbua.html,$901.00,14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/natumbua-np/diamond/diamond-sapphire_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
Women's Bracelet Mururata,https://www.glamira.com/womens-bracelet-mururata.html,$851.00,14K Red Gold with Black Rhodium & Black Diamond & Brown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mururata-np/diamond/blackdiamond_AAA/stone2/browndiamond_AAA/alloycolour/red.jpg
Women's Bracelet Nimba,https://www.glamira.com/womens-bracelet-nimba.html,"$1,209.00",14K Red Gold with Black Rhodium & Black Diamond & Brown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nimba-np/diamond/blackdiamond_AAA/stone2/blackdiamond_AAA/stone3/browndiamond_AAA/alloycolour/red.jpg
