name,url,price,description,image_urls
GLAMIRAPendant Volkman,https://www.glamira.com/glamira-pendant-volkman.html,"$1,097.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/volkman/alloycolour/yellow/ceramic/black.jpg
GLAMIRANecklace Zink,https://www.glamira.com/glamira-necklace-zink.html,"$3,853.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/zink1/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Mellisa,https://www.glamira.com/glamira-pendant-mellisa.html,$683.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mellisa/alloycolour/yellow/ceramic/black.jpg
GLAMIRANecklace Membora,https://www.glamira.com/glamira-necklace-membora.html,"$1,289.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/membora13/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Mestio,https://www.glamira.com/glamira-pendant-mestio.html,$810.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mestio/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Michiko,https://www.glamira.com/glamira-pendant-michiko.html,"$1,178.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/michiko/diamond/diamond-Brillant_AAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Montesinos,https://www.glamira.com/glamira-pendant-montesinos.html,$778.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/montesinos/diamond/diamond-Brillant_AAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRANecklace Newlon,https://www.glamira.com/glamira-necklace-newlon.html,$856.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/newlon1/diamond/labdiamond_AAAA/alloycolour/yellow/accent/green/ceramic/black.jpg
GLAMIRAPendant Noibatas,https://www.glamira.com/glamira-pendant-noibatas.html,$830.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/noibatas/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Nutting,https://www.glamira.com/glamira-pendant-nutting.html,$876.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nutting/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Oreilly,https://www.glamira.com/glamira-pendant-oreilly.html,"$1,020.00",14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/oreilly1/diamond/diamond-Brillant_AAA/alloycolour/white/ceramic/black.jpg
GLAMIRAPendant Orndorff,https://www.glamira.com/glamira-pendant-orndorff.html,$936.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/orndorff/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Pasquale,https://www.glamira.com/glamira-pendant-pasquale.html,$938.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/pasquale/diamond/diamond-Brillant_AAA/alloycolour/yellow-585/ceramic/black.jpg
GLAMIRAPendant Patratata,https://www.glamira.com/glamira-pendant-patratata.html,$966.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/patratata/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Pershall,https://www.glamira.com/glamira-pendant-pershall.html,"$1,255.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/pershall11/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Pew,https://www.glamira.com/glamira-pendant-pew.html,$806.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/pew/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Pizana,https://www.glamira.com/glamira-pendant-pizana.html,"$1,100.00",14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/pizana/diamond/diamond-Brillant_AAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Planas,https://www.glamira.com/glamira-pendant-planas.html,"$1,053.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/planas/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Politoedes,https://www.glamira.com/glamira-pendant-politoedes.html,$891.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/politoedes/diamond/diamond-Brillant_AAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRANecklace Punita,https://www.glamira.com/glamira-necklace-punita.html,"$2,560.00",14K White Gold & Black Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/punita/diamond/blackdiamond_AAA/stone2/blackdiamond_AAA/alloycolour/white/ceramic/black.jpg
GLAMIRAPendant Quintin,https://www.glamira.com/glamira-pendant-quintin.html,$894.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/quintin/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Ranck,https://www.glamira.com/glamira-pendant-ranck.html,$854.00,14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ranck/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Randi,https://www.glamira.com/glamira-pendant-randi.html,"$1,378.00",14K Yellow Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/randi/diamond/labdiamond_AAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Rangel,https://www.glamira.com/glamira-pendant-rangel.html,"$1,122.00",14K Rose Gold & Green Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/rangel/diamond/greendiamond_A/alloycolour/red/ceramic/white.jpg
GLAMIRAPendant Reasoner,https://www.glamira.com/glamira-pendant-reasoner.html,$775.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/reasoner1/diamond/diamond-Brillant_AAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Regicen,https://www.glamira.com/glamira-pendant-regicen.html,$716.00,14K Yellow Gold & Sapphire & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/regicen1/diamond/sapphire_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Santosa,https://www.glamira.com/glamira-pendant-santosa.html,$767.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/santosa/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Stoodley,https://www.glamira.com/glamira-pendant-stoodley.html,$785.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/stoodley/alloycolour/yellow/ceramic/black.jpg
GLAMIRAPendant Tetreault,https://www.glamira.com/glamira-pendant-tetreault.html,$483.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/tetreault/alloycolour/yellow/ceramic/black.jpg
