name,url,price,description,image_urls
GLAMIRARing Bavegels - A,https://www.glamira.com/glamira-ring-bavegels-a.html,$351.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bavegels-a-n/alloycolour/yellow.jpg
GLAMIRAEarring Fantasma,https://www.glamira.com/glamira-earring-fantasma.html,$500.00,14K Rose Gold & Swarovski Crystal,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/fantasma-earring-n/diamond/diamond-Swarovsky_AAAAA/alloycolour/red/accent/dark-green.jpg
GLAMIRAPendant Leggero,https://www.glamira.com/glamira-pendant-leggero.html,$683.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/leggero-n/alloycolour/yellow/accent/blue-pink.jpg
GLAMIRAPendant Caliper,https://www.glamira.com/glamira-pendant-caliper.html,"$1,052.00",14K Yellow Gold & Pink Tourmaline,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/caliper-n/diamond/pink-tourmaline_AAA/alloycolour/yellow/accent/neon-blue.jpg
GLAMIRANecklace Sany,https://www.glamira.com/glamira-necklace-sany.html,"$3,066.00",14K Yellow Gold & Blue Zircon,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sany-n1/diamond/blue-zirconia_AAA/alloycolour/yellow/accent/neon-pink.jpg
GLAMIRARing Koffer E,https://www.glamira.com/glamira-ring-koffer-e.html,"$1,078.00",14K White Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/koffer-ringe-n/diamond/diamond-sapphire_AAA/alloycolour/white.jpg
GLAMIRARing Koffer F,https://www.glamira.com/glamira-ring-koffer-f.html,"$1,379.00",14K White Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/koffer-ringf-n/diamond/diamond-sapphire_AAA/alloycolour/white/accent/multicoloured.jpg
GLAMIRARing Vind,https://www.glamira.com/glamira-ring-vind.html,"$1,339.00",14K White Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/vindset-n/diamond/diamond-sapphire_AAA/alloycolour/white/accent/multicoloured.jpg
GLAMIRANecklace Tempio,https://www.glamira.com/glamira-necklace-tempio.html,"$1,567.00",14K Yellow Gold & White Sapphire,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/tempio-n/diamond/diamond-sapphire_AAA/alloycolour/yellow/accent/multicoloured.jpg
GLAMIRABracelet Colorado,https://www.glamira.com/glamira-bracelet-colorado.html,$475.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/colorado-n/alloycolour/yellow/accent/multicoloured.jpg
