name,url,price,description,image_urls
GLAMIRANose Pin Jadeline,https://www.glamira.com/glamira-nose-pin-jadeline.html,$116.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/NSP-U010/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRANose Pin Jerline,https://www.glamira.com/glamira-nose-pin-jerline.html,$182.00,14K White Gold & Lab Grown Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/NSP-U012/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
GLAMIRANose Pin Marlaiana,https://www.glamira.com/glamira-nose-pin-marlaiana.html,$154.00,14K Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/NSP-U017/diamond/diamond-Brillant_AAA/alloycolour/red.jpg
GLAMIRANose Pin Adoucir,https://www.glamira.com/glamira-nose-pin-adoucir.html,$320.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/adoucir1/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRANose Pin Noite,https://www.glamira.com/glamira-nose-pin-noite.html,$230.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/noite-n/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRANose Pin Dikla,https://www.glamira.com/glamira-nose-pin-dikla.html,$191.00,14K Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/5931dikla/diamond/diamond-Brillant_AAA/alloycolour/red.jpg
GLAMIRANose Pin Gorawen,https://www.glamira.com/glamira-nose-pin-gorawen.html,$139.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/NSP-U009/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRANose Pin Tibica,https://www.glamira.com/glamira-nose-pin-tibica.html,$116.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/NSP-U026/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRANose Pin Octavia,https://www.glamira.com/glamira-nose-pin-octavia.html,$145.00,14K Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9033octavia/diamond/diamond-Brillant_AAA/alloycolour/red.jpg
GLAMIRANose Pin Allynna,https://www.glamira.com/glamira-nose-pin-allynna.html,$333.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/9457allynna/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRANose Pin Homer,https://www.glamira.com/glamira-nose-pin-homer.html,$196.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/homer/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
