name,url,price,description,image_urls
GLAMIRANose Ring Pibe,https://www.glamira.com/glamira-nose-ring-pibe.html,$338.00,14K Yellow Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13686pibe/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
GLAMIRANose Ring Ydestre,https://www.glamira.com/glamira-nose-ring-ydestre.html,$214.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13686ydestre/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRANose Ring Atten,https://www.glamira.com/glamira-nose-ring-atten.html,$192.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13686atten/alloycolour/red.jpg
GLAMIRANose Ring Origen,https://www.glamira.com/glamira-nose-ring-origen.html,$159.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13686origen/alloycolour/white.jpg
GLAMIRANose Ring Fittea,https://www.glamira.com/glamira-nose-ring-fittea.html,$231.00,14K White Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13686fittea/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
GLAMIRANose Ring Gifolo,https://www.glamira.com/glamira-nose-ring-gifolo.html,$454.00,14K Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13686gifolo/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/red.jpg
GLAMIRANose Ring Aidea,https://www.glamira.com/glamira-nose-ring-aidea.html,$185.00,14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13686aidea/diamond/labdiamond_AAAA/alloycolour/white.jpg
GLAMIRANose Ring Ixil,https://www.glamira.com/glamira-nose-ring-ixil.html,$182.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13686ixil/alloycolour/white.jpg
GLAMIRANose Ring Agones,https://www.glamira.com/glamira-nose-ring-agones.html,$157.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13686agones/alloycolour/yellow.jpg
GLAMIRANose Ring Gehwy,https://www.glamira.com/glamira-nose-ring-gehwy.html,$229.00,14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13686gehwy/diamond/labdiamond_AAAA/alloycolour/white.jpg
GLAMIRANose Ring Hendiq,https://www.glamira.com/glamira-nose-ring-hendiq.html,$174.00,14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13686hendiq/diamond/labdiamond_AAAA/alloycolour/white.jpg
GLAMIRANose Ring Ligen,https://www.glamira.com/glamira-nose-ring-ligen.html,$172.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13686ligen/alloycolour/white.jpg
GLAMIRANose Ring Hrefer,https://www.glamira.com/glamira-nose-ring-hrefer.html,$365.00,14K Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13686hrefer/diamond/diamond-Brillant_AAA/alloycolour/red.jpg
GLAMIRANose Ring Chalo,https://www.glamira.com/glamira-nose-ring-chalo.html,$188.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13686chalo/alloycolour/white.jpg
GLAMIRANose Ring Nerta,https://www.glamira.com/glamira-nose-ring-nerta.html,$208.00,14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13686nerta/diamond/labdiamond_AAAA/alloycolour/white.jpg
GLAMIRANose Ring Oerc,https://www.glamira.com/glamira-nose-ring-oerc.html,$203.00,14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13686oerc/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/white.jpg
GLAMIRANose Ring Parwe,https://www.glamira.com/glamira-nose-ring-parwe.html,$206.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13686parwe/alloycolour/white.jpg
GLAMIRANose Ring Jeba,https://www.glamira.com/glamira-nose-ring-jeba.html,$231.00,14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13686jeba/diamond/labdiamond_AAAA/alloycolour/white.jpg
GLAMIRANose Ring Hogo,https://www.glamira.com/glamira-nose-ring-hogo.html,$187.00,14K White Gold & Emerald,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13686hogo/diamond/emerald_AAA/alloycolour/white.jpg
GLAMIRANose Ring Bezent,https://www.glamira.com/glamira-nose-ring-bezent.html,$180.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13686bezent/alloycolour/white.jpg
GLAMIRANose Ring Fixo,https://www.glamira.com/glamira-nose-ring-fixo.html,$176.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13686fixo/alloycolour/white.jpg
GLAMIRANose Ring Hoya,https://www.glamira.com/glamira-nose-ring-hoya.html,$212.00,14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13686hoya/diamond/labdiamond_AAAA/alloycolour/white.jpg
GLAMIRANose Ring Sukatus,https://www.glamira.com/glamira-nose-ring-sukatus.html,$162.00,14K White Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/13686sukatus/alloycolour/white.jpg
