name,url,price,description,image_urls
GLAMIRABrooch Cranesbill,https://www.glamira.com/glamira-brooch-cranesbill.html,$970.00,14K Yellow Gold & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20199cranesbill/alloycolour/yellow-585/pearl/white_pearl.jpg
GLAMIRABrooch Oswalt,https://www.glamira.com/glamira-brooch-oswalt.html,"$1,277.00",14K White Gold & Moissanite,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/oswalt-b11/diamond/labdiamond_AAAA/alloycolour/white-585.jpg
GLAMIRARing Ivette,https://www.glamira.com/glamira-ring-ivette.html,$563.00,14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/or-ivette1u1/alloycolour/red-585.jpg
GLAMIRARing Froelich,https://www.glamira.com/glamira-ring-froelich.html,$817.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/froelich-r/alloycolour/yellow-585.jpg
GLAMIRABracelet Vimen,https://www.glamira.com/glamira-bracelet-vimen.html,$552.00,14K White Gold & Green Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/vimen-t/diamond/greendiamond_A/alloycolour/white-585.jpg
GLAMIRABrooch Cranesbill,https://www.glamira.com/glamira-brooch-cranesbill.html,$970.00,14K Yellow Gold & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/20199cranesbill/alloycolour/yellow-585/pearl/white_pearl.jpg
GLAMIRAPendant Gasconter,https://www.glamira.com/glamira-pendant-gasconter.html,$601.00,14K White Gold & Amethyst,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gasconter-n/diamond/amethyst_AAA/alloycolour/white-585.jpg
GLAMIRAEarring Thi,https://www.glamira.com/glamira-earring-thi.html,$517.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/thi/alloycolour/yellow.jpg
GLAMIRARing Hetive,https://www.glamira.com/glamira-ring-hetive.html,"$1,004.00",14K Rose Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12934hetive/alloycolour/red-585.jpg
GLAMIRARing Dipangvs,https://www.glamira.com/glamira-ring-dipangvs.html,"$11,582.00",14K Rose Gold & Diamond,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/dipangvs-a/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/stone3/diamond-Brillant_AAA/alloycolour/red-585.jpg
GLAMIRAEarring Thora,https://www.glamira.com/glamira-earring-thora.html,$673.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/thora/alloycolour/yellow.jpg
