name,url,price,description,image_urls
GLAMIRAPaperclip Bracelet Tricen,https://www.glamira.com/glamira-paperclip-bracelet-tricen.html,$634.00,14K Yellow Gold & Black Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17965-tricen/alloycolour/yellow/pearl/black_pearl.jpg
GLAMIRABracelet Fabriotas,https://www.glamira.com/glamira-bracelet-fabriotas.html,$505.00,14K Yellow Gold & Black Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17965-fabriotas/alloycolour/yellow/pearl/black_pearl.jpg
GLAMIRABracelet Inn,https://www.glamira.com/glamira-bracelet-inn.html,"$3,164.00",14K White Gold & Moissanite & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/inn-b/diamond/labdiamond_AAAA/alloycolour/white/pearl/white_pearl.jpg
GLAMIRABracelet Fleart,https://www.glamira.com/glamira-bracelet-fleart.html,$508.00,14K Yellow Gold & Black Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17965-fleart/alloycolour/yellow/pearl/black_pearl.jpg
GLAMIRABracelet Zuuwsant,https://www.glamira.com/glamira-bracelet-zuuwsant.html,$727.00,14K Yellow Gold & Moissanite & Black Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17965-zuuwsant/diamond/labdiamond_AAAA/alloycolour/yellow/pearl/black_pearl.jpg
GLAMIRAPaperclip Bracelet Otrenat,https://www.glamira.com/glamira-paperclip-bracelet-otrenat.html,"$1,056.00",14K Yellow Gold & Moissanite & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/otrenat-pc/diamond/labdiamond_AAAA/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRAPaperclip Bracelet Sanin,https://www.glamira.com/glamira-paperclip-bracelet-sanin.html,"$1,567.00",14K Yellow Gold & Moissanite & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sanin-b/diamond/labdiamond_AAAA/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRAPaperclip Bracelet Erli,https://www.glamira.com/glamira-paperclip-bracelet-erli.html,"$1,684.00",14K Yellow Gold & Moissanite & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/erli-b/diamond/labdiamond_AAAA/alloycolour/yellow/pearl/white_pearl.jpg
GLAMIRABracelet Blinkere,https://www.glamira.com/glamira-bracelet-blinkere.html,$677.00,14K Yellow Gold & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/blinkere-b/alloycolour/yellow/pearl/white_pearl/accent/white.jpg
GLAMIRABracelet Erazo,https://www.glamira.com/glamira-bracelet-erazo.html,$589.00,14K Rose Gold & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/erazo-b/alloycolour/red/pearl/white_pearl.jpg
GLAMIRABracelet Afpoty,https://www.glamira.com/glamira-bracelet-afpoty.html,"$3,079.00",14K White Gold & Moissanite & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/afpoty-b/diamond/labdiamond_AAAA/alloycolour/white/pearl/white_pearl.jpg
GLAMIRABracelet Lehteb,https://www.glamira.com/glamira-bracelet-lehteb.html,$559.00,14K White Gold & Moissanite & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lehteb-b/diamond/labdiamond_AAAA/alloycolour/white/pearl/white_pearl.jpg
GLAMIRABracelet Lorfis,https://www.glamira.com/glamira-bracelet-lorfis.html,$762.00,14K White Gold & Moissanite & White Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lorfis-b/diamond/labdiamond_AAAA/alloycolour/white/pearl/white_pearl.jpg
GLAMIRAPaperclip Bracelet Lucion,https://www.glamira.com/glamira-paperclip-bracelet-lucion.html,$601.00,14K Yellow Gold & Black Pearl,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/17965-lucion/alloycolour/yellow/pearl/black_pearl.jpg
